MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 12, 2024 - DAL vs. DET",L,86.0,32.0,97.0,33.0,8.0,39.0,20.5,14.0,17.0,82.4,12.0,29.0,41.0,19.0,15.0,8.0,2.0,15.0,-49.0
"Apr 10, 2024 - DAL @ MIA",W,87.5,34.0,90.0,38.2,8.0,34.0,24.05,11.5,14.5,78.7,10.5,34.5,45.0,19.5,17.5,6.5,3.5,12.0,-33.5
"Apr 09, 2024 - DAL @ CHA",W,95.33,37.0,89.0,41.93,10.33,37.33,27.4,11.0,14.0,78.1,9.67,33.33,43.0,22.0,14.0,7.0,5.0,12.33,-16.0
"Apr 07, 2024 - DAL vs. HOU",W,104.0,40.25,90.0,44.9,12.0,40.5,29.05,11.5,15.5,74.83,11.25,34.75,46.0,25.25,14.25,6.75,5.5,14.0,-5.5
"Apr 05, 2024 - DAL vs. GSW",W,112.6,41.4,89.0,46.74,12.6,40.2,30.94,17.2,21.4,77.64,10.2,36.0,46.2,24.4,14.8,6.2,5.6,16.4,-2.2
"Apr 04, 2024 - DAL vs. ATL",W,111.83,41.17,88.17,46.88,12.5,39.17,31.67,17.0,21.33,77.4,9.83,35.5,45.33,25.33,15.33,6.67,6.17,16.5,-1.5
"Apr 02, 2024 - DAL @ GSW",L,111.43,40.71,89.0,45.96,13.29,40.57,32.39,16.71,20.71,78.94,10.0,36.43,46.43,24.57,15.14,6.71,6.29,16.57,0.71
"Mar 31, 2024 - DAL @ HOU",W,110.0,40.5,89.0,45.69,13.5,40.5,33.02,15.5,19.5,77.03,9.75,36.12,45.88,24.88,15.12,6.88,6.38,16.25,0.12
"Mar 29, 2024 - DAL @ SAC",W,111.67,41.33,89.44,46.34,14.67,41.22,35.03,14.33,18.33,74.64,9.78,36.22,46.0,24.78,15.0,6.89,6.56,16.33,2.11
"Mar 26, 2024 - DAL @ SAC",W,111.2,40.7,87.9,46.44,14.7,40.6,35.82,15.1,19.8,73.85,9.4,36.2,45.6,24.7,14.5,6.6,6.5,15.9,2.3
"Mar 25, 2024 - DAL @ UTA",W,113.09,41.64,88.27,47.25,15.36,40.45,37.69,14.45,19.18,72.73,9.0,36.91,45.91,25.55,14.0,6.91,6.27,16.09,5.36
"Mar 21, 2024 - DAL vs. UTA",W,113.25,41.83,88.58,47.3,15.08,40.58,36.93,14.5,19.08,73.61,9.08,36.92,46.0,26.0,13.33,7.08,6.33,16.17,5.75
"Mar 19, 2024 - DAL @ SAS",W,113.23,41.92,88.38,47.51,14.69,39.92,36.5,14.69,19.77,72.62,9.23,36.54,45.77,26.54,13.31,7.46,6.08,16.46,6.54
"Mar 17, 2024 - DAL vs. DEN",W,113.21,42.07,88.57,47.57,14.36,39.21,36.27,14.71,19.57,73.73,8.79,36.57,45.36,26.86,13.0,7.36,5.86,16.57,6.5
"Mar 14, 2024 - DAL @ OKC",L,112.8,42.07,89.33,47.2,14.0,38.93,35.57,14.67,19.67,73.26,9.67,36.67,46.33,26.53,12.93,7.2,5.8,16.87,6.2
