MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 12, 2024 - LAC vs. UTA",L,105.0,41.0,104.0,39.4,8.0,37.0,21.6,15.0,17.0,88.2,16.0,35.0,51.0,23.0,12.0,13.0,8.0,14.0,-11.0
"Apr 10, 2024 - LAC vs. PHX",L,107.0,42.0,100.0,42.1,9.0,38.0,23.6,14.0,18.0,78.3,18.0,29.5,47.5,23.0,12.5,11.0,7.5,15.5,-6.0
"Apr 09, 2024 - LAC @ PHX",W,107.33,42.67,98.33,43.5,10.0,37.33,26.83,12.0,15.33,78.87,15.0,31.33,46.33,23.0,12.67,10.33,6.0,14.67,-9.33
"Apr 07, 2024 - LAC vs. CLE",W,106.75,42.25,95.5,44.4,10.5,34.5,31.68,11.75,14.25,84.15,13.75,36.75,50.5,24.25,14.75,9.0,5.25,16.5,-3.75
"Apr 05, 2024 - LAC vs. UTA",W,109.4,42.0,93.2,45.28,11.2,34.6,33.34,14.2,16.2,87.32,13.2,36.8,50.0,24.6,15.0,8.2,4.6,17.6,-2.6
"Apr 04, 2024 - LAC vs. DEN",W,113.0,43.5,92.83,47.07,11.5,34.67,33.97,14.5,16.5,87.58,12.33,37.83,50.17,25.83,15.0,8.33,4.5,18.33,2.67
"Apr 02, 2024 - LAC @ SAC",L,111.43,42.14,92.43,45.74,10.86,34.43,32.14,16.29,18.71,87.13,11.57,38.29,49.86,25.29,13.86,8.57,4.14,18.57,2.57
"Mar 31, 2024 - LAC @ CHA",W,109.38,40.75,90.38,45.12,10.88,33.5,33.21,17.0,19.75,86.42,11.25,37.12,48.38,24.38,14.12,8.25,3.75,18.88,0.5
"Mar 29, 2024 - LAC @ ORL",W,111.67,41.0,88.67,46.48,11.22,33.0,34.89,18.44,21.33,86.62,10.78,36.78,47.56,24.78,13.67,7.78,3.89,18.56,1.78
"Mar 27, 2024 - LAC @ PHI",W,110.5,41.0,88.3,46.65,10.9,32.1,34.73,17.6,20.4,86.29,10.9,36.0,46.9,24.2,14.0,8.1,3.9,18.4,1.9
"Mar 25, 2024 - LAC vs. IND",L,110.27,40.91,88.45,46.45,11.18,32.45,35.11,17.27,20.36,84.81,10.91,35.64,46.55,24.55,13.45,8.09,4.0,18.18,1.82
"Mar 24, 2024 - LAC vs. PHI",L,110.75,41.33,88.17,47.08,10.75,31.42,34.68,17.33,20.5,84.56,10.92,34.75,45.67,24.67,13.17,7.75,4.0,18.25,0.25
"Mar 22, 2024 - LAC @ POR",W,110.46,41.23,87.77,47.17,10.69,31.15,34.76,17.31,20.31,85.32,10.85,34.15,45.0,24.85,13.23,7.31,4.38,17.69,-0.85
"Mar 20, 2024 - LAC @ POR",W,111.5,41.43,87.0,47.88,10.93,31.29,35.31,17.71,20.79,85.31,10.57,34.07,44.64,24.93,13.5,7.36,4.64,17.93,-0.21
"Mar 17, 2024 - LAC vs. ATL",L,111.8,41.67,86.93,48.17,11.07,31.27,35.75,17.4,20.4,85.4,10.4,34.07,44.47,25.2,13.4,7.87,4.8,17.6,0.67
"Mar 15, 2024 - LAC @ NOP",L,110.62,40.81,86.12,47.52,11.06,31.56,35.42,17.94,20.94,85.67,10.38,33.81,44.19,24.69,13.56,8.0,4.81,17.31,-0.44
"Mar 14, 2024 - LAC @ CHI",W,110.24,40.59,85.59,47.56,11.12,31.65,35.48,17.94,20.82,86.2,10.06,33.71,43.76,24.29,13.65,7.88,5.0,17.29,-0.88
"Mar 12, 2024 - LAC vs. MIN",L,111.11,41.0,85.28,48.25,11.61,32.11,36.29,17.5,20.44,85.38,9.83,33.44,43.28,24.72,13.44,7.94,4.83,17.22,0.0
"Mar 10, 2024 - LAC vs. MIL",L,110.53,40.63,84.58,48.19,11.58,32.0,36.31,17.68,20.68,85.31,9.74,33.05,42.79,24.58,13.68,7.89,4.79,17.26,-0.95
"Mar 09, 2024 - LAC vs. CHI",W,110.85,40.95,85.55,48.05,11.7,32.75,35.98,17.25,20.15,85.54,10.1,33.15,43.25,24.85,13.5,7.65,5.0,17.55,-1.25
