MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 12, 2024 - LAL @ MEM",W,124.0,48.0,87.0,55.2,11.0,29.0,37.9,17.0,18.0,94.4,7.0,32.0,39.0,32.0,15.0,12.0,3.0,13.0,16.0
"Apr 09, 2024 - LAL vs. GSW",L,123.5,45.0,84.0,53.55,12.0,33.0,36.5,21.5,26.0,85.45,8.5,30.5,39.0,28.5,17.0,8.5,4.5,15.0,9.5
"Apr 07, 2024 - LAL vs. MIN",L,122.33,44.67,88.0,50.97,12.0,33.67,35.77,21.0,25.33,84.73,9.0,30.33,39.33,29.33,14.0,8.33,4.0,14.67,1.67
"Apr 06, 2024 - LAL vs. CLE",W,121.0,43.25,87.0,49.82,11.75,33.0,35.7,22.75,27.0,85.42,9.25,30.5,39.75,28.75,14.25,8.75,3.5,14.5,-1.25
"Apr 03, 2024 - LAL @ WAS",W,120.0,43.6,85.6,51.12,12.6,33.8,37.2,20.2,24.8,80.84,8.6,31.2,39.8,29.0,15.4,9.2,5.0,14.0,2.8
"Apr 02, 2024 - LAL @ TOR",W,120.83,44.0,86.5,51.02,11.83,32.83,35.77,21.0,25.5,81.73,9.0,32.33,41.33,27.67,15.67,9.33,4.83,13.33,3.17
"Mar 31, 2024 - LAL @ BKN",W,121.86,45.14,88.57,51.09,12.71,34.0,36.93,18.86,23.57,77.2,9.57,32.57,42.14,29.14,15.57,8.86,5.29,13.86,5.14
"Mar 29, 2024 - LAL @ IND",L,121.12,44.75,87.12,51.51,13.0,34.75,37.0,18.62,23.38,77.21,9.12,34.0,43.12,28.5,16.12,8.75,5.38,14.0,6.0
"Mar 27, 2024 - LAL @ MEM",W,117.67,43.67,87.0,50.31,12.11,34.22,34.74,18.22,22.78,77.89,9.22,34.44,43.67,28.0,16.11,8.11,5.11,14.0,3.22
"Mar 26, 2024 - LAL @ MIL",W,119.5,43.8,86.4,50.84,12.7,34.1,36.72,19.2,24.0,78.1,8.7,34.9,43.6,28.3,16.1,7.8,5.0,14.5,4.1
"Mar 24, 2024 - LAL vs. IND",W,120.27,43.64,88.36,49.75,12.82,35.0,36.27,20.18,24.73,79.53,9.27,36.64,45.91,28.45,16.18,7.45,5.27,14.36,4.09
"Mar 22, 2024 - LAL vs. PHI",W,122.75,44.17,88.42,50.29,12.75,34.17,37.25,21.67,26.25,80.27,9.17,36.33,45.5,28.42,15.67,7.33,5.42,14.33,4.17
"Mar 18, 2024 - LAL vs. ATL",W,121.08,43.23,87.23,49.79,12.69,33.92,37.36,21.92,26.77,79.92,9.31,36.85,46.15,27.92,16.08,6.85,5.54,14.46,4.38
"Mar 16, 2024 - LAL vs. GSW",L,122.14,43.86,87.43,50.36,12.86,34.07,37.67,21.57,26.29,80.29,8.93,37.36,46.29,28.71,15.57,6.79,5.43,14.5,6.29
"Mar 13, 2024 - LAL @ SAC",L,122.07,44.07,87.73,50.41,12.8,34.07,37.51,21.13,25.73,80.49,8.87,36.93,45.8,28.93,15.2,6.53,5.33,14.4,5.4
"Mar 10, 2024 - LAL vs. MIN",W,121.12,43.69,87.12,50.31,12.88,33.94,37.91,20.88,25.5,80.29,8.75,36.56,45.31,28.69,15.12,6.62,5.12,14.25,4.25
"Mar 08, 2024 - LAL vs. MIL",W,121.06,43.71,86.88,50.46,12.71,33.35,38.13,20.94,25.71,80.03,9.06,36.88,45.94,28.71,15.47,6.76,5.06,14.12,4.65
"Mar 06, 2024 - LAL vs. SAC",L,121.17,43.89,87.06,50.56,12.89,33.39,38.63,20.5,25.33,79.38,8.78,36.72,45.5,28.61,14.89,6.5,5.17,14.22,4.44
"Mar 04, 2024 - LAL vs. OKC",W,121.11,43.79,86.74,50.63,13.0,33.32,39.06,20.53,25.32,79.63,8.47,36.42,44.89,28.42,14.84,6.37,5.16,14.21,3.68
"Mar 02, 2024 - LAL vs. DEN",L,120.85,43.65,86.4,50.66,13.15,33.35,39.46,20.4,25.3,79.24,8.65,36.75,45.4,28.45,15.15,6.45,5.25,14.25,4.1
"Feb 29, 2024 - LAL vs. WAS",W,120.52,43.81,86.52,50.77,13.1,33.14,39.56,19.81,24.62,78.93,8.52,36.19,44.71,28.67,14.76,6.38,5.19,14.0,3.43
"Feb 28, 2024 - LAL @ LAC",W,121.14,44.23,87.18,50.85,12.86,32.68,39.34,19.82,24.59,79.13,8.45,36.27,44.73,28.73,14.59,6.36,5.23,14.09,3.41
"Feb 25, 2024 - LAL @ PHX",L,120.91,44.35,87.13,51.01,12.91,32.83,39.32,19.3,23.96,79.17,8.43,36.04,44.48,28.7,14.7,6.35,5.22,14.0,3.43
"Feb 23, 2024 - LAL vs. SAS",W,120.58,44.46,87.25,51.06,13.0,32.92,39.47,18.67,23.29,77.95,8.21,35.83,44.04,28.67,14.58,6.38,5.17,14.0,2.88
"Feb 22, 2024 - LAL @ GSW",L,120.68,44.64,87.56,51.08,12.92,32.68,39.52,18.48,23.08,77.95,8.28,35.84,44.12,28.64,14.52,6.4,5.12,14.16,2.96
"Feb 14, 2024 - LAL @ UTA",W,120.27,44.58,87.58,51.0,12.81,32.77,39.1,18.31,23.0,77.52,8.35,35.65,44.0,28.62,14.38,6.35,5.27,14.31,2.15
"Feb 13, 2024 - LAL vs. DET",W,120.93,44.85,87.7,51.23,12.85,32.7,39.33,18.37,23.04,77.73,8.22,35.52,43.74,28.81,14.22,6.41,5.22,14.26,2.67
"Feb 09, 2024 - LAL vs. NOP",W,121.07,44.79,87.57,51.23,12.89,32.79,39.35,18.61,23.29,77.93,8.18,35.68,43.86,28.93,14.29,6.39,5.43,14.25,3.07
"Feb 08, 2024 - LAL vs. DEN",L,121.69,44.93,87.59,51.38,12.93,32.72,39.55,18.9,23.59,78.15,8.07,35.38,43.45,29.03,14.07,6.34,5.41,14.45,3.55
"Feb 05, 2024 - LAL @ CHA",W,121.17,44.8,87.63,51.2,12.77,32.47,39.3,18.8,23.53,77.97,8.13,35.17,43.3,28.97,13.83,6.53,5.57,14.3,3.17
"Feb 03, 2024 - LAL @ NYK",W,121.26,44.97,87.68,51.36,12.61,32.52,38.79,18.71,23.39,78.17,8.1,35.35,43.45,29.19,13.94,6.48,5.58,14.23,3.26
"Feb 01, 2024 - LAL @ BOS",W,121.0,44.78,87.44,51.28,12.59,32.47,38.79,18.84,23.5,78.39,7.94,35.34,43.28,29.16,13.66,6.41,5.75,14.28,3.41
"Jan 30, 2024 - LAL @ ATL",L,120.79,44.58,87.64,50.95,12.79,32.58,39.21,18.85,23.58,78.23,8.15,35.39,43.55,29.18,13.45,6.55,5.64,14.09,3.58
"Jan 29, 2024 - LAL @ HOU",L,120.82,44.68,87.71,51.02,12.76,32.59,39.13,18.71,23.62,77.58,8.12,35.24,43.35,29.15,13.47,6.71,5.56,14.15,3.0
"Jan 27, 2024 - LAL @ GSW",W,120.77,44.69,87.8,50.98,12.77,32.66,39.07,18.63,23.69,77.12,8.0,35.11,43.11,29.06,13.43,6.8,5.57,14.11,2.46
"Jan 25, 2024 - LAL vs. CHI",W,121.44,44.81,88.17,50.91,12.67,32.5,38.91,19.17,24.22,77.43,7.97,35.47,43.44,29.17,13.61,6.86,5.56,14.31,2.42
"Jan 23, 2024 - LAL @ LAC",L,121.97,45.03,88.14,51.18,12.86,32.46,39.6,19.05,24.11,77.36,7.89,35.19,43.08,29.32,13.62,6.95,5.51,14.49,2.59
"Jan 21, 2024 - LAL vs. POR",W,121.82,45.03,88.24,51.12,12.82,32.45,39.47,18.95,24.05,77.12,8.03,35.0,43.03,29.26,13.66,7.0,5.58,14.5,2.24
