MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 12, 2024 - MIL @ OKC",L,88.0,30.0,75.0,40.0,7.0,27.0,25.9,21.0,23.0,91.3,7.0,27.0,34.0,16.0,17.0,10.0,4.0,18.0,-25.0
"Apr 10, 2024 - MIL vs. ORL",W,97.5,36.0,80.0,44.7,9.0,28.5,31.3,16.5,18.0,91.8,7.5,30.5,38.0,21.5,18.0,8.5,3.5,16.5,-21.5
"Apr 09, 2024 - MIL vs. BOS",W,104.0,38.33,81.33,46.87,11.0,32.33,33.37,16.33,18.67,87.87,8.33,31.33,39.67,23.33,17.0,8.67,3.67,17.67,-8.33
"Apr 07, 2024 - MIL vs. NYK",L,104.0,39.5,81.25,48.43,12.5,33.25,36.83,12.5,14.5,78.4,8.75,33.25,42.0,24.75,17.25,8.0,4.0,14.25,-3.0
"Apr 05, 2024 - MIL vs. TOR",L,105.0,38.6,80.0,48.08,12.4,33.4,36.52,15.4,18.0,79.6,8.8,32.4,41.2,25.2,16.6,7.0,4.6,14.6,-5.0
"Apr 03, 2024 - MIL vs. MEM",L,106.0,39.0,82.33,47.33,12.33,34.83,35.2,15.67,18.5,79.83,9.33,32.5,41.83,24.5,16.0,7.17,4.83,16.17,-5.17
"Apr 02, 2024 - MIL @ WAS",L,105.29,38.86,84.14,46.29,13.14,36.14,36.01,14.43,17.57,76.76,9.86,32.29,42.14,24.71,15.29,6.86,5.57,15.86,-5.86
"Mar 30, 2024 - MIL @ ATL",W,106.25,39.62,86.5,45.96,12.88,37.62,34.38,14.12,17.62,75.5,10.88,33.12,44.0,25.5,14.88,7.0,5.62,16.0,-5.62
"Mar 28, 2024 - MIL @ NOP",L,108.0,40.0,85.56,46.98,12.33,36.56,33.73,15.67,19.56,76.0,10.33,33.22,43.56,25.67,14.56,7.0,5.56,16.22,-4.0
"Mar 26, 2024 - MIL vs. LAL",L,107.2,39.8,85.2,46.91,12.5,36.8,33.95,15.1,19.5,73.66,9.8,34.0,43.8,25.2,14.5,6.4,5.4,17.1,-4.3
"Mar 24, 2024 - MIL vs. OKC",W,108.73,40.64,88.27,46.39,12.73,38.09,33.54,14.73,19.27,72.85,10.27,35.09,45.36,26.27,14.45,6.64,5.36,17.91,-4.27
"Mar 21, 2024 - MIL vs. BKN",W,109.5,41.33,88.58,46.97,12.58,37.75,33.44,14.25,18.83,72.13,10.67,35.67,46.33,26.83,14.67,6.67,5.33,18.17,-1.83
"Mar 20, 2024 - MIL @ BOS",L,109.92,41.46,88.77,46.99,12.85,38.0,33.87,14.15,18.54,73.25,10.69,35.15,45.85,26.85,14.31,6.54,5.23,18.08,-1.15
"Mar 17, 2024 - MIL vs. PHX",W,110.57,41.71,88.43,47.46,13.14,37.79,34.92,14.0,18.21,74.14,10.57,34.93,45.5,26.36,14.36,6.29,5.29,18.57,-1.29
"Mar 14, 2024 - MIL vs. PHI",W,112.53,42.33,88.8,47.92,13.87,38.0,36.49,14.0,17.93,75.87,10.53,34.27,44.8,26.93,14.13,6.6,5.07,18.13,-0.47
