DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 12, 2024",MIN,ATL,H,W,106.0,36.0,70.0,51.4,9.0,26.0,34.6,25.0,31.0,80.6,12.0,24.0,36.0,22.0,24.0,7.0,5.0,20.0,-19.0
"Apr 10, 2024",MIN,DEN,A,L,107.5,37.0,74.5,49.75,9.5,31.5,30.8,24.0,30.0,79.95,9.5,30.5,40.0,25.5,19.0,7.5,8.0,21.0,-8.0
"Apr 09, 2024",MIN,WAS,H,W,107.33,38.33,77.0,49.83,10.67,31.0,34.97,20.0,27.0,72.33,9.33,29.0,38.33,24.67,16.0,8.0,7.0,21.0,-8.33
"Apr 07, 2024",MIN,LAL,A,W,113.0,39.5,80.25,49.33,12.5,33.5,37.2,21.5,28.25,74.57,9.5,30.25,39.75,26.0,14.0,8.25,7.25,19.25,-4.0
"Apr 05, 2024",MIN,PHX,A,L,115.8,41.6,83.6,49.76,13.0,34.6,37.46,19.6,25.4,76.8,10.2,30.8,41.0,26.6,14.4,9.0,6.4,19.4,-1.2
"Apr 03, 2024",MIN,TOR,H,W,111.0,40.17,83.83,47.93,12.5,33.67,36.97,18.17,23.5,77.1,9.83,31.67,41.5,26.0,15.17,9.0,6.33,19.5,-2.67
"Apr 02, 2024",MIN,HOU,H,W,114.14,41.43,85.57,48.37,13.57,35.0,38.33,17.71,23.29,75.83,9.71,33.0,42.71,27.57,14.29,9.57,6.71,18.43,4.57
"Mar 31, 2024",MIN,CHI,H,L,114.0,41.38,84.5,48.98,13.25,33.88,38.83,18.0,23.12,77.71,9.25,33.0,42.25,27.75,14.75,9.88,6.5,18.25,4.88
"Mar 29, 2024",MIN,DEN,A,W,112.56,41.0,84.11,48.74,13.0,34.22,37.81,17.56,22.89,76.49,9.11,32.56,41.67,27.78,14.67,10.11,6.33,17.33,3.44
"Mar 27, 2024",MIN,DET,H,W,112.4,40.7,83.1,49.01,12.6,33.6,37.24,18.4,24.3,75.87,8.8,32.6,41.4,27.8,14.1,9.7,6.4,17.6,4.4
"Mar 24, 2024",MIN,GSW,H,W,111.82,40.82,83.0,49.21,12.45,33.82,36.64,17.73,23.55,75.23,8.82,32.45,41.27,27.82,13.91,9.55,6.09,17.55,5.36
"Mar 22, 2024",MIN,CLE,H,W,112.0,40.75,83.08,49.07,13.17,34.33,37.96,17.33,23.08,74.97,8.67,32.83,41.5,28.0,14.08,9.5,6.0,17.5,5.25
"Mar 19, 2024",MIN,DEN,H,L,111.38,40.77,83.23,49.01,13.23,33.77,39.03,16.62,22.54,73.05,9.0,32.85,41.85,27.92,13.92,9.46,5.92,17.08,5.85
