MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 12, 2024 - OKC vs. MIL",W,135.0,54.0,97.0,55.7,14.0,34.0,41.2,13.0,16.0,81.3,11.0,47.0,58.0,38.0,15.0,6.0,6.0,17.0,49.0
"Apr 10, 2024 - OKC vs. SAS",W,130.0,50.5,93.0,54.25,13.5,36.0,37.7,15.5,18.0,85.65,9.5,38.5,48.0,33.5,12.5,9.5,5.5,14.5,33.5
"Apr 09, 2024 - OKC vs. SAC",W,129.0,49.33,95.67,51.67,14.33,36.67,39.17,16.0,19.0,84.1,8.67,44.0,52.67,33.33,12.33,10.33,5.67,15.0,35.0
"Apr 07, 2024 - OKC @ CHA",W,124.75,46.75,91.75,50.95,13.5,35.0,38.55,17.75,22.0,81.62,8.0,42.0,50.0,30.25,12.75,10.5,6.25,15.75,28.0
"Apr 05, 2024 - OKC @ IND",L,124.0,46.4,90.8,51.1,14.4,35.2,40.84,16.8,21.0,80.6,8.4,38.8,47.2,30.8,13.6,11.2,5.8,16.0,23.0
"Apr 03, 2024 - OKC @ BOS",L,122.0,45.67,90.0,50.72,13.33,34.33,38.48,17.33,21.5,81.05,8.5,37.33,45.83,29.67,13.83,10.67,5.83,16.17,16.83
"Apr 02, 2024 - OKC @ PHI",L,118.86,44.14,88.71,49.64,12.14,32.86,35.96,18.43,22.43,82.23,8.0,35.71,43.71,28.43,13.86,10.29,5.71,15.43,9.43
"Mar 31, 2024 - OKC @ NYK",W,117.12,43.25,88.5,48.75,12.25,33.62,35.62,18.38,22.38,82.17,8.5,35.12,43.62,28.62,14.0,10.25,6.12,15.75,7.75
"Mar 29, 2024 - OKC vs. PHX",W,116.67,43.33,87.78,49.3,12.33,33.67,35.91,17.67,22.56,78.6,8.56,35.0,43.56,28.67,13.89,9.78,6.33,16.56,7.0
"Mar 27, 2024 - OKC vs. HOU",L,117.8,43.9,87.7,50.0,12.7,33.3,37.65,17.3,21.7,80.74,8.4,34.6,43.0,29.1,13.6,9.5,6.4,16.2,8.8
"Mar 26, 2024 - OKC @ NOP",W,118.55,44.18,88.45,49.91,12.82,33.73,37.57,17.36,21.91,80.22,8.82,34.73,43.55,28.82,14.09,9.27,6.45,16.91,7.45
"Mar 24, 2024 - OKC @ MIL",L,118.58,44.33,88.25,50.21,13.0,33.75,38.12,16.92,21.25,80.67,8.67,35.0,43.67,28.75,13.92,8.92,6.17,16.92,7.42
"Mar 22, 2024 - OKC @ TOR",W,116.62,43.46,88.31,49.2,12.77,34.46,36.98,16.92,21.31,80.42,8.77,34.38,43.15,28.08,13.77,8.92,5.77,16.85,4.92
"Mar 20, 2024 - OKC vs. UTA",W,117.07,43.79,88.79,49.29,12.71,34.29,37.01,16.79,21.14,80.31,9.07,34.29,43.36,28.0,13.93,9.5,5.71,17.07,6.0
"Mar 16, 2024 - OKC @ MEM",W,117.2,43.73,88.73,49.27,12.53,34.27,36.51,17.2,21.67,80.24,9.13,34.33,43.47,28.07,13.67,9.53,5.8,17.0,6.4
"Mar 14, 2024 - OKC vs. DAL",W,117.25,43.81,88.62,49.42,12.5,34.31,36.37,17.12,21.62,79.99,9.06,34.5,43.56,27.88,13.56,9.38,5.94,17.12,6.38
"Mar 12, 2024 - OKC vs. IND",L,117.76,43.88,88.47,49.59,12.71,34.59,36.64,17.29,21.71,80.4,9.0,34.0,43.0,27.88,13.53,9.41,6.0,17.53,6.41
"Mar 10, 2024 - OKC vs. MEM",W,117.39,43.83,89.06,49.24,12.78,34.72,36.71,16.94,21.33,80.01,9.22,34.17,43.39,27.67,13.5,9.17,5.89,17.44,5.5
"Mar 08, 2024 - OKC vs. MIA",W,117.74,44.11,89.26,49.43,13.21,35.37,37.13,16.32,20.47,81.06,9.16,34.37,43.53,28.11,13.32,9.11,5.89,17.47,6.84
"Mar 06, 2024 - OKC @ POR",W,117.2,44.0,89.25,49.32,13.15,35.5,36.85,16.05,20.1,81.23,9.15,34.45,43.6,28.1,13.1,8.9,6.0,17.4,6.85
"Mar 04, 2024 - OKC @ LAL",L,117.71,43.95,88.52,49.73,12.95,34.86,37.04,16.86,21.0,81.4,9.05,34.33,43.38,27.86,13.33,8.95,5.95,17.43,6.9
"Mar 03, 2024 - OKC @ PHX",W,117.09,43.64,88.77,49.26,13.05,35.05,37.11,16.77,20.77,81.96,9.23,33.91,43.14,27.59,13.18,9.09,6.0,17.55,6.05
"Feb 29, 2024 - OKC @ SAS",L,117.13,43.87,89.35,49.21,12.87,34.87,36.76,16.52,20.52,81.58,9.26,33.78,43.04,27.3,12.87,9.39,6.09,17.43,6.13
"Feb 27, 2024 - OKC vs. HOU",W,117.17,43.88,89.33,49.22,12.71,34.71,36.43,16.71,20.58,82.16,9.17,33.62,42.79,27.0,12.79,9.25,5.92,17.33,5.29
"Feb 25, 2024 - OKC @ HOU",W,116.96,43.88,89.48,49.14,12.6,34.4,36.46,16.6,20.48,81.99,9.28,34.0,43.28,26.68,12.88,9.16,6.0,17.2,5.76
"Feb 23, 2024 - OKC vs. WAS",W,117.19,43.96,89.77,49.07,12.77,34.42,36.92,16.5,20.27,82.42,9.31,34.15,43.46,26.81,12.85,9.27,6.08,17.38,6.04
"Feb 22, 2024 - OKC vs. LAC",W,118.3,44.37,89.85,49.47,13.04,34.63,37.41,16.52,20.3,82.37,9.26,34.67,43.93,26.93,12.93,9.11,6.19,17.56,7.33
"Feb 13, 2024 - OKC @ ORL",W,118.68,44.57,89.86,49.69,13.18,34.64,37.81,16.36,20.18,81.95,9.21,34.71,43.93,26.82,13.0,9.11,6.36,17.5,7.86
"Feb 11, 2024 - OKC vs. SAC",W,118.97,44.62,89.66,49.87,13.17,34.55,37.9,16.55,20.31,82.29,9.03,34.45,43.48,26.86,12.97,9.1,6.41,17.59,8.07
"Feb 10, 2024 - OKC @ DAL",L,119.23,44.67,89.5,50.01,13.17,34.3,38.24,16.73,20.53,82.26,8.9,34.33,43.23,26.97,12.9,9.07,6.5,17.57,8.27
"Feb 06, 2024 - OKC @ UTA",L,118.97,44.45,89.77,49.65,13.29,34.71,38.18,16.77,20.55,82.37,9.0,34.13,43.13,26.84,12.81,8.94,6.42,17.74,6.87
"Feb 04, 2024 - OKC vs. TOR",W,118.91,44.41,89.78,49.59,13.47,34.78,38.59,16.62,20.47,81.88,9.0,33.78,42.78,26.81,12.75,8.94,6.5,17.69,6.44
"Feb 02, 2024 - OKC vs. CHA",W,119.39,44.64,90.39,49.52,13.76,35.64,38.53,16.36,20.09,82.43,9.15,33.7,42.85,27.21,12.7,8.85,6.55,17.61,6.48
"Jan 31, 2024 - OKC vs. DEN",W,119.59,44.62,89.94,49.79,13.85,35.65,38.78,16.5,20.29,82.29,8.97,33.91,42.88,27.32,12.88,8.88,6.65,17.59,6.88
"Jan 29, 2024 - OKC vs. MIN",L,119.17,44.4,89.86,49.58,13.77,35.37,38.88,16.6,20.43,82.23,9.14,34.03,43.17,27.23,12.89,8.69,6.71,17.49,6.83
"Jan 28, 2024 - OKC @ DET",L,118.67,44.14,89.56,49.43,13.78,35.36,38.91,16.61,20.47,82.09,9.11,33.92,43.03,27.06,12.86,8.58,6.72,17.47,6.47
"Jan 26, 2024 - OKC @ NOP",W,118.27,44.14,89.62,49.39,13.62,35.16,38.64,16.38,20.24,81.68,9.16,33.86,43.03,26.78,12.78,8.54,6.68,17.49,5.86
"Jan 24, 2024 - OKC @ SAS",W,117.97,44.08,89.58,49.34,13.53,35.11,38.42,16.29,20.08,81.97,9.08,34.0,43.08,26.66,12.79,8.61,6.63,17.32,6.34
"Jan 23, 2024 - OKC vs. POR",W,118.54,44.33,89.74,49.52,13.64,35.23,38.58,16.23,19.97,82.11,9.26,33.92,43.18,26.9,12.87,8.67,6.67,17.38,6.85
"Jan 20, 2024 - OKC @ MIN",W,118.35,44.3,89.72,49.49,13.47,34.92,38.38,16.27,20.18,81.67,9.28,33.9,43.17,26.8,12.85,8.68,6.75,17.4,6.72
