MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 12, 2024 - ORL @ PHI",L,113.0,42.0,85.0,49.4,11.0,35.0,31.4,18.0,19.0,94.7,7.0,36.0,43.0,27.0,14.0,11.0,5.0,18.0,25.0
"Apr 10, 2024 - ORL @ MIL",L,113.0,42.5,90.0,47.35,9.5,31.0,30.5,18.5,22.0,85.35,8.5,35.5,44.0,26.0,12.5,9.0,6.0,19.5,6.5
"Apr 09, 2024 - ORL @ HOU",L,108.33,40.33,86.0,46.97,10.0,30.67,32.57,17.67,22.33,80.1,7.33,33.33,40.67,23.67,13.67,8.0,4.33,18.0,-1.67
"Apr 07, 2024 - ORL vs. CHI",W,107.75,40.0,86.0,46.55,9.25,29.0,31.73,18.5,22.5,82.9,8.0,33.0,41.0,23.5,14.0,8.25,4.75,17.25,-4.25
"Apr 05, 2024 - ORL @ CHA",L,108.8,40.4,86.8,46.58,9.6,30.0,31.86,18.4,21.8,85.26,8.4,32.4,40.8,23.6,13.2,9.0,4.6,17.2,-0.4
"Apr 03, 2024 - ORL @ NOP",W,109.83,40.67,88.0,46.27,9.5,31.33,30.5,19.0,22.5,85.15,9.5,30.67,40.17,23.67,12.67,9.0,4.33,17.5,-1.83
"Apr 01, 2024 - ORL vs. POR",W,110.86,40.71,86.86,46.99,10.0,31.43,31.94,19.43,23.57,83.46,9.14,30.86,40.0,24.14,12.71,9.0,4.0,17.86,-0.29
"Mar 30, 2024 - ORL vs. MEM",W,110.0,40.12,85.5,47.04,10.12,31.5,32.25,19.62,24.0,82.75,9.12,31.25,40.38,24.38,13.12,8.38,4.25,17.75,-0.12
"Mar 29, 2024 - ORL vs. LAC",L,110.89,39.89,84.67,47.22,11.44,32.89,34.22,19.67,23.89,83.22,8.67,32.0,40.67,24.78,13.56,8.33,4.67,17.56,3.22
"Mar 27, 2024 - ORL vs. GSW",L,109.5,39.7,84.8,46.92,11.3,32.5,34.25,18.8,23.0,82.23,9.1,31.3,40.4,24.3,13.9,8.5,5.0,16.9,2.6
"Mar 23, 2024 - ORL vs. SAC",L,108.0,39.36,84.82,46.51,11.18,32.45,33.98,18.09,22.82,79.52,9.18,31.09,40.27,24.36,13.64,8.64,5.0,16.55,1.64
"Mar 21, 2024 - ORL vs. NOP",W,107.92,39.58,85.08,46.61,11.08,32.67,33.53,17.67,22.42,78.91,9.42,31.58,41.0,24.58,13.58,8.33,4.83,16.83,1.33
"Mar 19, 2024 - ORL vs. CHA",W,108.92,40.15,85.15,47.23,11.31,32.92,33.95,17.31,22.15,78.1,9.46,31.46,40.92,25.23,13.77,8.62,4.77,16.77,2.38
"Mar 17, 2024 - ORL vs. TOR",W,109.14,40.43,84.86,47.74,11.36,33.0,34.04,16.93,21.5,79.11,9.5,31.43,40.93,25.71,14.07,8.71,4.86,16.29,3.64
"Mar 15, 2024 - ORL @ TOR",W,109.27,40.6,84.87,47.93,11.33,33.2,33.81,16.73,21.4,78.51,9.53,31.27,40.8,25.47,14.13,8.6,4.8,16.27,4.4
"Mar 13, 2024 - ORL vs. BKN",W,109.5,40.56,84.56,48.06,11.5,33.06,34.53,16.88,21.44,79.0,9.31,31.38,40.69,25.44,14.19,8.5,4.75,16.19,4.75
"Mar 10, 2024 - ORL vs. IND",L,109.76,40.53,84.12,48.28,11.65,33.0,35.07,17.06,21.71,78.88,9.12,31.18,40.29,25.65,14.12,8.35,4.82,16.41,4.94
"Mar 08, 2024 - ORL @ NYK",L,109.06,40.11,84.33,47.68,11.5,33.17,34.51,17.33,22.11,78.71,9.33,31.28,40.61,25.22,14.06,8.28,4.72,17.0,3.89
"Mar 06, 2024 - ORL @ WAS",W,107.21,39.42,84.05,46.97,11.21,32.79,33.91,17.16,22.0,78.25,9.47,30.95,40.42,24.53,14.05,8.21,5.0,16.74,2.42
"Mar 05, 2024 - ORL @ CHA",W,107.8,39.65,83.9,47.34,11.25,32.45,34.53,17.25,21.95,78.87,9.45,31.05,40.5,24.35,14.1,8.0,5.0,16.6,2.8
"Mar 03, 2024 - ORL vs. DET",W,107.48,39.67,83.43,47.66,11.33,32.57,34.65,16.81,21.62,77.65,9.38,31.14,40.52,24.29,14.29,8.05,4.81,16.57,3.24
"Feb 29, 2024 - ORL vs. UTA",W,107.73,39.82,82.91,48.21,11.14,32.14,34.45,16.95,21.77,77.75,9.27,31.59,40.86,24.27,14.64,8.0,4.86,16.55,4.09
"Feb 27, 2024 - ORL vs. BKN",W,108.04,39.91,82.65,48.48,11.09,32.04,34.4,17.13,22.17,77.32,9.3,31.74,41.04,24.39,14.65,8.04,4.91,16.7,4.26
"Feb 25, 2024 - ORL @ ATL",L,108.04,39.88,82.29,48.66,11.0,31.75,34.47,17.29,22.29,77.6,9.12,31.79,40.92,24.21,14.83,8.29,4.79,16.92,5.21
"Feb 24, 2024 - ORL @ DET",W,107.4,39.68,82.36,48.38,11.12,32.0,34.56,16.92,22.12,76.27,9.32,32.0,41.32,24.16,15.04,8.24,4.96,17.0,4.32
"Feb 22, 2024 - ORL @ CLE",W,107.58,39.81,82.54,48.42,11.15,31.69,35.16,16.81,22.08,75.9,9.46,32.04,41.5,24.19,14.96,8.27,5.12,16.92,4.27
"Feb 14, 2024 - ORL vs. NYK",W,107.89,39.93,82.59,48.52,11.26,31.44,35.93,16.78,21.93,76.38,9.48,31.7,41.19,24.26,14.89,8.26,5.04,17.15,4.37
"Feb 13, 2024 - ORL vs. OKC",L,108.25,40.21,82.36,49.05,11.29,31.25,36.3,16.54,21.54,76.9,9.39,31.54,40.93,24.29,14.79,8.21,5.11,17.32,4.86
"Feb 10, 2024 - ORL vs. CHI",W,108.41,40.24,82.66,48.91,11.28,31.41,36.1,16.66,21.66,77.01,9.55,31.62,41.17,24.45,14.83,8.14,5.03,17.38,4.21
"Feb 08, 2024 - ORL vs. SAS",W,108.6,40.27,82.83,48.83,11.33,31.67,36.01,16.73,21.8,76.88,9.67,31.73,41.4,24.4,14.9,8.0,5.07,17.4,4.27
"Feb 06, 2024 - ORL @ MIA",L,109.19,40.55,82.81,49.19,11.48,31.52,36.76,16.61,21.74,76.49,9.61,31.71,41.32,24.71,14.97,8.1,5.06,17.48,4.65
"Feb 04, 2024 - ORL @ DET",W,108.75,40.38,82.72,49.02,11.44,31.62,36.5,16.56,21.72,76.33,9.56,31.69,41.25,24.72,15.06,8.06,5.0,17.47,3.69
"Feb 02, 2024 - ORL @ MIN",W,108.82,40.52,82.76,49.16,11.39,31.39,36.66,16.39,21.52,76.24,9.48,31.64,41.12,24.64,14.91,8.03,4.94,17.48,3.94
"Jan 31, 2024 - ORL @ SAS",W,108.79,40.47,82.82,49.06,11.32,31.21,36.64,16.53,21.65,76.38,9.5,31.65,41.15,24.62,14.91,8.12,4.91,17.47,3.88
