DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 12, 2024",SAS,DEN,H,W,123.0,49.0,91.0,53.8,15.0,34.0,44.1,10.0,14.0,71.4,12.0,42.0,54.0,33.0,14.0,9.0,3.0,17.0,28.0
"Apr 10, 2024",SAS,OKC,A,L,122.0,47.0,88.0,53.35,15.0,33.5,44.8,13.0,18.5,70.5,11.5,40.0,51.5,32.0,16.0,5.5,3.5,15.0,14.5
"Apr 09, 2024",SAS,MEM,A,W,111.0,42.0,90.67,46.67,13.0,35.67,37.37,14.0,19.0,73.67,9.0,41.0,50.0,29.33,15.67,6.33,3.67,14.67,-3.0
"Apr 07, 2024",SAS,PHI,H,L,108.75,42.0,89.75,47.08,12.25,36.75,34.27,12.5,16.25,80.25,9.25,41.0,50.25,29.5,16.0,6.0,5.5,14.0,1.5
"Apr 05, 2024",SAS,NOP,A,W,112.2,42.4,91.4,46.64,13.0,38.2,34.7,14.4,18.2,81.12,10.2,41.8,52.0,29.8,17.8,5.8,6.6,14.6,-0.2
"Apr 02, 2024",SAS,DEN,A,L,112.0,42.33,90.0,47.3,13.67,39.5,35.08,13.67,17.33,80.42,9.5,39.5,49.0,30.5,17.67,6.33,6.83,14.33,0.17
"Mar 31, 2024",SAS,GSW,H,L,111.0,42.29,92.14,46.26,13.57,40.14,34.29,12.86,17.14,76.07,10.29,40.14,50.43,30.86,16.29,6.0,7.57,15.0,-0.57
"Mar 29, 2024",SAS,NYK,H,W,111.25,42.0,91.75,46.09,14.0,40.5,34.94,13.25,17.25,77.67,11.0,38.75,49.75,30.88,16.62,6.12,7.25,14.62,-1.0
"Mar 27, 2024",SAS,UTA,A,W,113.33,42.22,90.67,46.93,14.22,40.44,35.5,14.67,18.89,78.08,10.67,38.67,49.33,31.22,16.44,5.78,6.67,14.78,-0.44
"Mar 25, 2024",SAS,PHX,H,W,113.8,42.4,90.2,47.36,14.4,39.7,36.8,14.6,19.1,76.94,10.5,38.0,48.5,32.1,16.9,6.1,6.7,15.4,0.3
"Mar 23, 2024",SAS,PHX,H,L,112.91,42.18,90.27,47.05,13.82,38.91,35.8,14.73,19.09,77.6,10.0,37.73,47.73,31.27,16.0,6.45,6.18,15.36,0.45
"Mar 22, 2024",SAS,MEM,H,L,112.33,42.0,89.83,47.06,13.42,38.42,35.09,14.92,19.25,77.88,9.83,36.75,46.58,30.92,15.92,6.42,6.17,14.83,-1.67
"Mar 19, 2024",SAS,DAL,H,L,111.15,41.62,90.23,46.43,12.92,38.38,33.81,15.0,19.54,77.25,10.23,37.08,47.31,30.38,15.92,6.85,6.23,15.46,-1.69
"Mar 17, 2024",SAS,BKN,H,W,110.86,41.43,90.14,46.24,13.0,38.43,33.96,15.0,19.64,76.83,10.14,37.21,47.36,30.43,15.93,6.79,6.5,15.36,-2.0
"Mar 15, 2024",SAS,DEN,H,L,111.6,41.73,90.73,46.26,12.73,38.33,33.31,15.4,19.87,77.79,10.33,37.2,47.53,30.4,16.07,6.73,6.73,15.47,-1.4
"Mar 12, 2024",SAS,HOU,H,L,111.25,41.44,90.12,46.22,12.62,37.75,33.6,15.75,20.31,77.79,10.44,36.88,47.31,29.94,16.12,6.69,6.56,15.31,-2.0
"Mar 11, 2024",SAS,GSW,H,L,110.65,41.29,89.65,46.31,12.53,37.65,33.42,15.53,19.94,78.26,10.41,36.59,47.0,29.94,16.06,6.82,6.47,15.59,-2.0
"Mar 09, 2024",SAS,GSW,A,W,110.17,41.17,89.83,46.06,12.61,37.61,33.67,15.22,19.67,77.62,10.56,36.61,47.17,29.78,16.0,6.78,6.67,15.56,-2.44
"Mar 07, 2024",SAS,SAC,A,L,111.0,41.32,89.63,46.33,12.84,37.37,34.61,15.53,20.11,77.48,10.63,36.63,47.26,30.0,15.89,6.74,6.63,15.89,-1.63
"Mar 05, 2024",SAS,HOU,A,L,111.9,41.55,89.7,46.54,13.0,37.15,35.3,15.8,20.15,78.61,10.55,36.2,46.75,30.45,15.7,6.8,6.5,16.1,-1.65
"Mar 03, 2024",SAS,IND,H,W,111.38,41.38,89.57,46.4,12.95,37.1,35.2,15.67,19.95,78.73,10.62,36.29,46.9,30.14,15.86,6.52,6.67,15.9,-2.19
"Feb 29, 2024",SAS,OKC,H,W,111.64,41.59,89.36,46.75,12.82,36.55,35.42,15.64,19.91,78.74,10.59,36.23,46.82,30.27,15.86,6.5,6.73,15.95,-1.55
"Feb 27, 2024",SAS,MIN,A,L,112.52,41.87,89.43,47.01,13.09,36.65,36.0,15.7,19.91,79.01,10.61,36.13,46.74,30.65,15.7,6.48,6.78,16.13,-0.87
"Feb 25, 2024",SAS,UTA,A,L,112.21,41.75,89.12,47.04,13.21,36.83,36.12,15.5,19.71,78.78,10.46,36.04,46.5,30.54,16.0,6.58,6.79,16.08,-1.21
"Feb 23, 2024",SAS,LAL,A,L,112.08,41.76,89.2,47.0,13.2,36.6,36.36,15.36,19.68,78.15,10.44,36.04,46.48,30.68,16.16,6.64,6.96,16.12,-1.92
