MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 12, 2024 - TOR @ MIA",L,103.0,38.0,90.0,42.2,9.0,34.0,26.5,18.0,21.0,85.7,13.0,28.0,41.0,23.0,19.0,6.0,3.0,21.0,-15.0
"Apr 10, 2024 - TOR @ BKN",L,103.0,37.5,83.5,45.15,9.5,32.5,29.4,18.5,21.5,86.05,10.0,31.0,41.0,23.0,18.0,3.5,2.0,21.0,-18.5
"Apr 09, 2024 - TOR vs. IND",L,102.67,36.67,87.0,42.5,11.67,35.0,32.93,17.67,20.33,87.0,11.67,30.67,42.33,21.67,15.33,5.0,3.0,21.33,-13.67
"Apr 07, 2024 - TOR vs. WAS",W,107.75,39.25,88.75,44.38,10.0,31.5,30.65,19.25,23.5,83.42,12.75,29.0,41.75,21.5,15.25,5.75,3.75,21.0,-14.5
"Apr 05, 2024 - TOR @ MIL",W,112.2,41.2,90.2,45.7,10.2,31.4,31.62,19.6,24.4,81.74,11.8,31.4,43.2,23.8,15.0,6.4,3.8,22.0,-10.0
"Apr 03, 2024 - TOR @ MIN",L,113.0,40.33,88.33,45.68,10.83,32.17,32.83,21.5,26.33,82.47,11.33,32.5,43.83,23.83,15.33,6.83,3.67,21.33,-7.33
"Apr 02, 2024 - TOR vs. LAL",L,109.0,39.29,88.57,44.4,10.29,31.86,31.47,20.14,24.57,82.93,11.14,33.29,44.43,23.14,16.14,6.43,4.0,20.43,-13.14
"Mar 31, 2024 - TOR vs. PHI",L,109.25,39.75,88.62,44.89,10.25,31.88,31.45,19.5,24.12,81.49,10.38,33.5,43.88,23.38,16.25,7.0,4.25,20.25,-13.62
"Mar 27, 2024 - TOR vs. NYK",L,110.44,40.56,88.78,45.7,10.33,31.67,32.03,19.0,23.67,80.77,10.0,32.33,42.33,24.22,15.78,7.33,4.0,19.56,-13.78
"Mar 25, 2024 - TOR vs. BKN",L,109.5,40.4,88.3,45.77,10.4,31.6,32.38,18.3,22.6,81.92,10.1,30.8,40.9,24.9,16.0,7.3,4.0,19.3,-16.8
"Mar 23, 2024 - TOR @ WAS",L,107.55,40.09,88.0,45.56,9.91,31.18,31.12,17.45,21.64,81.29,9.91,30.0,39.91,24.73,15.45,7.55,3.82,18.91,-16.0
"Mar 22, 2024 - TOR vs. OKC",L,107.67,40.08,88.5,45.32,9.75,31.33,30.54,17.75,22.0,81.25,10.17,29.92,40.08,24.92,15.17,7.67,4.08,19.0,-14.92
"Mar 20, 2024 - TOR vs. SAC",L,107.31,40.08,87.54,45.88,9.85,31.23,31.02,17.31,21.62,80.43,9.77,30.0,39.77,25.62,16.08,8.0,4.0,18.92,-15.31
"Mar 17, 2024 - TOR @ ORL",L,106.0,39.57,87.0,45.55,9.86,31.21,31.11,17.0,21.36,79.84,9.86,29.29,39.14,25.29,16.5,8.21,3.93,18.64,-16.64
"Mar 15, 2024 - TOR vs. ORL",L,105.33,39.4,86.8,45.45,9.73,31.2,30.75,16.8,20.93,80.74,9.93,29.07,39.0,25.13,16.6,8.13,3.87,18.6,-16.53
"Mar 13, 2024 - TOR @ DET",L,105.19,39.31,86.44,45.54,10.0,31.38,31.41,16.56,20.88,79.76,9.88,29.19,39.06,25.06,16.56,8.31,3.88,18.94,-16.12
"Mar 11, 2024 - TOR @ DEN",L,105.12,39.41,86.82,45.45,9.94,31.65,31.03,16.35,20.76,79.09,9.47,29.47,38.94,25.47,16.24,8.59,4.12,19.0,-15.71
"Mar 09, 2024 - TOR @ POR",L,105.89,39.83,87.17,45.73,10.0,31.56,31.34,16.22,20.56,79.27,9.56,29.56,39.11,25.72,16.0,8.44,4.11,18.83,-15.17
"Mar 07, 2024 - TOR @ PHX",L,106.53,40.0,87.37,45.82,10.32,32.16,31.65,16.21,20.47,79.53,9.53,29.79,39.32,25.89,16.21,8.47,4.21,18.79,-14.89
"Mar 05, 2024 - TOR vs. NOP",L,106.85,40.15,87.7,45.81,10.6,32.75,31.89,15.95,20.2,79.22,9.5,29.65,39.15,26.1,15.85,8.3,4.1,18.85,-14.5
"Mar 03, 2024 - TOR vs. CHA",W,106.43,39.95,87.95,45.47,10.71,33.29,31.78,15.81,20.29,78.26,9.57,29.86,39.43,25.86,15.67,8.19,4.24,18.48,-15.76
"Mar 01, 2024 - TOR vs. GSW",L,106.64,40.05,88.09,45.5,10.82,33.5,31.89,15.73,20.18,78.24,9.64,30.05,39.68,25.91,15.68,8.18,4.32,18.36,-14.82
"Feb 28, 2024 - TOR vs. DAL",L,106.57,40.09,88.39,45.4,10.87,34.0,31.66,15.52,20.04,77.65,9.7,30.3,40.0,26.13,15.61,8.22,4.22,18.17,-14.83
"Feb 26, 2024 - TOR @ IND",W,107.33,40.33,88.79,45.47,10.96,34.04,31.89,15.71,20.46,77.2,9.79,30.38,40.17,26.46,15.46,8.33,4.17,18.29,-14.67
"Feb 23, 2024 - TOR @ ATL",W,108.24,40.84,89.08,45.86,11.0,33.8,32.33,15.56,20.32,76.93,9.88,30.48,40.36,26.8,15.32,8.16,4.28,18.24,-13.76
"Feb 22, 2024 - TOR vs. BKN",W,108.81,41.19,89.58,45.98,11.15,34.0,32.57,15.27,19.85,77.82,9.92,30.69,40.62,27.19,15.19,7.96,4.38,18.31,-13.15
"Feb 14, 2024 - TOR vs. IND",L,109.26,41.19,89.37,46.08,11.26,33.89,33.03,15.63,20.22,78.02,9.81,30.96,40.78,27.07,15.04,8.04,4.44,18.3,-11.63
"Feb 12, 2024 - TOR vs. SAS",L,109.82,41.5,89.68,46.26,11.07,33.61,32.68,15.75,20.43,77.85,10.0,31.32,41.32,27.18,15.04,7.96,4.54,18.36,-11.29
"Feb 10, 2024 - TOR vs. CLE",L,109.45,41.41,89.97,46.03,10.97,33.52,32.44,15.66,20.28,77.97,10.21,31.31,41.52,27.1,15.17,8.07,4.52,18.41,-11.69
"Feb 09, 2024 - TOR vs. HOU",W,108.97,41.2,89.87,45.84,10.9,33.43,32.33,15.67,20.37,77.69,10.27,31.2,41.47,26.93,15.03,8.03,4.47,18.27,-12.1
"Feb 07, 2024 - TOR @ CHA",W,108.9,41.16,90.03,45.72,10.87,33.42,32.26,15.71,20.32,78.07,10.45,31.0,41.45,26.84,14.94,8.23,4.58,18.23,-11.61
"Feb 05, 2024 - TOR @ NOP",L,109.34,41.22,89.75,45.95,11.06,33.41,32.86,15.84,20.44,78.23,10.34,31.09,41.44,26.94,14.81,8.12,4.53,18.19,-11.06
"Feb 04, 2024 - TOR @ OKC",L,109.06,41.18,89.58,46.0,11.03,33.33,32.85,15.67,20.27,77.88,10.33,31.0,41.33,26.94,14.91,8.0,4.58,18.0,-11.88
"Feb 02, 2024 - TOR @ HOU",L,109.59,41.38,89.91,46.04,11.12,33.38,33.06,15.71,20.29,77.97,10.35,31.18,41.53,27.26,14.82,7.94,4.59,17.94,-11.76
"Jan 30, 2024 - TOR @ CHI",W,109.49,41.34,89.94,45.99,11.11,33.37,33.06,15.69,20.29,77.89,10.29,31.11,41.4,26.97,14.8,8.03,4.6,17.94,-12.26
"Jan 28, 2024 - TOR @ ATL",L,109.72,41.39,89.75,46.15,11.19,33.25,33.49,15.75,20.28,78.22,10.25,31.06,41.31,27.17,14.94,8.08,4.58,18.0,-11.61
"Jan 26, 2024 - TOR vs. LAC",L,110.14,41.38,89.73,46.15,11.3,33.19,33.89,16.08,20.59,78.48,10.38,31.05,41.43,27.22,14.92,8.19,4.54,18.32,-11.32
"Jan 22, 2024 - TOR vs. MEM",L,110.05,41.45,89.89,46.14,11.16,33.16,33.49,16.0,20.63,77.97,10.5,31.03,41.53,27.18,14.82,8.13,4.5,18.32,-11.55
"Jan 20, 2024 - TOR @ NYK",L,109.79,41.28,89.62,46.09,11.08,32.9,33.53,16.15,20.69,78.42,10.54,31.13,41.67,27.28,14.87,8.1,4.59,18.21,-11.46
"Jan 18, 2024 - TOR vs. CHI",L,109.55,41.2,89.67,45.97,11.07,32.92,33.5,16.07,20.75,77.87,10.55,30.85,41.4,27.32,14.75,8.15,4.6,18.2,-11.82
