DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Aug 11, 2020",PHX,PHI,A,W,128.0,49.0,89.0,55.1,14.0,34.0,41.2,16.0,21.0,76.2,7.0,38.0,45.0,34.0,6.0,6.0,4.0,14.0,26.0
"Aug 10, 2020",PHX,OKC,H,W,129.0,49.0,89.0,55.1,13.0,31.0,42.05,18.0,21.0,85.7,9.0,35.5,44.5,31.0,6.5,5.0,3.5,16.0,19.5
"Aug 08, 2020",PHX,MIA,A,W,128.67,46.67,89.0,52.47,14.33,32.0,44.7,21.0,23.67,88.17,10.0,37.33,47.33,30.33,11.0,7.0,4.67,18.33,22.0
"Aug 06, 2020",PHX,IND,H,W,126.25,46.0,89.75,51.3,13.75,32.0,42.9,20.5,22.75,89.88,10.5,38.0,48.5,29.5,11.0,6.5,4.5,19.0,18.25
"Aug 04, 2020",PHX,LAC,A,W,123.8,45.4,90.2,50.38,12.8,32.4,39.62,20.2,22.2,90.9,10.8,38.6,49.4,29.0,12.0,6.4,4.4,19.2,17.6
"Aug 02, 2020",PHX,DAL,H,W,122.67,45.33,91.17,49.8,13.5,32.33,41.87,18.5,20.83,87.65,10.83,37.67,48.5,28.33,11.33,6.17,3.67,19.5,15.0
"Jul 31, 2020",PHX,WAS,A,W,121.86,44.86,91.43,49.14,13.29,32.43,41.09,18.86,21.14,88.17,10.14,38.43,48.57,27.43,11.29,6.0,3.71,20.86,13.14
"Mar 10, 2020",PHX,POR,A,L,122.25,44.5,90.0,49.56,13.0,32.38,40.25,20.25,22.5,88.87,9.38,37.75,47.12,27.62,12.12,6.5,3.62,21.25,13.12
"Mar 08, 2020",PHX,MIL,H,W,120.33,43.44,89.67,48.52,12.78,32.33,39.6,20.67,22.78,89.67,9.33,37.33,46.67,27.44,12.33,6.11,3.78,20.67,9.89
"Mar 06, 2020",PHX,POR,H,W,122.3,43.8,89.2,49.2,13.4,33.4,40.06,21.3,23.6,89.41,9.2,37.5,46.7,27.7,12.6,6.1,3.8,20.9,9.8
"Mar 03, 2020",PHX,TOR,H,L,122.73,43.91,89.36,49.23,13.91,34.18,40.53,21.0,23.18,89.89,9.73,37.0,46.73,27.82,12.64,6.36,3.82,21.0,9.82
"Feb 29, 2020",PHX,GSW,H,L,122.0,43.5,89.0,48.95,14.0,34.58,40.36,21.0,23.33,89.4,9.42,36.33,45.75,28.0,13.08,6.33,4.0,21.08,8.25
"Feb 28, 2020",PHX,DET,H,L,120.23,42.77,88.54,48.34,13.85,34.15,40.44,20.85,23.31,88.88,9.31,36.0,45.31,27.69,13.62,6.08,4.08,21.38,6.38
"Feb 26, 2020",PHX,LAC,H,L,119.57,42.93,87.57,49.17,13.5,33.36,40.34,20.21,22.86,87.57,9.0,35.79,44.79,27.93,13.93,6.29,4.14,20.86,5.79
"Feb 24, 2020",PHX,UTA,A,W,117.73,42.33,87.53,48.5,13.2,33.4,39.42,19.87,22.53,87.29,9.33,35.67,45.0,28.0,14.07,6.4,4.07,20.6,4.73
"Feb 22, 2020",PHX,CHI,A,W,118.56,42.75,87.5,48.99,13.12,32.56,40.71,19.94,22.62,87.3,9.44,35.12,44.56,28.31,14.12,6.62,3.88,21.25,5.69
"Feb 21, 2020",PHX,TOR,A,L,118.18,42.47,87.41,48.71,12.94,32.41,40.27,20.29,23.12,87.1,9.88,34.82,44.71,28.18,14.53,6.82,3.88,21.35,5.82
