DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 13, 2021",ATL,ORL,H,W,124.0,49.0,90.0,54.4,7.0,21.0,33.3,19.0,26.0,73.1,11.0,45.0,56.0,32.0,13.0,10.0,8.0,16.0,29.0
"May 12, 2021",ATL,WAS,H,W,120.0,45.0,92.0,49.0,10.5,28.5,36.1,19.5,25.0,78.2,11.5,41.0,52.5,25.5,10.0,9.5,6.0,16.0,26.0
"May 10, 2021",ATL,WAS,H,W,120.0,44.67,90.0,49.73,10.33,30.0,34.17,20.33,26.0,78.33,10.0,42.0,52.0,24.33,11.33,7.67,5.67,17.67,18.67
"May 06, 2021",ATL,IND,A,L,121.25,45.0,91.5,49.27,10.25,30.0,33.95,21.0,26.0,80.88,10.75,42.0,52.75,24.0,11.5,6.75,5.75,17.5,14.25
"May 05, 2021",ATL,PHX,H,W,122.2,45.6,92.0,49.64,11.2,31.4,35.26,19.8,24.4,81.36,10.6,38.4,49.0,24.6,11.6,7.0,5.8,17.4,10.0
"May 03, 2021",ATL,POR,H,W,124.33,46.83,90.67,51.88,11.5,30.5,37.72,19.17,23.33,82.62,10.33,38.17,48.5,26.33,11.5,7.17,5.83,18.0,13.67
"May 01, 2021",ATL,CHI,H,W,124.14,46.43,89.71,51.96,12.71,32.0,39.3,18.57,22.57,82.71,9.57,39.0,48.57,27.14,11.43,7.0,5.43,18.0,13.0
"Apr 30, 2021",ATL,PHI,A,L,122.12,45.25,87.75,51.71,12.88,32.5,39.25,18.75,23.0,81.99,9.12,38.88,48.0,26.12,11.88,7.5,5.38,18.38,12.75
"Apr 28, 2021",ATL,PHI,A,L,120.11,44.22,87.11,50.84,12.56,32.0,38.86,19.11,23.56,81.61,9.44,38.33,47.78,25.33,12.56,7.0,5.67,18.89,8.89
"Apr 26, 2021",ATL,DET,A,L,116.4,42.5,86.5,49.09,11.9,30.7,38.13,19.5,24.1,81.38,10.2,37.5,47.7,24.5,12.8,6.6,5.4,18.8,3.6
"Apr 25, 2021",ATL,MIL,H,W,113.64,41.64,86.36,48.15,11.18,30.36,36.01,19.18,23.45,82.54,10.09,37.36,47.45,24.0,13.09,6.91,5.27,18.64,2.0
"Apr 23, 2021",ATL,MIA,H,W,113.42,41.5,86.5,47.93,11.33,30.75,36.1,19.08,23.42,82.18,9.67,37.5,47.17,23.92,12.83,6.83,4.92,18.75,2.42
"Apr 21, 2021",ATL,NYK,A,L,113.77,41.62,86.0,48.38,11.62,31.08,36.62,18.92,23.08,82.75,9.54,36.92,46.46,23.92,12.92,7.23,4.69,18.62,3.38
"Apr 20, 2021",ATL,ORL,H,W,114.71,42.14,87.14,48.36,11.64,31.29,36.53,18.79,23.14,81.89,9.71,36.36,46.07,24.21,12.71,7.43,4.57,18.57,2.43
