DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 14, 2021",DEN,DET,A,W,116.0,44.0,98.0,44.9,14.0,37.0,37.8,14.0,15.0,93.3,10.0,26.0,36.0,20.0,6.0,8.0,2.0,20.0,-16.0
"May 13, 2021",DEN,MIN,A,W,110.0,43.0,92.0,46.85,11.5,34.5,32.95,12.5,14.5,85.95,9.5,33.0,42.5,24.5,9.0,7.0,2.5,18.5,-1.5
"May 11, 2021",DEN,CHA,A,W,111.33,44.0,93.33,47.2,11.67,35.0,33.07,11.67,13.33,87.6,11.0,35.0,46.0,26.33,10.67,6.67,2.67,20.67,2.67
"May 08, 2021",DEN,BKN,H,L,112.75,43.25,90.75,47.75,12.0,34.5,34.65,14.25,16.5,86.85,10.75,33.25,44.0,26.25,12.25,8.0,2.5,20.25,3.25
"May 07, 2021",DEN,UTA,A,L,114.0,43.0,91.0,47.34,12.4,35.8,34.54,15.6,17.8,87.74,10.6,31.2,41.8,25.2,12.2,8.0,2.2,20.8,1.4
"May 05, 2021",DEN,NYK,H,W,115.0,43.0,89.67,48.08,13.17,36.17,36.23,15.83,18.17,87.28,10.33,30.83,41.17,26.17,13.0,8.0,2.33,20.0,0.0
"May 03, 2021",DEN,LAL,A,L,114.71,42.14,90.71,46.66,13.0,36.57,35.46,17.43,20.29,86.5,11.29,33.0,44.29,25.71,13.29,8.71,3.0,20.57,2.29
"May 01, 2021",DEN,LAC,A,W,111.5,41.38,89.62,46.31,12.12,35.0,34.15,16.62,19.75,84.29,10.62,33.25,43.88,25.25,13.25,8.88,3.5,21.0,1.5
"Apr 29, 2021",DEN,TOR,H,W,111.33,41.11,88.56,46.59,12.11,34.67,34.52,17.0,19.89,85.5,10.33,33.56,43.89,25.33,13.0,8.11,3.56,21.22,2.0
"Apr 28, 2021",DEN,NOP,H,W,112.3,41.4,89.0,46.66,12.1,34.7,34.5,17.4,20.5,85.03,10.7,33.5,44.2,25.0,12.8,7.9,3.9,20.7,2.8
"Apr 26, 2021",DEN,MEM,H,W,112.45,41.55,88.64,47.02,11.91,34.45,34.21,17.45,20.73,84.42,10.0,33.64,43.64,25.09,13.27,8.45,4.27,20.36,2.73
"Apr 24, 2021",DEN,HOU,H,W,113.08,41.83,89.08,47.09,11.83,34.33,34.13,17.58,20.83,84.58,9.83,34.17,44.0,25.08,13.08,8.42,4.17,20.33,4.5
"Apr 23, 2021",DEN,GSW,A,L,114.31,42.46,88.69,48.05,12.15,34.54,34.83,17.23,20.46,84.33,9.15,34.23,43.38,25.92,13.23,8.38,4.46,20.46,5.15
"Apr 21, 2021",DEN,POR,A,W,113.07,41.86,88.64,47.37,12.21,35.36,34.36,17.14,20.43,84.02,8.93,33.93,42.86,25.93,12.93,8.43,4.64,20.0,3.29
"Apr 19, 2021",DEN,MEM,H,W,112.6,41.67,88.6,47.17,12.27,35.6,34.29,17.0,20.2,84.3,9.4,33.67,43.07,25.8,13.0,8.33,4.67,19.73,3.13
"Apr 16, 2021",DEN,HOU,A,W,114.25,42.25,89.44,47.34,12.44,35.81,34.56,17.31,20.56,84.32,9.62,34.38,44.0,26.06,13.69,8.19,4.75,19.69,3.06
"Apr 14, 2021",DEN,MIA,H,W,115.06,42.47,89.71,47.44,12.24,35.53,34.23,17.88,21.18,84.48,10.12,34.47,44.59,25.82,13.41,8.35,4.65,19.41,4.59
"Apr 12, 2021",DEN,GSW,A,L,115.5,42.78,89.67,47.79,12.5,35.56,34.95,17.44,20.72,84.06,10.17,34.33,44.5,26.17,13.28,8.17,4.78,19.39,5.28
"Apr 11, 2021",DEN,BOS,H,L,115.05,42.58,89.32,47.75,12.26,35.05,34.73,17.63,20.95,84.06,10.16,34.16,44.32,26.0,13.63,8.32,4.63,19.63,4.53
"Apr 09, 2021",DEN,SAS,H,W,113.65,42.05,89.25,47.18,12.05,35.0,34.17,17.5,20.8,84.02,10.3,34.1,44.4,25.85,13.4,8.15,4.6,19.65,3.4
"Apr 07, 2021",DEN,SAS,H,W,114.0,42.1,88.76,47.53,12.14,34.62,35.01,17.67,20.9,84.37,10.24,34.24,44.48,26.14,13.62,8.0,4.57,19.76,3.33
"Apr 06, 2021",DEN,DET,H,W,113.64,42.0,88.86,47.37,11.95,34.23,34.82,17.68,21.05,83.94,10.32,34.55,44.86,26.14,13.86,8.09,4.64,19.68,3.64
"Apr 04, 2021",DEN,ORL,H,W,114.52,42.61,89.09,47.9,12.04,34.09,35.27,17.26,20.52,84.16,10.43,34.39,44.83,26.57,13.74,8.04,4.65,19.7,4.13
"Apr 01, 2021",DEN,LAC,A,W,114.71,42.62,89.04,47.94,11.92,33.88,35.1,17.54,20.96,83.88,10.79,34.42,45.21,26.58,13.79,7.96,4.67,19.46,4.38
