DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 15, 2021",IND,LAL,H,L,125.0,48.0,95.0,50.5,15.0,37.0,40.5,14.0,18.0,77.8,10.0,37.0,47.0,34.0,13.0,8.0,3.0,19.0,12.0
"May 13, 2021",IND,MIL,H,L,120.0,47.0,92.0,51.1,12.0,35.0,33.9,14.0,18.5,75.75,9.0,33.0,42.0,31.0,13.0,9.0,5.5,21.0,2.5
"May 11, 2021",IND,PHI,H,W,124.33,48.0,98.0,49.23,15.0,37.67,38.87,13.33,17.33,77.17,10.0,31.33,41.33,32.0,11.33,8.0,4.33,21.33,-1.33
"May 10, 2021",IND,CLE,A,W,119.0,45.25,94.25,48.07,14.75,38.5,37.67,13.75,17.0,81.33,9.25,33.0,42.25,31.0,12.0,7.75,4.75,19.75,1.25
"May 08, 2021",IND,WAS,H,L,117.4,45.0,93.0,48.46,14.0,36.2,38.28,13.4,16.8,80.06,9.4,33.8,43.2,31.2,11.8,7.6,6.4,20.0,2.8
"May 06, 2021",IND,ATL,H,W,119.83,45.83,94.83,48.4,12.83,35.0,35.92,15.33,19.0,80.6,9.17,35.0,44.17,31.5,12.0,8.17,6.17,20.67,2.17
"May 05, 2021",IND,SAC,H,L,121.71,47.0,93.71,50.36,12.14,32.86,36.5,15.57,19.0,81.87,8.43,34.57,43.0,32.0,12.43,8.57,5.86,20.43,2.86
"May 03, 2021",IND,WAS,A,L,118.12,45.62,92.38,49.49,11.75,31.88,36.44,15.12,18.75,80.46,8.62,35.0,43.62,31.25,13.62,8.5,5.88,19.5,1.12
"May 01, 2021",IND,OKC,A,W,120.67,46.44,94.0,49.49,12.0,31.33,38.16,15.78,19.44,80.86,9.22,34.56,43.78,30.89,14.0,8.44,5.89,19.22,-0.44
"Apr 29, 2021",IND,BKN,H,L,123.8,47.5,93.3,51.09,12.9,31.5,40.7,15.9,19.7,80.5,8.6,36.1,44.7,31.9,14.3,8.3,6.4,19.5,5.3
"Apr 27, 2021",IND,POR,H,L,122.82,46.91,93.55,50.33,12.73,32.18,39.56,16.27,19.82,81.84,8.45,35.64,44.09,31.09,13.91,8.27,6.36,19.82,3.27
"Apr 25, 2021",IND,ORL,A,W,121.92,46.33,92.92,50.01,12.5,32.0,39.04,16.75,20.5,81.57,8.33,35.25,43.58,30.58,13.83,8.08,6.83,19.58,1.25
"Apr 24, 2021",IND,DET,H,W,122.62,46.62,92.77,50.38,12.69,32.0,39.65,16.69,20.31,82.13,8.08,35.85,43.92,30.38,13.77,7.69,6.69,19.62,2.62
"Apr 21, 2021",IND,OKC,H,W,122.07,46.14,93.0,49.76,12.5,32.0,39.05,17.29,21.36,81.36,8.14,35.43,43.57,30.21,13.14,7.86,6.86,19.71,2.86
"Apr 19, 2021",IND,SAS,H,L,122.07,46.13,93.53,49.48,12.6,32.53,38.78,17.2,21.27,81.27,8.53,35.27,43.8,30.2,13.0,8.2,6.87,19.47,3.07
"Apr 18, 2021",IND,ATL,A,L,120.31,45.38,94.19,48.43,12.31,32.62,37.82,17.25,21.62,80.36,8.88,35.56,44.44,29.56,12.62,7.94,6.88,19.94,1.94
"Apr 16, 2021",IND,UTA,A,L,120.12,45.35,94.06,48.46,12.18,32.59,37.44,17.24,21.53,80.64,8.82,35.41,44.24,29.76,12.59,7.88,6.76,20.35,1.12
