DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 14, 2021",ORL,PHI,A,L,117.0,36.0,76.0,47.4,10.0,28.0,35.7,35.0,41.0,85.4,9.0,38.0,47.0,23.0,17.0,4.0,3.0,25.0,-11.0
"May 13, 2021",ORL,ATL,A,L,107.0,34.5,79.5,43.6,10.0,29.0,34.5,28.0,34.5,80.2,9.5,36.0,45.5,22.0,15.0,4.0,4.0,20.0,-18.0
"May 11, 2021",ORL,MIL,A,L,102.33,35.0,84.33,41.83,10.33,31.33,33.2,22.0,28.0,75.7,11.67,35.67,47.33,22.67,14.67,3.67,4.67,18.67,-19.67
"May 09, 2021",ORL,MIN,H,L,102.25,36.0,86.75,41.75,10.25,31.0,33.22,20.0,26.0,74.28,11.25,37.25,48.5,21.5,14.0,4.25,4.0,19.0,-17.75
"May 07, 2021",ORL,CHA,A,L,101.0,36.0,87.6,41.32,10.0,32.0,31.58,19.0,25.2,73.06,11.0,36.8,47.8,21.2,13.8,4.4,4.2,19.2,-20.6
"May 05, 2021",ORL,BOS,H,L,102.83,36.83,89.33,41.4,9.83,31.67,31.32,19.33,25.67,73.38,11.5,36.17,47.67,20.83,12.67,4.67,4.67,20.0,-18.83
"May 03, 2021",ORL,DET,A,W,101.86,36.29,88.71,41.03,9.29,30.71,30.27,20.0,26.0,75.14,11.29,36.0,47.29,19.71,13.57,5.0,5.0,18.71,-21.29
"May 01, 2021",ORL,MEM,H,W,104.0,37.38,88.62,42.29,9.38,29.75,31.92,19.88,25.88,75.25,11.0,36.38,47.38,20.62,13.25,5.12,4.75,18.62,-17.75
"Apr 30, 2021",ORL,MEM,A,L,104.89,37.44,88.22,42.56,9.56,29.22,33.27,20.44,26.11,76.81,10.44,35.78,46.22,20.56,13.0,5.67,4.78,18.44,-15.67
"Apr 28, 2021",ORL,CLE,A,W,101.9,36.4,88.0,41.44,9.2,28.9,32.25,19.9,25.5,76.63,10.6,36.6,47.2,20.1,13.7,5.5,4.9,18.5,-15.8
"Apr 26, 2021",ORL,LAL,H,L,102.55,37.0,87.73,42.27,9.27,28.91,32.45,19.27,25.0,75.57,10.45,36.91,47.36,20.64,13.82,5.82,5.09,18.73,-13.91
"Apr 25, 2021",ORL,IND,H,L,102.58,36.92,86.75,42.7,9.42,28.58,33.42,19.33,24.92,76.22,9.92,35.83,45.75,20.25,13.58,5.75,4.92,18.67,-13.67
"Apr 22, 2021",ORL,NOP,H,L,103.31,37.15,87.85,42.46,9.46,28.85,33.25,19.54,25.15,76.4,10.31,35.85,46.15,20.38,13.08,6.0,4.77,18.31,-14.08
"Apr 20, 2021",ORL,ATL,A,L,103.07,37.07,88.57,42.05,9.71,29.36,33.46,19.21,24.71,76.58,10.5,35.21,45.71,19.86,12.57,6.0,4.86,18.29,-15.57
"Apr 18, 2021",ORL,HOU,H,L,102.6,36.87,88.4,41.88,9.6,29.87,32.67,19.27,25.0,76.07,10.2,35.13,45.33,19.4,12.4,6.33,4.73,18.33,-15.6
"Apr 16, 2021",ORL,TOR,A,L,103.06,37.12,88.56,42.08,9.69,30.0,32.78,19.12,24.62,76.91,10.12,34.62,44.75,19.94,12.56,6.56,4.75,18.38,-14.88
"Apr 14, 2021",ORL,CHI,A,W,103.0,37.0,87.88,42.28,9.59,29.59,32.89,19.41,25.18,76.54,9.88,34.29,44.18,19.94,12.47,6.65,4.71,18.12,-14.65
"Apr 12, 2021",ORL,SAS,H,L,103.67,37.39,87.94,42.68,9.72,29.44,33.53,19.17,24.89,76.46,10.06,34.22,44.28,20.44,12.17,6.72,5.0,17.94,-13.33
"Apr 11, 2021",ORL,MIL,H,L,103.32,37.32,87.53,42.8,9.47,28.95,33.08,19.21,25.26,75.72,10.11,34.16,44.26,20.16,12.32,6.68,4.84,17.89,-13.84
"Apr 09, 2021",ORL,IND,H,L,102.5,37.05,87.45,42.52,9.4,29.3,32.54,19.0,24.95,75.88,9.95,33.95,43.9,20.1,12.4,6.75,4.9,17.65,-15.0
"Apr 07, 2021",ORL,WAS,H,L,102.67,37.1,87.57,42.5,9.24,29.05,32.18,19.24,25.24,75.95,10.05,34.14,44.19,20.24,12.52,6.57,5.05,17.86,-14.52
"Apr 04, 2021",ORL,DEN,A,L,103.27,37.41,87.82,42.72,9.36,29.14,32.48,19.09,25.14,75.66,10.09,33.86,43.95,20.32,12.45,6.77,4.95,17.77,-14.55
"Apr 03, 2021",ORL,UTA,A,L,103.52,37.61,87.87,42.92,9.52,29.39,32.68,18.78,24.78,75.44,10.09,33.52,43.61,20.61,12.43,6.96,4.91,18.13,-14.35
"Apr 01, 2021",ORL,NOP,A,W,103.0,37.38,87.83,42.66,9.21,29.12,31.68,19.04,25.04,75.66,10.04,33.38,43.42,20.21,12.38,6.88,4.88,17.96,-15.67
"Mar 30, 2021",ORL,LAC,A,W,103.48,37.68,88.56,42.66,9.04,28.96,31.21,19.08,24.96,76.11,10.12,33.48,43.6,20.2,12.32,7.28,4.88,18.04,-14.84
