DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 08, 2022",CHI,CHA,H,L,124.0,44.0,83.0,53.0,10.0,21.0,47.6,26.0,33.0,78.8,16.0,32.0,48.0,22.0,23.0,9.0,3.0,22.0,4.0
"Apr 06, 2022",CHI,BOS,H,L,120.5,44.0,82.5,53.35,11.5,22.5,50.9,21.0,26.5,79.4,11.0,28.5,39.5,23.5,17.5,8.0,2.0,17.0,-6.0
"Apr 05, 2022",CHI,MIL,H,L,111.67,41.0,81.67,50.17,10.0,22.67,44.07,19.67,25.33,77.57,9.67,30.0,39.67,22.0,17.33,7.67,2.67,18.67,-11.67
"Apr 02, 2022",CHI,MIA,H,L,110.25,41.25,85.75,48.35,9.75,25.25,39.88,18.0,22.25,83.18,10.5,29.75,40.25,22.0,16.75,7.75,2.5,19.25,-14.0
"Mar 31, 2022",CHI,LAC,H,W,110.0,40.4,85.8,47.28,9.6,27.0,37.2,19.6,23.6,84.48,10.6,29.4,40.0,21.8,14.6,7.2,2.8,19.2,-14.8
"Mar 29, 2022",CHI,WAS,A,W,114.17,42.0,88.5,47.57,9.67,27.33,36.75,20.5,25.0,83.42,11.0,30.67,41.67,22.17,13.5,7.0,2.83,18.83,-11.5
"Mar 28, 2022",CHI,NYK,A,L,113.14,42.14,88.0,48.0,9.14,26.0,36.26,19.71,24.0,83.4,10.29,30.57,40.86,22.71,12.86,7.29,2.57,18.14,-8.0
"Mar 26, 2022",CHI,CLE,A,W,112.0,41.12,86.88,47.38,8.75,25.62,34.99,21.0,25.12,84.34,9.75,31.88,41.62,21.88,13.0,7.12,2.62,18.88,-7.62
"Mar 24, 2022",CHI,NOP,A,L,110.44,40.56,85.56,47.44,8.33,25.11,33.74,21.0,25.11,84.3,9.33,31.78,41.11,22.0,13.22,7.0,2.44,19.11,-6.33
"Mar 22, 2022",CHI,MIL,A,L,110.3,40.5,84.8,47.83,8.9,26.0,34.49,20.4,24.5,83.76,8.8,31.5,40.3,22.3,13.4,6.8,2.6,19.6,-7.4
"Mar 21, 2022",CHI,TOR,H,W,109.18,40.36,85.45,47.34,9.27,26.64,34.94,19.18,23.45,81.04,8.45,31.18,39.64,22.18,12.82,7.0,2.73,18.91,-9.27
"Mar 18, 2022",CHI,PHX,A,L,109.5,40.67,85.83,47.47,9.42,26.75,35.3,18.75,23.5,79.14,8.92,30.92,39.83,22.67,12.25,6.92,3.08,18.5,-7.33
