DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 08, 2022",CLE,BKN,A,L,133.0,51.0,94.0,54.3,19.0,38.0,50.0,12.0,17.0,70.6,10.0,38.0,48.0,39.0,12.0,5.0,5.0,26.0,18.0
"Apr 05, 2022",CLE,ORL,A,L,120.0,45.5,88.0,51.55,13.5,32.5,39.8,15.5,20.5,74.9,10.0,29.5,39.5,29.0,10.5,4.5,4.5,23.0,3.5
"Apr 03, 2022",CLE,PHI,H,L,118.33,44.33,87.33,50.63,14.33,33.67,41.33,15.33,21.0,72.67,9.67,32.33,42.0,27.67,11.0,5.0,4.33,19.0,0.67
"Apr 02, 2022",CLE,NYK,A,W,115.75,42.0,85.0,49.2,14.5,33.5,42.38,17.25,23.5,73.05,9.0,32.75,41.75,26.75,11.25,6.25,4.0,21.25,-0.5
"Mar 31, 2022",CLE,ATL,A,L,116.4,42.4,84.2,50.22,14.6,33.6,42.72,17.0,23.0,73.68,8.6,33.4,42.0,26.6,11.4,6.2,3.8,21.8,3.2
"Mar 30, 2022",CLE,DAL,H,L,114.83,41.83,85.17,49.07,13.33,33.0,39.48,17.83,23.83,74.5,9.67,33.17,42.83,25.33,11.83,6.17,4.0,21.5,-1.33
"Mar 28, 2022",CLE,ORL,H,W,114.43,41.86,84.86,49.29,13.0,31.86,40.13,17.71,23.57,74.9,9.57,32.71,42.29,25.14,12.29,6.29,3.86,20.57,-2.29
"Mar 26, 2022",CLE,CHI,H,L,113.5,41.25,84.62,48.7,13.0,33.0,39.07,18.0,23.5,76.41,9.12,33.0,42.12,25.25,12.62,6.88,3.88,19.62,-1.25
"Mar 24, 2022",CLE,TOR,A,L,111.33,40.44,84.33,47.9,12.33,32.78,37.24,18.11,23.89,75.74,9.78,32.78,42.56,24.33,12.67,6.89,3.78,20.0,-1.56
"Mar 21, 2022",CLE,LAL,H,L,110.6,40.1,83.8,47.79,12.3,32.5,37.52,18.1,23.7,76.35,9.7,32.2,41.9,24.3,12.7,6.6,3.7,19.4,-2.7
"Mar 19, 2022",CLE,DET,H,W,111.45,40.55,84.0,48.2,12.45,33.09,37.37,17.91,23.27,77.06,9.55,32.0,41.55,24.73,12.64,6.27,3.55,19.36,-3.45
"Mar 18, 2022",CLE,DEN,H,W,111.58,40.92,84.33,48.44,12.25,32.5,37.47,17.5,23.25,75.35,9.75,32.0,41.75,25.0,12.92,6.33,3.58,19.08,-2.83
"Mar 16, 2022",CLE,PHI,H,L,112.15,41.15,85.38,48.17,12.38,32.85,37.49,17.46,23.46,74.58,10.15,31.92,42.08,25.46,12.77,6.69,3.62,18.92,-2.38
"Mar 14, 2022",CLE,LAC,H,W,112.29,41.0,85.0,48.21,12.14,32.5,37.11,18.14,24.07,75.29,10.0,31.86,41.86,25.43,12.5,6.86,3.64,18.79,-2.5
"Mar 12, 2022",CLE,CHI,A,L,112.8,41.0,85.07,48.18,12.33,32.33,37.97,18.47,24.6,75.06,10.13,32.2,42.33,25.6,12.47,6.87,3.67,18.8,-1.73
"Mar 11, 2022",CLE,MIA,A,L,111.44,40.69,85.12,47.79,11.88,31.81,36.89,18.19,24.12,75.52,9.81,32.38,42.19,25.19,12.56,6.88,3.69,18.81,-2.25
"Mar 08, 2022",CLE,IND,A,W,111.06,40.35,84.76,47.58,11.65,31.41,36.61,18.71,24.41,76.55,9.65,32.41,42.06,25.18,12.88,6.76,3.59,19.06,-2.82
"Mar 06, 2022",CLE,TOR,H,W,111.94,40.72,85.28,47.72,11.5,31.44,36.13,19.0,24.56,77.24,9.89,32.06,41.94,25.17,12.61,7.11,3.72,18.89,-2.5
"Mar 04, 2022",CLE,PHI,A,L,111.53,40.63,85.26,47.62,11.47,31.68,35.84,18.79,24.47,76.61,10.16,32.63,42.79,25.11,12.95,7.0,3.89,19.05,-1.95
"Mar 02, 2022",CLE,CHA,H,L,111.9,40.8,85.1,47.92,11.4,31.5,35.84,18.9,24.45,77.15,10.15,32.55,42.7,25.35,12.9,6.9,3.9,19.2,-2.15
"Feb 28, 2022",CLE,MIN,H,L,111.24,40.62,84.81,47.87,11.33,31.48,35.67,18.67,24.29,76.65,9.86,32.57,42.43,25.14,12.95,6.86,3.76,19.14,-3.05
