DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 09, 2022",MEM,NOP,H,W,110.0,39.0,102.0,38.2,15.0,47.0,31.9,17.0,27.0,63.0,19.0,26.0,45.0,27.0,10.0,11.0,6.0,16.0,-29.0
"Apr 07, 2022",MEM,DEN,A,L,125.5,46.0,96.0,48.55,16.5,41.0,41.65,17.0,25.0,68.45,16.0,30.5,46.5,34.0,14.5,8.5,7.5,20.0,-1.0
"Apr 05, 2022",MEM,UTA,A,L,120.0,44.67,93.67,48.1,14.67,36.67,40.87,16.0,23.0,70.2,14.0,28.33,42.33,32.67,14.0,8.33,6.0,20.33,-5.0
"Apr 01, 2022",MEM,PHX,H,W,118.75,43.25,95.5,45.73,14.25,35.25,41.12,18.0,24.5,73.35,13.0,31.5,44.5,31.0,13.75,9.5,6.25,22.5,-5.25
"Mar 30, 2022",MEM,SAS,A,W,119.4,43.8,96.8,45.6,12.8,33.0,38.74,19.0,25.2,75.1,13.6,31.6,45.2,30.8,13.2,9.0,5.4,21.6,-2.6
"Mar 28, 2022",MEM,GSW,H,W,118.17,43.83,95.83,46.07,13.33,34.0,39.12,17.17,22.83,74.7,13.33,31.0,44.33,30.0,13.33,8.83,5.33,20.5,-2.0
"Mar 26, 2022",MEM,MIL,H,W,118.86,43.71,95.29,46.16,13.14,33.43,39.24,18.29,24.57,74.23,13.29,32.14,45.43,29.43,13.43,9.14,5.0,20.57,2.29
"Mar 24, 2022",MEM,IND,H,W,119.88,44.38,96.12,46.39,13.12,33.88,38.73,18.0,24.38,73.65,13.62,32.88,46.5,29.5,12.75,9.25,5.5,20.38,5.12
"Mar 23, 2022",MEM,BKN,H,W,121.33,45.0,95.78,47.21,14.0,34.78,39.98,17.33,23.56,73.31,13.89,33.56,47.44,30.0,13.22,9.11,5.89,20.56,7.89
"Mar 20, 2022",MEM,HOU,A,W,122.4,45.2,96.3,47.14,14.5,35.1,40.98,17.5,23.4,74.62,14.1,33.2,47.3,29.8,13.2,9.0,6.0,20.7,8.3
"Mar 18, 2022",MEM,ATL,A,L,122.36,45.27,96.27,47.21,14.64,35.0,41.54,17.18,22.82,75.33,13.45,34.18,47.64,29.45,13.27,9.45,6.0,21.0,9.73
"Mar 15, 2022",MEM,IND,A,W,120.92,44.83,95.42,47.15,14.08,33.92,41.11,17.17,22.83,75.21,13.58,34.08,47.67,28.5,13.58,9.17,6.33,20.75,7.67
"Mar 13, 2022",MEM,OKC,A,W,122.0,45.54,96.15,47.48,14.15,34.38,40.83,16.77,22.62,74.04,13.92,34.0,47.92,29.23,13.31,9.31,6.69,20.38,9.62
"Mar 11, 2022",MEM,NYK,H,W,122.21,45.71,96.57,47.45,13.93,34.0,40.62,16.86,22.43,75.18,14.36,34.21,48.57,29.29,13.29,9.21,6.57,20.36,9.43
"Mar 08, 2022",MEM,NOP,H,W,121.93,45.73,97.07,47.23,13.6,33.47,40.22,16.87,22.87,74.07,14.67,34.27,48.93,28.87,13.07,9.13,7.2,20.8,9.07
"Mar 06, 2022",MEM,HOU,A,L,122.56,45.88,97.31,47.25,13.75,34.12,39.98,17.06,22.94,74.65,14.69,34.44,49.12,28.94,13.0,9.06,7.12,20.75,9.81
"Mar 05, 2022",MEM,ORL,H,W,121.94,45.76,97.29,47.14,13.24,33.65,38.76,17.18,23.18,74.4,14.53,34.06,48.59,28.82,12.88,9.24,7.18,21.12,8.59
"Mar 03, 2022",MEM,BOS,A,L,122.06,45.78,97.0,47.3,13.28,33.67,38.89,17.22,23.39,73.97,14.06,34.89,48.94,28.61,12.61,9.11,7.0,20.72,9.67
"Feb 28, 2022",MEM,SAS,H,W,121.26,45.58,97.11,47.04,13.26,34.0,38.56,16.84,22.84,74.13,14.21,34.47,48.68,28.37,12.32,9.16,6.84,20.47,8.47
"Feb 26, 2022",MEM,CHI,A,W,121.1,45.7,96.7,47.38,13.15,33.6,38.74,16.55,22.65,73.32,14.15,34.85,49.0,28.15,12.6,8.95,6.8,20.35,8.7
"Feb 24, 2022",MEM,MIN,A,L,120.86,45.62,96.86,47.22,12.86,33.1,38.35,16.76,22.81,73.67,14.38,35.19,49.57,27.9,12.67,8.76,6.95,20.52,8.57
"Feb 16, 2022",MEM,POR,H,L,120.55,45.27,96.91,46.84,12.68,33.0,37.92,17.32,23.59,73.62,14.91,35.09,50.0,27.77,12.82,8.77,6.95,20.55,7.95
"Feb 15, 2022",MEM,NOP,A,W,120.48,44.91,96.39,46.7,12.61,32.87,37.87,18.04,24.39,73.94,14.7,34.83,49.52,27.43,12.7,8.83,6.96,20.78,7.43
"Feb 12, 2022",MEM,CHA,A,W,120.5,45.0,96.29,46.83,12.5,32.92,37.52,18.0,24.5,73.48,14.83,34.67,49.5,27.5,12.71,8.88,6.79,20.92,7.62
"Feb 10, 2022",MEM,DET,A,W,120.68,45.08,96.28,46.92,12.44,32.92,37.35,18.08,24.84,72.97,14.88,34.92,49.8,27.64,12.88,8.96,6.84,21.12,7.6
"Feb 08, 2022",MEM,LAC,H,W,121.12,45.04,96.12,46.95,12.54,32.81,37.83,18.5,25.5,72.82,15.0,35.19,50.19,27.81,12.88,8.85,6.73,21.19,8.27
