DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 08, 2022",MIA,ATL,H,W,111.0,40.0,94.0,42.6,19.0,50.0,38.0,12.0,16.0,75.0,10.0,37.0,47.0,20.0,10.0,5.0,4.0,13.0,-14.0
"Apr 05, 2022",MIA,CHA,H,W,112.0,40.0,83.0,49.1,15.0,38.0,40.15,17.0,22.0,76.8,7.0,33.0,40.0,20.0,13.5,7.0,2.5,15.0,-5.0
"Apr 03, 2022",MIA,TOR,A,W,122.67,42.67,83.33,51.77,17.67,39.33,45.03,19.67,24.33,79.93,7.33,33.0,40.33,23.0,14.0,8.0,2.0,16.33,6.33
"Apr 02, 2022",MIA,CHI,A,W,120.5,42.25,82.25,51.8,17.75,39.0,45.62,18.25,23.75,75.85,7.5,32.25,39.75,24.75,14.75,8.25,2.5,17.5,6.0
"Mar 30, 2022",MIA,BOS,A,W,121.8,42.6,82.2,52.18,17.6,38.0,46.5,19.0,24.4,76.98,7.0,33.0,40.0,25.4,13.6,7.4,2.2,18.2,8.4
"Mar 28, 2022",MIA,SAC,H,W,119.17,41.83,81.67,51.5,16.83,37.33,45.12,18.67,24.5,75.48,6.5,33.83,40.33,25.67,14.33,7.67,2.83,19.0,8.33
"Mar 26, 2022",MIA,BKN,H,L,119.71,42.86,82.86,51.91,17.14,37.71,45.46,16.86,21.86,78.99,7.0,34.43,41.43,26.29,14.57,7.57,2.57,19.14,10.43
"Mar 25, 2022",MIA,NYK,H,L,116.62,41.62,81.88,50.93,16.25,37.25,43.45,17.12,22.38,78.25,6.88,34.25,41.12,25.5,15.75,7.5,2.88,19.62,7.25
"Mar 23, 2022",MIA,GSW,H,L,115.11,40.89,80.56,50.82,15.78,36.78,42.67,17.56,22.67,78.89,7.0,33.44,40.44,24.67,15.67,7.33,2.89,20.22,5.56
"Mar 21, 2022",MIA,PHI,A,L,114.0,40.5,81.0,50.09,15.6,36.7,42.29,17.4,22.5,78.62,7.1,32.7,39.8,24.8,15.1,7.4,2.7,20.1,3.6
"Mar 18, 2022",MIA,OKC,H,W,113.27,40.27,80.91,49.85,15.09,36.36,41.2,17.64,22.27,80.56,6.82,32.45,39.27,24.64,14.82,7.27,2.82,19.73,2.64
"Mar 15, 2022",MIA,DET,H,W,113.83,40.75,82.08,49.73,15.33,37.58,40.71,17.0,21.42,80.79,7.17,32.67,39.83,24.67,14.08,7.08,2.58,19.67,3.42
"Mar 12, 2022",MIA,MIN,H,L,113.15,39.85,81.31,49.01,15.08,37.23,40.38,18.38,22.77,81.48,7.15,33.0,40.15,24.31,14.0,6.62,2.46,19.77,3.69
"Mar 11, 2022",MIA,CLE,H,W,112.5,39.5,81.79,48.35,15.07,37.79,39.87,18.43,22.93,81.09,7.43,33.64,41.07,24.21,14.29,6.64,2.36,20.07,2.79
"Mar 09, 2022",MIA,PHX,H,L,112.8,39.6,82.07,48.31,14.8,37.6,39.31,18.8,23.2,81.61,7.47,33.67,41.13,24.47,13.93,6.8,2.6,20.47,3.4
"Mar 07, 2022",MIA,HOU,H,W,111.38,39.31,82.44,47.77,14.5,37.31,38.74,18.25,22.56,81.31,7.38,33.56,40.94,24.62,14.0,6.88,2.75,19.75,1.88
"Mar 05, 2022",MIA,PHI,H,W,112.06,39.88,82.94,48.13,14.47,36.94,39.12,17.82,22.06,81.15,7.71,33.76,41.47,24.71,14.06,6.65,2.82,19.59,2.76
"Mar 03, 2022",MIA,BKN,A,W,111.33,39.61,82.33,48.16,14.39,36.44,39.53,17.72,21.89,81.32,7.61,33.67,41.28,24.44,14.06,6.61,2.83,19.56,3.56
"Mar 02, 2022",MIA,MIL,A,L,111.42,39.63,82.05,48.35,14.16,36.11,39.2,18.0,22.21,81.36,7.47,33.47,40.95,24.58,14.11,6.68,3.0,19.68,3.68
"Feb 28, 2022",MIA,CHI,H,W,111.8,39.85,82.8,48.2,14.5,36.5,39.62,17.6,21.7,81.46,7.55,33.75,41.3,24.75,14.0,6.8,3.05,19.8,3.45
"Feb 26, 2022",MIA,SAS,H,W,111.81,39.86,82.71,48.26,14.38,36.24,39.58,17.71,21.9,81.24,7.62,33.57,41.19,24.9,14.0,6.86,3.14,19.71,3.9
"Feb 25, 2022",MIA,NYK,A,W,112.77,40.18,82.73,48.64,14.27,35.86,39.73,18.14,22.64,80.78,7.45,33.32,40.77,24.91,13.91,6.91,3.14,19.73,3.91
"Feb 17, 2022",MIA,CHA,A,W,112.87,40.13,82.74,48.57,14.13,35.7,39.5,18.48,23.17,80.5,7.3,33.61,40.91,24.78,13.74,7.17,3.22,20.09,4.39
"Feb 15, 2022",MIA,DAL,H,L,112.79,40.17,83.54,48.22,14.12,36.21,39.07,18.33,23.17,79.86,7.62,33.92,41.54,25.04,13.79,7.04,3.29,20.21,4.38
"Feb 12, 2022",MIA,BKN,H,W,112.24,39.96,83.56,47.96,13.84,35.84,38.54,18.48,23.32,79.93,7.92,33.88,41.8,24.8,13.72,6.8,3.24,20.32,3.88
"Feb 10, 2022",MIA,NOP,A,W,112.35,40.0,83.5,48.04,13.69,35.58,38.39,18.65,23.54,79.9,8.0,34.19,42.19,24.62,13.77,6.77,3.15,20.35,3.88
"Feb 07, 2022",MIA,WAS,A,W,112.33,39.96,83.41,48.04,13.56,35.44,38.13,18.85,23.7,80.12,8.11,34.11,42.22,24.63,13.78,6.96,3.19,20.3,4.3
"Feb 05, 2022",MIA,CHA,A,W,112.64,40.07,83.14,48.35,13.71,35.32,38.77,18.79,23.61,80.15,8.0,34.04,42.04,24.79,13.96,7.04,3.11,20.39,4.89
"Feb 03, 2022",MIA,SAS,A,W,112.34,40.0,83.41,48.12,13.62,35.21,38.62,18.72,23.41,80.64,8.1,34.17,42.28,24.86,13.9,7.28,3.21,20.28,5.34
"Feb 01, 2022",MIA,TOR,A,L,112.33,40.07,83.4,48.2,13.57,35.03,38.67,18.63,23.23,80.92,8.07,34.2,42.27,24.93,13.9,7.47,3.2,20.5,5.73
"Jan 31, 2022",MIA,BOS,A,L,112.13,40.0,83.23,48.22,13.39,34.87,38.28,18.74,23.29,81.15,8.13,34.0,42.13,24.97,14.0,7.48,3.13,20.65,5.42
"Jan 29, 2022",MIA,TOR,H,L,111.5,39.81,83.34,47.93,13.5,35.16,38.29,18.38,22.88,80.8,8.19,33.81,42.0,24.97,14.16,7.44,3.09,20.69,4.31
"Jan 28, 2022",MIA,LAC,H,W,111.76,39.97,84.15,47.72,13.58,35.61,38.1,18.24,22.79,80.47,8.52,34.06,42.58,25.0,14.45,7.58,3.18,20.85,4.06
"Jan 26, 2022",MIA,NYK,H,W,112.03,39.97,84.18,47.7,13.62,35.56,38.28,18.47,22.91,80.94,8.62,34.21,42.82,25.09,14.56,7.53,3.18,20.91,4.15
"Jan 23, 2022",MIA,LAL,H,W,111.97,39.89,83.89,47.77,13.69,35.6,38.42,18.51,22.89,81.22,8.57,34.11,42.69,25.23,14.71,7.54,3.17,20.97,4.43
