DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 07, 2023",DAL,CHI,H,L,117.0,46.0,108.0,42.6,17.0,53.0,32.1,8.0,16.0,50.0,8.0,38.0,46.0,28.0,4.0,4.0,3.0,21.0,-21.0
"Apr 05, 2023",DAL,SAC,H,W,114.5,44.0,100.5,43.9,17.5,54.0,32.4,9.0,14.5,63.45,7.5,37.0,44.5,25.5,7.0,5.5,3.0,18.0,-12.0
"Apr 02, 2023",DAL,ATL,A,L,117.33,44.0,96.67,45.73,18.33,50.67,36.77,11.0,15.67,70.07,7.33,35.33,42.67,25.0,8.0,5.0,4.33,18.0,-6.67
"Apr 01, 2023",DAL,MIA,A,L,120.5,45.25,96.25,47.2,16.25,47.5,34.15,13.75,19.75,69.75,8.0,35.75,43.75,24.75,9.5,4.75,4.0,17.25,-5.5
"Mar 29, 2023",DAL,PHI,A,L,120.8,45.6,92.4,49.96,15.8,44.8,35.56,13.8,19.0,73.3,6.6,34.6,41.2,26.2,10.4,4.4,3.6,18.4,-5.8
"Mar 27, 2023",DAL,IND,A,W,118.67,44.33,90.83,49.27,16.17,45.0,36.15,13.83,18.83,74.05,6.83,34.17,41.0,25.83,11.0,4.17,3.5,19.0,-6.17
"Mar 26, 2023",DAL,CHA,A,L,119.86,44.71,89.71,50.31,16.43,43.86,37.93,14.0,18.57,76.07,6.43,33.43,39.86,26.29,11.29,4.57,4.14,19.57,-2.0
"Mar 24, 2023",DAL,CHA,H,L,117.88,43.12,89.0,48.79,16.75,44.5,38.04,14.88,19.0,78.5,6.0,33.5,39.5,25.25,10.88,5.0,4.5,20.12,-2.5
"Mar 22, 2023",DAL,GSW,H,L,116.89,42.89,88.44,48.79,15.89,43.56,36.59,15.22,19.56,78.11,6.11,34.0,40.11,25.22,10.89,4.78,4.44,20.0,-3.11
"Mar 20, 2023",DAL,MEM,A,L,117.7,43.0,88.5,48.85,16.0,43.2,37.18,15.7,20.4,77.44,6.3,32.9,39.2,25.4,10.8,5.0,4.2,19.7,-3.0
"Mar 17, 2023",DAL,LAL,A,W,116.82,42.64,88.09,48.63,15.55,42.55,36.58,16.0,20.36,79.04,6.45,32.55,39.0,25.09,10.91,5.0,4.18,19.64,-3.09
"Mar 15, 2023",DAL,SAS,A,W,116.33,42.42,87.33,48.79,15.58,41.83,37.46,15.92,20.25,79.02,6.5,32.17,38.67,25.25,11.25,5.25,4.17,20.17,-2.75
