DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 08, 2023",LAC,POR,H,W,119.0,49.0,100.0,49.0,5.0,23.0,21.7,16.0,24.0,66.7,14.0,39.0,53.0,22.0,10.0,3.0,5.0,18.0,5.0
"Apr 05, 2023",LAC,LAL,H,W,127.5,49.0,96.5,50.85,8.5,29.0,28.0,21.0,27.0,76.7,13.5,38.5,52.0,26.0,11.0,5.0,5.0,17.5,8.0
"Apr 01, 2023",LAC,NOP,A,L,126.67,47.0,91.67,51.37,11.0,31.33,33.47,21.67,27.0,79.53,10.67,36.67,47.33,25.0,11.67,6.33,4.67,17.67,7.67
"Mar 31, 2023",LAC,MEM,A,L,123.5,45.75,90.0,50.88,11.0,30.75,34.58,21.0,26.0,80.3,10.75,34.0,44.75,25.0,12.0,6.0,4.5,20.5,3.75
"Mar 29, 2023",LAC,MEM,A,W,117.6,43.4,90.0,48.26,11.0,31.6,33.94,19.8,24.4,80.9,11.0,34.8,45.8,25.2,13.2,5.8,5.2,19.2,0.2
"Mar 27, 2023",LAC,CHI,H,W,121.5,44.17,88.0,50.47,12.83,32.5,38.2,20.33,25.5,79.78,9.67,33.83,43.5,25.67,13.67,6.17,5.0,19.5,1.67
"Mar 25, 2023",LAC,NOP,H,L,121.86,44.71,87.0,51.73,13.86,33.57,39.89,18.57,24.14,75.53,9.14,33.43,42.57,27.86,14.29,6.71,4.86,19.14,3.14
"Mar 23, 2023",LAC,OKC,H,W,120.38,44.0,85.5,51.76,14.0,33.5,40.59,18.38,23.75,76.21,8.25,32.88,41.12,28.0,15.0,7.0,5.0,18.5,0.12
"Mar 21, 2023",LAC,OKC,H,L,121.11,44.33,85.33,52.23,14.44,33.89,41.48,18.0,23.33,76.08,8.22,33.0,41.22,28.67,15.0,7.22,5.0,17.44,2.56
"Mar 19, 2023",LAC,POR,A,W,119.0,44.0,85.4,51.78,13.6,33.6,39.27,17.4,23.1,74.18,8.6,33.1,41.7,27.9,14.9,7.4,4.7,17.8,2.2
"Mar 18, 2023",LAC,ORL,H,L,118.82,43.91,86.18,51.23,13.45,33.09,39.6,17.55,23.09,74.95,9.45,32.91,42.36,27.73,14.45,7.73,4.55,17.82,3.36
"Mar 15, 2023",LAC,GSW,H,W,117.92,43.75,86.5,50.85,12.83,32.17,38.58,17.58,23.17,74.95,9.75,32.67,42.42,27.33,14.5,7.83,4.42,18.33,2.67
"Mar 11, 2023",LAC,NYK,H,W,119.15,43.92,87.23,50.62,13.08,32.31,39.23,18.23,23.85,75.44,10.23,32.31,42.54,27.54,14.0,8.08,4.15,18.31,3.08
