DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 07, 2023",LAL,PHX,H,W,128.0,47.0,97.0,48.5,18.0,45.0,40.0,16.0,21.0,76.2,10.0,39.0,49.0,28.0,11.0,4.0,7.0,9.0,11.0
"Apr 05, 2023",LAL,LAC,A,L,124.5,46.0,94.5,48.7,18.0,40.5,45.0,14.5,19.0,76.35,10.0,41.5,51.5,26.5,13.5,5.0,6.5,10.5,12.5
"Apr 04, 2023",LAL,UTA,A,W,122.33,45.67,92.67,49.33,16.0,36.67,43.8,15.0,20.67,73.13,10.0,39.0,49.0,26.67,13.67,4.67,5.33,12.67,6.0
"Apr 02, 2023",LAL,HOU,A,W,125.5,46.25,93.5,49.5,15.0,36.0,41.67,18.0,24.25,74.12,10.25,37.5,47.75,26.75,13.25,5.0,5.75,14.75,5.0
"Mar 31, 2023",LAL,MIN,A,W,127.2,47.4,93.4,50.78,13.8,34.8,39.34,18.6,25.0,74.3,10.4,38.0,48.4,28.6,11.8,4.8,6.2,13.6,9.0
"Mar 29, 2023",LAL,CHI,A,W,126.5,47.0,92.83,50.65,13.0,32.67,39.6,19.5,25.83,75.25,11.17,38.0,49.17,28.5,12.5,5.67,6.0,14.17,9.5
"Mar 26, 2023",LAL,CHI,H,L,125.71,46.71,91.86,50.89,12.14,30.86,38.94,20.14,26.43,75.93,11.43,37.14,48.57,27.57,13.0,6.29,5.57,14.14,9.71
"Mar 24, 2023",LAL,OKC,H,W,123.5,45.62,89.75,50.86,12.25,31.5,38.59,20.0,26.62,74.92,11.0,36.25,47.25,27.12,13.62,6.12,5.38,14.62,7.25
"Mar 22, 2023",LAL,PHX,H,W,122.67,45.22,89.89,50.34,12.22,31.78,38.22,20.0,26.78,74.53,11.56,36.33,47.89,26.33,13.33,6.44,5.22,14.56,7.0
"Mar 19, 2023",LAL,ORL,H,W,122.6,44.6,87.9,50.88,11.8,30.3,39.11,21.6,28.7,74.91,10.9,35.8,46.7,26.4,13.5,6.5,4.9,15.1,7.4
"Mar 17, 2023",LAL,DAL,H,L,121.55,43.82,87.0,50.45,11.91,30.45,39.25,22.0,29.0,75.49,10.73,36.45,47.18,26.27,13.64,6.09,5.27,15.45,7.27
"Mar 15, 2023",LAL,HOU,A,L,120.58,43.75,86.75,50.52,11.33,29.58,38.06,21.75,29.17,74.31,10.92,35.83,46.75,26.0,13.5,6.25,5.08,15.67,6.58
"Mar 14, 2023",LAL,NOP,A,W,119.77,43.0,87.0,49.54,11.31,30.69,37.05,22.46,29.77,75.04,10.92,35.0,45.92,25.62,13.23,6.31,4.92,15.77,5.77
"Mar 12, 2023",LAL,NYK,H,L,120.0,42.79,86.64,49.49,11.79,31.29,37.71,22.64,29.64,76.06,11.21,35.14,46.36,25.5,13.57,6.43,4.71,15.79,6.43
"Mar 10, 2023",LAL,TOR,H,W,119.2,42.8,86.8,49.41,11.8,31.6,37.41,21.8,28.8,74.91,11.13,34.6,45.73,25.4,13.4,6.4,4.53,15.87,5.73
"Mar 07, 2023",LAL,MEM,H,W,119.38,42.94,86.38,49.84,11.88,31.5,37.78,21.62,28.19,76.47,10.75,34.31,45.06,25.56,13.88,6.5,4.75,15.5,6.0
"Mar 05, 2023",LAL,GSW,H,W,118.94,42.82,86.59,49.59,11.59,31.29,37.03,21.71,28.24,76.64,10.53,35.24,45.76,25.65,13.94,6.35,4.59,15.65,6.18
"Mar 03, 2023",LAL,MIN,H,L,118.61,42.78,87.06,49.29,11.56,31.39,36.82,21.5,27.89,76.93,10.5,35.28,45.78,25.83,13.67,6.17,4.5,15.72,6.28
"Mar 01, 2023",LAL,OKC,A,W,117.74,42.42,87.05,48.87,11.47,31.37,36.58,21.42,27.68,77.26,10.53,35.0,45.53,25.68,13.74,6.26,4.37,15.89,5.53
"Feb 28, 2023",LAL,MEM,A,L,118.0,42.2,86.7,48.8,11.7,31.55,37.04,21.9,28.25,77.37,10.5,34.8,45.3,25.5,13.7,6.35,4.55,16.05,5.55
"Feb 26, 2023",LAL,DAL,A,W,117.57,42.0,86.67,48.59,11.76,31.67,37.1,21.81,28.0,77.83,10.67,35.14,45.81,25.33,14.29,6.29,4.81,16.19,4.71
"Feb 23, 2023",LAL,GSW,H,W,117.27,42.0,87.14,48.35,11.5,31.77,36.21,21.77,28.0,77.7,10.95,35.32,46.27,25.32,14.14,6.41,4.77,16.23,4.64
"Feb 15, 2023",LAL,NOP,H,W,117.57,42.0,87.09,48.37,11.7,31.7,36.95,21.87,28.26,77.4,10.91,35.87,46.78,25.52,14.22,6.48,4.7,16.39,5.0
