DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 12, 2024",DET,DAL,A,W,95.0,36.0,92.0,39.1,8.0,33.0,24.2,15.0,20.0,75.0,11.0,29.0,40.0,17.0,14.0,7.0,3.0,9.0,-28.0
"Apr 11, 2024",DET,CHI,H,L,101.0,41.0,93.5,43.75,8.0,32.0,25.0,11.0,14.5,76.4,8.5,31.5,40.0,20.0,10.5,9.0,5.0,9.5,-5.0
"Apr 09, 2024",DET,PHI,A,L,102.33,40.0,88.0,45.63,10.0,33.0,30.0,12.33,17.33,72.67,8.0,31.33,39.33,22.33,13.67,7.33,4.0,10.33,-10.67
"Apr 06, 2024",DET,BKN,A,L,102.25,38.5,87.0,44.35,11.0,32.25,34.17,14.25,19.0,75.33,8.25,32.25,40.5,21.75,14.25,6.25,4.25,12.0,-12.5
"Apr 05, 2024",DET,MEM,A,L,102.4,39.2,88.0,44.62,12.2,33.6,36.06,11.8,16.0,70.26,7.6,30.4,38.0,22.4,13.4,6.8,3.8,14.4,-12.0
"Apr 03, 2024",DET,ATL,A,L,100.33,38.0,86.5,43.93,11.5,33.0,34.5,12.83,17.33,71.05,8.0,30.0,38.0,22.33,14.17,7.83,3.83,14.33,-13.0
"Apr 01, 2024",DET,MEM,H,L,102.14,38.71,87.57,44.19,11.29,32.57,34.33,13.43,17.86,72.47,8.0,29.86,37.86,22.57,13.57,8.71,3.71,14.14,-12.29
"Mar 29, 2024",DET,WAS,A,W,102.88,38.88,86.5,44.99,11.25,32.0,34.95,13.88,18.38,73.08,8.12,30.12,38.25,22.5,13.62,8.5,4.38,14.38,-11.0
"Mar 27, 2024",DET,MIN,A,L,102.11,38.67,86.78,44.61,10.67,31.11,33.84,14.11,18.56,73.84,8.11,31.11,39.22,22.11,13.56,8.56,4.44,14.78,-8.78
"Mar 25, 2024",DET,NYK,A,L,101.0,37.9,86.2,43.98,10.5,31.2,33.27,14.7,19.2,74.46,8.3,31.1,39.4,21.4,13.4,8.6,4.1,14.7,-9.4
"Mar 24, 2024",DET,NOP,H,L,100.82,37.55,86.36,43.49,10.45,31.45,32.92,15.27,19.45,76.37,8.18,31.0,39.18,21.45,13.27,8.55,4.18,15.36,-10.82
"Mar 22, 2024",DET,BOS,H,L,100.83,37.08,85.75,43.24,10.5,32.25,32.41,16.17,20.5,76.78,8.33,31.42,39.75,21.33,13.58,8.17,4.25,16.17,-11.0
"Mar 20, 2024",DET,IND,H,L,100.92,37.46,85.54,43.81,10.38,32.15,32.15,15.62,19.92,76.2,8.31,31.62,39.92,21.62,14.0,7.85,4.0,16.69,-12.23
"Mar 18, 2024",DET,BOS,A,L,101.07,37.43,85.86,43.61,10.0,31.5,31.4,16.21,20.64,76.47,8.57,31.79,40.36,21.71,14.07,7.86,3.79,16.5,-12.71
"Mar 17, 2024",DET,MIA,H,L,100.6,37.33,85.73,43.57,9.93,31.33,31.37,16.0,20.27,77.15,8.53,32.0,40.53,21.67,14.0,7.73,3.73,16.4,-13.53
