DATE,TEAM,OPP,H/A,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 12, 2024",WAS,CHI,H,L,122.0,49.0,103.0,47.6,14.0,38.0,36.8,10.0,10.0,100.0,8.0,28.0,36.0,33.0,12.0,9.0,4.0,16.0,-10.0
"Apr 09, 2024",WAS,MIN,A,L,124.5,47.0,94.5,49.95,16.0,40.5,39.35,14.5,19.5,82.75,6.0,31.5,37.5,32.5,12.0,7.5,4.5,19.0,-6.0
"Apr 07, 2024",WAS,TOR,A,L,123.33,46.0,92.67,49.77,17.33,41.33,41.73,14.0,18.67,80.67,6.33,32.33,38.67,30.33,12.33,6.67,4.33,20.0,-7.0
"Apr 05, 2024",WAS,POR,H,L,123.0,45.0,91.75,49.12,17.0,41.0,41.3,16.0,21.5,78.83,6.75,33.0,39.75,30.0,13.0,7.25,6.0,21.25,-7.25
"Apr 03, 2024",WAS,LAL,H,L,118.8,43.6,91.0,47.94,14.6,39.4,36.08,17.0,23.2,77.06,7.8,33.0,40.8,28.8,12.4,7.6,5.8,21.2,-7.0
"Apr 02, 2024",WAS,MIL,H,W,119.0,43.83,91.0,48.2,15.17,39.83,37.22,16.17,21.5,79.6,7.5,33.0,40.5,28.33,13.33,8.17,5.5,21.33,-6.67
"Mar 31, 2024",WAS,MIA,H,L,118.71,44.29,91.29,48.53,14.29,39.57,35.29,15.86,20.86,80.0,7.14,33.86,41.0,28.0,13.0,8.29,5.0,21.14,-5.14
"Mar 29, 2024",WAS,DET,H,L,117.25,43.75,90.88,48.15,13.88,39.38,34.49,15.88,20.88,79.53,7.12,34.0,41.12,27.88,13.38,8.0,4.5,21.25,-6.0
"Mar 27, 2024",WAS,BKN,H,L,113.89,42.89,90.56,47.34,13.33,38.67,33.69,14.78,19.44,79.02,7.33,34.44,41.78,27.22,14.0,7.33,4.44,20.89,-6.33
"Mar 25, 2024",WAS,CHI,A,W,114.4,43.2,90.6,47.66,13.4,38.2,34.44,14.6,19.2,78.77,7.1,34.9,42.0,27.1,14.0,7.0,4.4,20.9,-6.0
"Mar 23, 2024",WAS,TOR,H,W,113.73,42.82,91.18,46.98,13.45,39.18,33.91,14.64,19.09,79.18,7.73,35.18,42.91,27.55,14.0,7.09,4.45,20.91,-5.27
"Mar 21, 2024",WAS,SAC,H,W,113.58,42.92,91.25,47.05,13.25,38.83,33.7,14.5,19.08,78.28,8.42,35.5,43.92,27.58,14.33,7.08,4.75,20.67,-4.58
"Mar 19, 2024",WAS,HOU,H,L,113.23,42.77,90.46,47.32,13.0,37.77,34.18,14.69,19.38,77.95,8.54,35.46,44.0,27.0,14.77,7.23,4.62,20.54,-3.69
"Mar 17, 2024",WAS,BOS,H,L,113.29,42.71,91.0,47.01,13.14,37.86,34.49,14.71,19.43,77.74,9.14,34.86,44.0,26.79,14.5,7.14,4.43,21.0,-5.07
"Mar 16, 2024",WAS,CHI,A,L,112.67,42.6,90.87,46.95,12.93,37.6,34.15,14.53,19.07,78.27,9.2,34.53,43.73,26.6,14.6,6.87,4.47,20.93,-6.47
"Mar 14, 2024",WAS,HOU,A,L,111.75,42.19,90.44,46.69,12.94,37.25,34.56,14.44,19.25,77.07,9.19,33.81,43.0,26.62,14.69,7.19,4.62,20.94,-7.88
"Mar 12, 2024",WAS,MEM,A,L,112.18,42.41,90.59,46.86,12.88,37.29,34.38,14.47,19.24,77.18,9.06,33.29,42.35,26.76,14.65,7.41,4.47,20.82,-8.35
"Mar 10, 2024",WAS,MIA,A,W,111.33,42.11,90.11,46.76,12.78,37.22,34.17,14.33,19.06,77.06,8.78,32.78,41.56,26.72,14.56,7.5,4.39,20.67,-8.56
"Mar 08, 2024",WAS,CHA,H,W,111.26,41.95,89.63,46.83,12.95,37.32,34.53,14.42,19.21,76.83,8.63,32.84,41.47,27.16,14.58,7.37,4.42,20.53,-8.0
"Mar 06, 2024",WAS,ORL,H,L,111.3,42.0,89.5,46.96,12.6,37.1,33.72,14.7,19.4,77.34,8.7,33.4,42.1,27.05,14.4,7.25,4.75,20.5,-7.0
"Mar 04, 2024",WAS,UTA,A,L,111.19,41.9,89.43,46.89,12.57,37.14,33.61,14.81,19.43,77.7,8.71,33.05,41.76,27.0,14.14,7.24,4.71,20.48,-7.14
"Mar 01, 2024",WAS,LAC,A,L,111.36,41.82,89.64,46.7,12.73,37.18,34.0,15.0,19.59,77.92,8.77,33.05,41.82,26.95,14.18,7.18,4.64,20.23,-7.36
