MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 16, 2021 - WAS vs. CHA",W,48,115,44,91,48.4,10,31,32.3,17,21,81.0,10,43,53,22,14,4,3,20,5
"May 14, 2021 - WAS vs. CLE",W,48,120,41,89,46.1,7,25,28.0,31,37,83.8,12,35,47,23,11,9,6,19,15
"May 12, 2021 - WAS @ ATL",L,48,116,45,101,44.6,10,29,34.5,16,19,84.2,9,33,42,29,7,10,1,20,-4
"May 10, 2021 - WAS @ ATL",L,48,124,51,100,51.0,13,26,50.0,9,11,81.8,8,34,42,28,9,8,8,21,-1
"May 08, 2021 - WAS @ IND",W,53,133,49,110,44.5,9,32,28.1,26,30,86.7,15,45,60,26,18,7,9,24,1
"May 06, 2021 - WAS @ TOR",W,53,131,41,94,43.6,13,30,43.3,36,43,83.7,11,36,47,29,15,4,6,22,2
"May 05, 2021 - WAS @ MIL",L,48,134,47,96,49.0,8,22,36.4,32,43,74.4,11,32,43,27,7,6,6,23,-1
"May 03, 2021 - WAS vs. IND",W,48,154,63,103,61.2,9,22,40.9,19,24,79.2,9,35,44,50,17,10,7,19,13
"May 01, 2021 - WAS @ DAL",L,48,124,47,91,51.6,6,19,31.6,24,31,77.4,14,32,46,19,11,5,3,23,-1
"Apr 30, 2021 - WAS @ CLE",W,48,122,46,92,50.0,8,18,44.4,22,26,84.6,11,35,46,31,14,14,3,19,29
"Apr 28, 2021 - WAS vs. LAL",W,48,116,47,90,52.2,6,18,33.3,16,21,76.2,10,40,50,24,14,6,4,20,9
"Apr 26, 2021 - WAS vs. SAS",L,53,143,58,109,53.2,6,20,30.0,21,25,84.0,18,32,50,26,8,4,8,23,-3
"Apr 25, 2021 - WAS vs. CLE",W,48,119,43,89,48.3,12,31,38.7,21,26,80.8,10,26,36,25,10,11,6,21,9
"Apr 23, 2021 - WAS @ OKC",W,48,129,48,93,51.6,18,32,56.3,15,16,93.8,12,38,50,25,20,7,7,23,20
"Apr 21, 2021 - WAS vs. GSW",W,48,118,38,91,41.8,10,28,35.7,32,38,84.2,15,46,61,23,23,12,7,16,4
"Apr 19, 2021 - WAS vs. OKC",W,48,119,46,91,50.5,10,31,32.3,17,29,58.6,8,34,42,31,12,8,2,19,12
"Apr 17, 2021 - WAS vs. DET",W,48,121,50,94,53.2,9,16,56.3,12,19,63.2,10,38,48,25,14,11,6,24,21
"Apr 16, 2021 - WAS vs. NOP",W,53,117,45,96,46.9,4,27,14.8,23,32,71.9,3,43,46,24,13,5,7,24,2
"Apr 14, 2021 - WAS @ SAC",W,48,123,47,90,52.2,7,24,29.2,22,27,81.5,14,42,56,23,26,12,3,18,12
"Apr 12, 2021 - WAS @ UTA",W,48,125,47,90,52.2,9,19,47.4,22,28,78.6,8,36,44,29,8,7,4,27,4
"Apr 10, 2021 - WAS @ PHX",L,48,106,39,84,46.4,9,25,36.0,19,28,67.9,7,42,49,27,16,2,1,12,-28
"Apr 09, 2021 - WAS @ GSW",W,48,110,43,89,48.3,5,19,26.3,19,24,79.2,11,36,47,30,18,6,1,16,3
"Apr 07, 2021 - WAS @ ORL",W,48,131,49,85,57.6,19,36,52.8,14,16,87.5,5,32,37,35,13,7,3,18,15
"Apr 05, 2021 - WAS @ TOR",L,48,101,37,94,39.4,12,35,34.3,15,18,83.3,15,39,54,21,18,7,5,18,-2
"Apr 03, 2021 - WAS vs. DAL",L,48,87,35,86,40.7,5,25,20.0,12,15,80.0,9,35,44,12,14,4,3,21,-22
"Apr 01, 2021 - WAS @ DET",L,48,91,40,85,47.1,5,19,26.3,6,19,31.6,4,36,40,25,15,6,6,21,-29
"Mar 30, 2021 - WAS vs. CHA",L,48,104,41,100,41.0,10,37,27.0,12,15,80.0,15,36,51,22,13,5,1,19,-10
"Mar 29, 2021 - WAS vs. IND",W,48,132,55,99,55.6,10,19,52.6,12,18,66.7,12,43,55,30,19,5,8,24,8
"Mar 27, 2021 - WAS vs. DET",W,48,106,44,91,48.4,9,21,42.9,9,9,100,7,41,48,24,18,7,5,22,14
"Mar 25, 2021 - WAS @ NYK",L,48,102,37,80,46.3,8,26,30.8,20,33,60.6,8,38,46,26,17,8,9,32,-4
"Mar 23, 2021 - WAS @ NYK",L,48,113,38,79,48.1,9,23,39.1,28,35,80.0,7,31,38,25,17,5,5,23,-18
"Mar 21, 2021 - WAS @ BKN",L,48,106,42,79,53.2,7,21,33.3,15,19,78.9,10,33,43,24,19,5,4,22,-7
"Mar 18, 2021 - WAS vs. UTA",W,48,131,47,86,54.7,7,17,41.2,30,38,78.9,7,36,43,23,13,6,2,27,9
"Mar 17, 2021 - WAS vs. SAC",L,48,119,46,94,48.9,4,25,16.0,23,28,82.1,10,42,52,25,15,5,2,25,-2
"Mar 15, 2021 - WAS vs. MIL",L,48,122,44,87,50.6,16,38,42.1,18,24,75.0,2,31,33,34,14,5,1,18,-11
"Mar 13, 2021 - WAS vs. MIL",L,48,119,43,94,45.7,16,41,39.0,17,22,77.3,6,35,41,25,15,9,2,20,-6
"Mar 12, 2021 - WAS vs. PHI",L,48,101,40,82,48.8,8,24,33.3,13,22,59.1,6,26,32,19,18,10,2,16,-26
"Mar 10, 2021 - WAS @ MEM",L,48,112,38,95,40.0,11,36,30.6,25,27,92.6,6,33,39,23,9,9,6,26,-15
"Mar 04, 2021 - WAS vs. LAC",W,48,119,40,88,45.5,9,23,39.1,30,42,71.4,11,30,41,20,9,12,3,24,2
"Mar 02, 2021 - WAS vs. MEM",L,48,111,41,81,50.6,11,31,35.5,18,25,72.0,4,33,37,29,22,8,3,20,-14
"Feb 28, 2021 - WAS @ BOS",L,48,110,38,84,45.2,9,32,28.1,25,29,86.2,7,29,36,16,14,10,5,22,-1
"Feb 27, 2021 - WAS vs. MIN",W,48,128,44,98,44.9,13,33,39.4,27,34,79.4,15,42,57,27,16,6,6,24,16
"Feb 25, 2021 - WAS @ DEN",W,48,112,41,86,47.7,8,26,30.8,22,25,88.0,10,32,42,24,11,9,2,20,2
"Feb 23, 2021 - WAS @ LAC",L,48,116,47,88,53.4,11,20,55.0,11,16,68.8,6,30,36,32,13,5,1,16,-19
"Feb 22, 2021 - WAS @ LAL",W,53,127,47,96,49.0,9,25,36.0,24,33,72.7,5,44,49,25,16,9,4,25,3
