MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 10, 2022 - MIA @ ORL",L,48,111,40,94,42.6,19,50,38.0,12,16,75.0,10,37,47,20,10,5,4,13,-14
"Apr 08, 2022 - MIA vs. ATL",W,48,113,40,72,55.6,11,26,42.3,22,28,78.6,4,29,33,20,17,9,1,17,4
"Apr 05, 2022 - MIA vs. CHA",W,48,144,48,84,57.1,23,42,54.8,25,29,86.2,8,33,41,29,15,10,1,19,29
"Apr 03, 2022 - MIA @ TOR",W,48,114,41,79,51.9,18,38,47.4,14,22,63.6,8,30,38,30,17,9,4,21,5
"Apr 02, 2022 - MIA @ CHI",W,48,127,44,82,53.7,17,34,50.0,22,27,81.5,5,36,41,28,9,4,1,21,18
"Mar 30, 2022 - MIA @ BOS",W,48,106,38,79,48.1,13,34,38.2,17,25,68.0,4,38,42,27,18,9,6,23,8
"Mar 28, 2022 - MIA vs. SAC",W,48,123,49,90,54.4,19,40,47.5,6,6,100,10,38,48,30,16,7,1,20,23
"Mar 26, 2022 - MIA vs. BKN",L,48,95,33,75,44.0,10,34,29.4,19,26,73.1,6,33,39,20,24,7,5,23,-15
"Mar 25, 2022 - MIA vs. NYK",L,48,103,35,70,50.0,12,33,36.4,21,25,84.0,8,27,35,18,15,6,3,25,-8
"Mar 23, 2022 - MIA vs. GSW",L,48,104,37,85,43.5,14,36,38.9,16,21,76.2,8,26,34,26,10,8,1,19,-14
"Mar 21, 2022 - MIA @ PHI",L,48,106,38,80,47.5,10,33,30.3,20,20,100,4,30,34,23,12,6,4,16,-7
"Mar 18, 2022 - MIA vs. OKC",W,48,120,46,95,48.4,18,51,35.3,10,12,83.3,11,35,46,25,6,5,0,19,12
"Mar 15, 2022 - MIA vs. DET",W,48,105,29,72,40.3,12,33,36.4,35,39,89.7,7,37,44,20,13,1,1,21,7
"Mar 12, 2022 - MIA vs. MIN",L,48,104,35,88,39.8,15,45,33.3,19,25,76.0,11,42,53,23,18,7,1,24,-9
"Mar 11, 2022 - MIA vs. CLE",W,48,117,41,86,47.7,11,35,31.4,24,27,88.9,8,34,42,28,9,9,6,26,12
"Mar 09, 2022 - MIA vs. PHX",L,48,90,35,88,39.8,10,33,30.3,10,13,76.9,6,32,38,27,15,8,5,9,-21
"Mar 07, 2022 - MIA vs. HOU",W,48,123,49,91,53.8,14,31,45.2,11,14,78.6,13,37,50,26,15,3,4,17,17
"Mar 05, 2022 - MIA vs. PHI",W,48,99,35,72,48.6,13,28,46.4,16,19,84.2,6,32,38,20,14,6,3,19,17
"Mar 03, 2022 - MIA @ BKN",W,48,113,40,77,51.9,10,30,33.3,23,28,82.1,5,30,35,27,15,8,6,22,6
"Mar 02, 2022 - MIA @ MIL",L,48,119,44,97,45.4,21,44,47.7,10,12,83.3,9,39,48,28,12,9,4,22,-1
"Feb 28, 2022 - MIA vs. CHI",W,48,112,40,81,49.4,12,31,38.7,20,26,76.9,9,30,39,28,14,8,5,18,13
"Feb 26, 2022 - MIA vs. SAS",W,48,133,47,83,56.6,12,28,42.9,27,38,71.1,4,28,32,25,12,8,3,20,4
