MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 10, 2022 - SAS @ DAL",L,48,120,43,89,48.3,11,31,35.5,23,23,100,7,28,35,26,8,15,3,17,-10
"Apr 09, 2022 - SAS vs. GSW",L,48,94,32,80,40.0,10,31,32.3,20,27,74.1,4,37,41,19,12,5,3,24,-6
"Apr 07, 2022 - SAS @ MIN",L,48,121,43,89,48.3,10,28,35.7,25,34,73.5,8,37,45,31,12,5,5,22,-6
"Apr 05, 2022 - SAS @ DEN",W,48,116,44,89,49.4,12,26,46.2,16,24,66.7,5,43,48,31,11,6,3,14,19
"Apr 03, 2022 - SAS vs. POR",W,48,113,38,84,45.2,14,42,33.3,23,30,76.7,10,41,51,25,13,9,1,18,21
"Apr 01, 2022 - SAS vs. POR",W,48,130,46,81,56.8,16,37,43.2,22,28,78.6,8,36,44,34,15,9,6,16,19
"Mar 30, 2022 - SAS vs. MEM",L,48,111,42,83,50.6,14,35,40.0,13,16,81.3,7,30,37,26,15,8,1,13,-1
"Mar 28, 2022 - SAS @ HOU",W,48,123,47,100,47.0,7,29,24.1,22,28,78.6,17,39,56,28,13,11,5,20,3
"Mar 26, 2022 - SAS @ NOP",W,48,107,39,92,42.4,7,26,26.9,22,25,88.0,16,33,49,22,10,4,6,17,4
"Mar 23, 2022 - SAS @ POR",W,48,133,46,94,48.9,19,44,43.2,22,24,91.7,14,39,53,34,14,8,11,13,37
"Mar 20, 2022 - SAS @ GSW",W,48,110,38,98,38.8,15,40,37.5,19,25,76.0,17,27,44,25,11,7,2,18,2
"Mar 18, 2022 - SAS vs. NOP",L,48,91,32,89,36.0,11,44,25.0,16,20,80.0,8,32,40,22,16,5,4,12,-33
"Mar 16, 2022 - SAS vs. OKC",W,48,122,43,98,43.9,19,41,46.3,17,20,85.0,15,33,48,31,12,10,2,18,2
"Mar 14, 2022 - SAS vs. MIN",L,48,139,52,97,53.6,13,35,37.1,22,26,84.6,9,27,36,33,15,5,11,24,-10
"Mar 12, 2022 - SAS vs. IND",L,48,108,42,102,41.2,11,34,32.4,13,16,81.3,15,37,52,28,12,6,3,15,-11
