MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 09, 2023 - ATL @ BOS",L,48,114,44,97,45.4,11,39,28.2,15,19,78.9,16,34,50,27,9,11,5,12,-6
"Apr 07, 2023 - ATL vs. PHI",L,53,131,51,92,55.4,10,33,30.3,19,28,67.9,4,34,38,32,21,11,7,19,-5
"Apr 05, 2023 - ATL vs. WAS",W,48,134,43,84,51.2,13,30,43.3,35,40,87.5,12,36,48,30,17,10,5,23,18
"Apr 04, 2023 - ATL @ CHI",W,48,123,48,86,55.8,10,28,35.7,17,19,89.5,7,41,48,26,17,5,7,18,18
"Apr 02, 2023 - ATL vs. DAL",W,53,132,51,108,47.2,12,35,34.3,18,22,81.8,16,37,53,28,11,10,3,22,2
"Mar 31, 2023 - ATL @ BKN",L,48,107,39,91,42.9,8,37,21.6,21,23,91.3,16,30,46,23,11,6,3,14,-17
"Mar 28, 2023 - ATL vs. CLE",W,48,120,41,89,46.1,12,27,44.4,26,33,78.8,14,37,51,25,15,5,3,16,2
"Mar 26, 2023 - ATL vs. MEM",L,48,119,45,98,45.9,7,31,22.6,22,26,84.6,14,34,48,27,10,4,5,15,-4
"Mar 25, 2023 - ATL vs. IND",W,48,143,53,96,55.2,15,30,50.0,22,25,88.0,15,27,42,33,13,10,8,14,13
"Mar 22, 2023 - ATL @ MIN",L,48,124,45,85,52.9,12,26,46.2,22,25,88.0,9,32,41,28,17,6,6,25,-1
"Mar 21, 2023 - ATL vs. DET",W,48,129,44,95,46.3,14,38,36.8,27,36,75.0,21,40,61,26,11,5,6,20,22
"Mar 19, 2023 - ATL @ SAS",L,48,118,48,101,47.5,5,22,22.7,17,20,85.0,20,31,51,21,12,4,4,13,-8
"Mar 17, 2023 - ATL vs. GSW",W,48,127,47,100,47.0,16,41,39.0,17,25,68.0,13,32,45,27,11,7,8,15,8
"Mar 13, 2023 - ATL vs. MIN",L,48,115,44,97,45.4,4,22,18.2,23,28,82.1,18,33,51,17,16,6,4,19,-21
"Mar 11, 2023 - ATL vs. BOS",L,48,125,50,100,50.0,10,34,29.4,15,16,93.8,13,35,48,24,10,4,4,17,-9
"Mar 10, 2023 - ATL @ WAS",W,48,114,42,95,44.2,15,31,48.4,15,19,78.9,13,33,46,25,14,9,4,17,7
"Mar 08, 2023 - ATL @ WAS",W,48,122,45,85,52.9,12,29,41.4,20,26,76.9,8,28,36,26,11,11,5,17,2
"Mar 06, 2023 - ATL @ MIA",L,48,128,51,92,55.4,9,29,31.0,17,23,73.9,12,25,37,28,11,5,0,25,-2
"Mar 04, 2023 - ATL @ MIA",L,48,109,37,79,46.8,9,30,30.0,26,30,86.7,10,27,37,22,16,12,1,23,-8
"Mar 03, 2023 - ATL vs. POR",W,48,129,52,91,57.1,12,26,46.2,13,16,81.3,10,33,43,30,17,10,5,19,18
"Feb 28, 2023 - ATL vs. WAS",L,48,116,43,93,46.2,13,35,37.1,17,19,89.5,13,29,42,21,9,4,7,17,-3
"Feb 26, 2023 - ATL vs. BKN",W,48,129,45,90,50.0,16,30,53.3,23,28,82.1,13,33,46,20,16,7,2,18,2
"Feb 24, 2023 - ATL vs. CLE",W,48,136,50,85,58.8,15,28,53.6,21,23,91.3,5,37,42,28,14,7,8,21,17
"Feb 15, 2023 - ATL vs. NYK",L,48,101,40,97,41.2,5,26,19.2,16,21,76.2,8,32,40,25,5,6,7,18,-21
"Feb 13, 2023 - ATL @ CHA",L,48,138,53,108,49.1,11,28,39.3,21,21,100,16,26,42,26,12,9,4,15,-6
"Feb 11, 2023 - ATL vs. SAS",W,48,125,50,103,48.5,10,26,38.5,15,19,78.9,14,34,48,29,10,9,6,10,19
"Feb 09, 2023 - ATL vs. PHX",W,48,116,43,95,45.3,10,29,34.5,20,27,74.1,20,39,59,23,19,6,4,22,9
"Feb 07, 2023 - ATL @ NOP",L,48,107,38,85,44.7,12,36,33.3,19,25,76.0,10,31,41,30,12,4,6,21,-9
"Feb 04, 2023 - ATL @ DEN",L,48,108,44,91,48.4,6,20,30.0,14,17,82.4,10,33,43,26,16,7,7,18,-20
"Feb 03, 2023 - ATL @ UTA",W,48,115,44,95,46.3,10,37,27.0,17,23,73.9,14,38,52,28,9,8,5,18,7
"Feb 01, 2023 - ATL @ PHX",W,48,132,52,91,57.1,19,33,57.6,9,11,81.8,6,39,45,32,12,6,5,24,32
"Jan 30, 2023 - ATL @ POR",L,48,125,44,94,46.8,13,30,43.3,24,30,80.0,17,28,45,26,7,5,0,21,-4
"Jan 28, 2023 - ATL vs. LAC",L,48,113,45,95,47.4,7,27,25.9,16,20,80.0,15,32,47,24,9,12,2,18,-7
"Jan 25, 2023 - ATL @ OKC",W,48,137,50,84,59.5,11,29,37.9,26,33,78.8,11,35,46,26,17,5,6,16,5
"Jan 23, 2023 - ATL @ CHI",L,48,100,39,85,45.9,10,33,30.3,12,19,63.2,9,34,43,24,19,6,4,14,-11
"Jan 21, 2023 - ATL vs. CHA",L,48,118,45,83,54.2,11,25,44.0,17,20,85.0,6,34,40,24,18,5,4,20,-4
"Jan 20, 2023 - ATL vs. NYK",W,48,139,56,100,56.0,13,34,38.2,14,16,87.5,14,25,39,27,7,6,4,16,15
"Jan 18, 2023 - ATL @ DAL",W,48,130,49,86,57.0,13,26,50.0,19,20,95.0,7,28,35,28,12,7,4,23,8
"Jan 16, 2023 - ATL vs. MIA",W,48,121,45,76,59.2,13,27,48.1,18,22,81.8,2,26,28,27,16,9,5,17,8
"Jan 14, 2023 - ATL @ TOR",W,48,114,43,84,51.2,11,27,40.7,17,18,94.4,5,35,40,19,12,6,4,22,11
"Jan 13, 2023 - ATL @ IND",W,48,113,41,94,43.6,16,33,48.5,15,21,71.4,14,36,50,26,14,6,9,22,2
"Jan 11, 2023 - ATL vs. MIL",L,48,105,39,87,44.8,11,30,36.7,16,18,88.9,6,35,41,25,11,5,3,12,-9
"Jan 08, 2023 - ATL @ LAC",W,48,112,44,89,49.4,8,26,30.8,16,20,80.0,7,36,43,22,9,7,9,18,4
"Jan 06, 2023 - ATL @ LAL",L,48,114,44,96,45.8,9,31,29.0,17,22,77.3,7,32,39,24,12,8,5,15,-16
"Jan 04, 2023 - ATL @ SAC",W,48,120,45,84,53.6,10,30,33.3,20,22,90.9,7,37,44,21,16,9,4,21,3
"Jan 02, 2023 - ATL @ GSW",L,58,141,53,109,48.6,11,35,31.4,24,29,82.8,10,43,53,30,13,9,10,17,-2
"Dec 30, 2022 - ATL vs. LAL",L,48,121,48,101,47.5,11,38,28.9,14,20,70.0,12,29,41,22,10,6,5,19,-9
"Dec 28, 2022 - ATL vs. BKN",L,48,107,42,97,43.3,8,22,36.4,15,22,68.2,11,36,47,22,4,5,6,14,-1
"Dec 27, 2022 - ATL @ IND",L,48,114,40,89,44.9,12,30,40.0,22,29,75.9,9,33,42,26,9,4,3,19,-15
"Dec 23, 2022 - ATL vs. DET",W,48,130,49,92,53.3,12,34,35.3,20,24,83.3,8,40,48,30,8,10,8,20,25
"Dec 21, 2022 - ATL vs. CHI",L,48,108,39,91,42.9,14,37,37.8,16,16,100,9,38,47,22,15,6,7,15,-2
"Dec 19, 2022 - ATL vs. ORL",W,48,126,48,94,51.1,12,32,37.5,18,20,90.0,6,35,41,29,10,7,3,18,1
"Dec 16, 2022 - ATL @ CHA",W,48,125,41,75,54.7,15,29,51.7,28,34,82.4,4,37,41,25,14,3,5,22,19
"Dec 14, 2022 - ATL @ ORL",L,48,124,44,88,50.0,12,35,34.3,24,27,88.9,11,28,39,30,13,2,6,21,-11
"Dec 12, 2022 - ATL @ MEM",L,48,103,37,104,35.6,12,37,32.4,17,22,77.3,20,19,39,20,16,13,1,17,-25
"Dec 11, 2022 - ATL vs. CHI",W,53,123,47,98,48.0,13,39,33.3,16,21,76.2,8,37,45,28,15,3,6,22,1
"Dec 09, 2022 - ATL @ BKN",L,48,116,46,93,49.5,10,29,34.5,14,16,87.5,12,26,38,21,18,12,4,18,-4
"Dec 07, 2022 - ATL @ NYK",L,48,89,32,85,37.6,6,36,16.7,19,24,79.2,11,28,39,16,11,4,6,17,-24
"Dec 05, 2022 - ATL vs. OKC",L,48,114,44,102,43.1,13,38,34.2,13,17,76.5,17,37,54,24,18,7,4,24,-7
