MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 09, 2023 - IND @ NYK",W,48,141,46,89,51.7,19,34,55.9,30,38,78.9,8,36,44,33,15,8,9,24,5
"Apr 07, 2023 - IND vs. DET",L,48,115,41,83,49.4,11,31,35.5,22,28,78.6,9,33,42,29,19,7,3,22,-7
"Apr 05, 2023 - IND vs. NYK",L,48,129,45,87,51.7,15,30,50.0,24,30,80.0,10,27,37,33,17,6,5,17,-9
"Apr 02, 2023 - IND @ CLE",L,48,105,36,83,43.4,9,24,37.5,24,29,82.8,11,33,44,21,17,5,6,26,-10
"Mar 31, 2023 - IND vs. OKC",W,48,121,45,98,45.9,12,41,29.3,19,28,67.9,20,36,56,30,16,5,4,21,4
"Mar 29, 2023 - IND vs. MIL",L,48,136,53,101,52.5,14,30,46.7,16,22,72.7,10,19,29,36,8,9,4,25,-13
"Mar 27, 2023 - IND vs. DAL",L,48,104,39,93,41.9,8,28,28.6,18,23,78.3,14,29,43,20,14,6,3,19,-23
"Mar 25, 2023 - IND @ ATL",L,48,130,52,96,54.2,14,37,37.8,12,12,100,10,22,32,33,17,7,7,18,-13
"Mar 24, 2023 - IND @ BOS",L,48,95,39,84,46.4,4,26,15.4,13,22,59.1,6,38,44,24,17,9,4,16,-25
"Mar 22, 2023 - IND @ TOR",W,48,118,43,77,55.8,11,21,52.4,21,25,84.0,8,31,39,27,18,4,5,29,4
"Mar 20, 2023 - IND @ CHA",L,48,109,37,82,45.1,9,26,34.6,26,34,76.5,13,35,48,27,22,5,6,26,-6
"Mar 18, 2023 - IND vs. PHI",L,48,121,45,87,51.7,12,31,38.7,19,20,95.0,12,29,41,28,17,5,5,17,-20
"Mar 16, 2023 - IND @ MIL",W,48,139,54,97,55.7,22,46,47.8,9,15,60.0,8,34,42,36,10,5,3,20,16
"Mar 13, 2023 - IND @ DET",L,48,97,36,86,41.9,10,34,29.4,15,24,62.5,13,29,42,23,16,7,5,15,-20
"Mar 11, 2023 - IND @ DET",W,48,121,43,93,46.2,9,35,25.7,26,34,76.5,18,40,58,24,14,7,6,20,6
"Mar 09, 2023 - IND vs. HOU",W,53,134,48,100,48.0,18,45,40.0,20,21,95.2,8,34,42,34,12,12,15,21,9
"Mar 06, 2023 - IND vs. PHI",L,48,143,53,90,58.9,15,37,40.5,22,31,71.0,5,25,30,28,9,8,4,24,-4
