MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 09, 2023 - TOR vs. MIL",W,48,121,48,95,50.5,11,33,33.3,14,16,87.5,7,38,45,29,9,8,2,19,16
"Apr 07, 2023 - TOR @ BOS",L,48,102,40,93,43.0,9,31,29.0,13,17,76.5,12,23,35,21,8,12,2,17,-19
"Apr 05, 2023 - TOR @ BOS",L,48,93,37,90,41.1,6,33,18.2,13,17,76.5,13,37,50,20,12,10,7,19,-4
"Apr 04, 2023 - TOR @ CHA",W,48,120,42,88,47.7,15,33,45.5,21,28,75.0,10,31,41,27,7,13,7,18,20
"Apr 02, 2023 - TOR @ CHA",W,48,128,56,104,53.8,8,28,28.6,8,8,100,15,30,45,38,8,8,6,14,20
"Mar 31, 2023 - TOR @ PHI",L,48,110,42,84,50.0,8,26,30.8,18,23,78.3,14,20,34,26,13,6,3,19,-7
"Mar 28, 2023 - TOR vs. MIA",W,48,106,45,93,48.4,8,36,22.2,8,9,88.9,15,32,47,32,9,8,7,13,14
"Mar 26, 2023 - TOR vs. WAS",W,48,114,45,98,45.9,11,31,35.5,13,16,81.3,18,35,53,22,13,13,6,19,10
"Mar 24, 2023 - TOR vs. DET",W,48,118,41,92,44.6,13,37,35.1,23,29,79.3,15,31,46,25,11,12,9,24,21
"Mar 22, 2023 - TOR vs. IND",L,48,114,39,89,43.8,7,34,20.6,29,39,74.4,13,27,40,21,10,11,7,22,-4
"Mar 19, 2023 - TOR @ MIL",L,48,111,44,99,44.4,14,34,41.2,9,12,75.0,9,32,41,25,7,6,4,15,-7
"Mar 18, 2023 - TOR vs. MIN",W,48,122,48,90,53.3,9,27,33.3,17,21,81.0,9,36,45,23,15,11,3,25,15
"Mar 16, 2023 - TOR vs. OKC",W,48,128,47,97,48.5,14,32,43.8,20,28,71.4,19,40,59,29,10,10,6,20,17
"Mar 14, 2023 - TOR vs. DEN",W,48,125,49,93,52.7,12,30,40.0,15,17,88.2,14,30,44,25,11,10,2,18,15
"Mar 10, 2023 - TOR @ LAL",L,48,112,46,92,50.0,10,28,35.7,10,13,76.9,10,27,37,29,13,14,3,16,-10
"Mar 08, 2023 - TOR @ LAC",L,48,100,37,96,38.5,13,32,40.6,13,14,92.9,15,26,41,21,12,12,2,23,-8
"Mar 06, 2023 - TOR @ DEN",L,48,113,43,86,50.0,10,27,37.0,17,20,85.0,11,30,41,29,15,6,4,20,-5
"Mar 04, 2023 - TOR @ WAS",W,53,116,47,90,52.2,12,30,40.0,10,14,71.4,10,24,34,30,14,14,4,21,7
"Mar 02, 2023 - TOR @ WAS",L,48,108,41,92,44.6,9,33,27.3,17,17,100,13,30,43,28,14,8,7,21,-11
"Feb 28, 2023 - TOR vs. CHI",W,48,104,38,94,40.4,15,42,35.7,13,19,68.4,19,28,47,26,12,11,6,17,6
"Feb 26, 2023 - TOR @ CLE",L,48,93,36,93,38.7,9,25,36.0,12,15,80.0,13,30,43,19,14,4,4,16,-25
"Feb 25, 2023 - TOR @ DET",W,48,95,33,88,37.5,7,26,26.9,22,34,64.7,10,36,46,22,8,9,5,18,4
