MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 14, 2024 - CHI @ NYK",L,53,119,49,101,48.5,8,31,25.8,13,16,81.3,15,29,44,25,12,15,3,21,-1
"Apr 12, 2024 - CHI @ WAS",W,48,129,48,98,49.0,14,35,40.0,19,28,67.9,17,39,56,28,13,9,6,25,2
"Apr 11, 2024 - CHI @ DET",W,48,127,51,96,53.1,14,36,38.9,11,15,73.3,11,31,42,28,9,14,5,15,22
"Apr 09, 2024 - CHI vs. NYK",L,48,117,47,88,53.4,10,28,35.7,13,19,68.4,12,27,39,20,9,4,5,18,-11
"Apr 07, 2024 - CHI @ ORL",L,48,98,38,75,50.7,6,20,30.0,16,22,72.7,8,29,37,20,21,7,5,17,-15
"Apr 05, 2024 - CHI vs. NYK",W,48,108,44,93,47.3,7,23,30.4,13,16,81.3,19,38,57,27,17,11,5,19,8
"Apr 01, 2024 - CHI vs. ATL",L,48,101,37,94,39.4,7,28,25.0,20,24,83.3,16,35,51,17,8,8,2,17,-12
"Mar 31, 2024 - CHI @ MIN",W,48,109,42,80,52.5,17,29,58.6,8,12,66.7,8,35,43,30,16,11,3,18,8
"Mar 29, 2024 - CHI @ BKN",L,48,108,38,75,50.7,9,30,30.0,23,29,79.3,5,39,44,24,13,3,6,18,-17
"Mar 27, 2024 - CHI vs. IND",W,48,125,49,98,50.0,12,27,44.4,15,18,83.3,13,41,54,28,8,7,5,19,26
"Mar 25, 2024 - CHI vs. WAS",L,48,105,36,87,41.4,10,35,28.6,23,28,82.1,9,37,46,27,12,9,8,14,-2
"Mar 23, 2024 - CHI vs. BOS",L,48,113,47,82,57.3,9,24,37.5,10,11,90.9,3,26,29,36,7,7,3,18,-11
"Mar 21, 2024 - CHI @ HOU",L,48,117,42,93,45.2,12,31,38.7,21,25,84.0,12,31,43,23,11,8,3,17,-10
"Mar 18, 2024 - CHI vs. POR",W,48,110,41,93,44.1,11,33,33.3,17,21,81.0,13,27,40,26,9,9,5,21,3
"Mar 16, 2024 - CHI vs. WAS",W,48,127,49,85,57.6,8,24,33.3,21,29,72.4,12,39,51,33,15,9,4,16,29
"Mar 14, 2024 - CHI vs. LAC",L,48,111,41,86,47.7,16,35,45.7,13,16,81.3,11,25,36,28,13,4,2,14,-15
"Mar 13, 2024 - CHI @ IND",W,53,132,48,92,52.2,10,28,35.7,26,32,81.3,7,41,48,22,12,6,5,21,3
"Mar 11, 2024 - CHI vs. DAL",L,48,92,35,89,39.3,7,34,20.6,15,22,68.2,14,29,43,19,13,6,2,12,-35
"Mar 09, 2024 - CHI @ LAC",L,48,102,37,86,43.0,13,35,37.1,15,19,78.9,12,26,38,27,12,7,3,19,-10
"Mar 07, 2024 - CHI @ GSW",W,48,125,46,87,52.9,16,36,44.4,17,23,73.9,7,33,40,29,14,6,5,22,3
"Mar 06, 2024 - CHI @ UTA",W,48,119,45,90,50.0,17,39,43.6,12,15,80.0,7,32,39,29,9,7,4,13,2
"Mar 04, 2024 - CHI @ SAC",W,48,113,42,84,50.0,11,32,34.4,18,22,81.8,7,25,32,28,10,9,2,17,4
"Mar 01, 2024 - CHI vs. MIL",L,48,97,36,86,41.9,11,27,40.7,14,16,87.5,7,37,44,25,12,4,2,21,-16
"Feb 28, 2024 - CHI vs. CLE",W,58,132,44,110,40.0,13,37,35.1,31,38,81.6,25,49,74,29,19,6,8,18,9
"Feb 27, 2024 - CHI vs. DET",L,48,95,39,98,39.8,2,29,6.9,15,18,83.3,15,24,39,22,6,11,3,18,-10
"Feb 25, 2024 - CHI @ NOP",W,48,114,41,95,43.2,13,40,32.5,19,21,90.5,12,37,49,29,11,12,0,15,8
"Feb 22, 2024 - CHI vs. BOS",L,48,112,44,94,46.8,10,28,35.7,14,16,87.5,13,32,45,30,13,6,2,17,-17
"Feb 14, 2024 - CHI @ CLE",L,48,105,38,83,45.8,14,33,42.4,15,17,88.2,9,35,44,18,15,5,3,21,-3
"Feb 12, 2024 - CHI @ ATL",W,48,136,51,92,55.4,13,28,46.4,21,29,72.4,7,36,43,29,6,6,2,22,10
"Feb 10, 2024 - CHI @ ORL",L,53,108,43,99,43.4,12,37,32.4,10,14,71.4,18,25,43,21,8,10,6,24,-6
"Feb 08, 2024 - CHI @ MEM",W,48,118,43,79,54.4,12,26,46.2,20,22,90.9,8,38,46,24,15,3,4,16,8
"Feb 06, 2024 - CHI vs. MIN",W,53,129,45,93,48.4,12,30,40.0,27,32,84.4,13,35,48,24,14,9,16,22,6
"Feb 03, 2024 - CHI vs. SAC",L,48,115,42,91,46.2,11,34,32.4,20,22,90.9,11,36,47,24,16,13,3,20,-8
"Jan 31, 2024 - CHI @ CHA",W,48,117,45,87,51.7,11,29,37.9,16,22,72.7,11,33,44,28,10,4,7,13,7
"Jan 30, 2024 - CHI vs. TOR",L,48,107,38,75,50.7,11,32,34.4,20,27,74.1,6,27,33,21,20,9,9,16,-11
"Jan 28, 2024 - CHI @ POR",W,48,104,42,90,46.7,8,32,25.0,12,17,70.6,5,35,40,27,5,7,10,19,8
"Jan 25, 2024 - CHI @ LAL",L,48,132,47,88,53.4,12,37,32.4,26,29,89.7,12,27,39,27,17,7,6,18,-9
"Jan 22, 2024 - CHI @ PHX",L,48,113,45,93,48.4,14,37,37.8,9,14,64.3,14,33,47,25,10,6,4,18,-2
"Jan 20, 2024 - CHI vs. MEM",W,48,125,47,91,51.6,14,33,42.4,17,21,81.0,13,39,52,32,12,11,5,18,29
"Jan 18, 2024 - CHI @ TOR",W,48,116,48,91,52.7,6,24,25.0,14,17,82.4,9,33,42,30,12,7,5,22,6
"Jan 15, 2024 - CHI @ CLE",L,48,91,35,83,42.2,9,32,28.1,12,16,75.0,6,37,43,21,19,8,6,17,-18
"Jan 13, 2024 - CHI @ SAS",W,48,122,46,90,51.1,15,34,44.1,15,20,75.0,7,40,47,31,9,5,8,18,6
"Jan 12, 2024 - CHI vs. GSW",L,48,131,50,86,58.1,18,40,45.0,13,16,81.3,6,30,36,31,12,1,3,21,-9
"Jan 10, 2024 - CHI vs. HOU",W,53,124,42,95,44.2,19,47,40.4,21,25,84.0,8,38,46,31,14,9,4,19,5
"Jan 08, 2024 - CHI @ CHA",W,53,119,45,92,48.9,9,26,34.6,20,24,83.3,12,39,51,27,14,7,7,18,7
"Jan 05, 2024 - CHI vs. CHA",W,48,104,40,74,54.1,10,28,35.7,14,17,82.4,4,37,41,29,15,7,6,17,13
"Jan 03, 2024 - CHI @ NYK",L,48,100,37,89,41.6,13,32,40.6,13,16,81.3,11,28,39,24,11,9,7,17,-16
"Jan 02, 2024 - CHI @ PHI",L,48,97,37,96,38.5,7,37,18.9,16,23,69.6,19,32,51,17,18,9,7,21,-13
"Dec 30, 2023 - CHI vs. PHI",W,48,105,40,79,50.6,7,25,28.0,18,30,60.0,12,41,53,21,17,5,5,15,13
"Dec 28, 2023 - CHI vs. IND",L,48,104,40,97,41.2,7,27,25.9,17,22,77.3,13,34,47,19,8,7,4,20,-16
"Dec 26, 2023 - CHI vs. ATL",W,48,118,42,92,45.7,7,25,28.0,27,31,87.1,18,30,48,23,10,10,2,17,5
"Dec 23, 2023 - CHI vs. CLE",L,48,95,35,80,43.8,8,35,22.9,17,19,89.5,5,32,37,23,12,6,5,22,-14
"Dec 21, 2023 - CHI vs. SAS",W,48,114,49,90,54.4,7,28,25.0,9,11,81.8,5,31,36,24,12,11,5,18,19
"Dec 20, 2023 - CHI vs. LAL",W,48,124,48,88,54.5,18,34,52.9,10,11,90.9,7,41,48,25,16,7,6,15,16
"Dec 18, 2023 - CHI @ PHI",W,48,108,42,89,47.2,12,29,41.4,12,15,80.0,11,34,45,24,10,7,9,15,4
"Dec 16, 2023 - CHI @ MIA",L,48,116,37,77,48.1,16,38,42.1,26,29,89.7,11,29,40,25,15,8,4,19,-2
"Dec 14, 2023 - CHI @ MIA",W,48,124,45,93,48.4,14,36,38.9,20,30,66.7,11,32,43,32,5,8,2,23,8
"Dec 12, 2023 - CHI vs. DEN",L,48,106,36,86,41.9,13,40,32.5,21,23,91.3,11,30,41,26,14,6,9,22,-8
"Dec 11, 2023 - CHI @ MIL",L,53,129,47,114,41.2,15,34,44.1,20,25,80.0,18,33,51,25,6,3,4,27,-4
"Dec 08, 2023 - CHI @ SAS",W,48,121,47,102,46.1,13,28,46.4,14,24,58.3,24,32,56,27,8,9,2,19,9
"Dec 06, 2023 - CHI vs. CHA",W,48,111,38,90,42.2,12,25,48.0,23,29,79.3,21,36,57,23,16,6,6,16,11
"Dec 02, 2023 - CHI vs. NOP",W,48,124,48,88,54.5,17,40,42.5,11,15,73.3,12,29,41,32,13,6,8,21,6
"Nov 30, 2023 - CHI vs. MIL",W,53,120,45,98,45.9,13,37,35.1,17,22,77.3,14,37,51,32,21,14,4,18,7
"Nov 28, 2023 - CHI @ BOS",L,48,97,39,90,43.3,9,28,32.1,10,18,55.6,9,28,37,25,8,11,7,13,-27
"Nov 26, 2023 - CHI @ BKN",L,48,109,40,83,48.2,12,32,37.5,17,22,77.3,10,30,40,21,11,3,2,18,-9
"Nov 24, 2023 - CHI @ TOR",L,48,108,42,82,51.2,12,27,44.4,12,19,63.2,9,28,37,20,13,5,2,20,-13
"Nov 22, 2023 - CHI @ OKC",L,48,102,34,88,38.6,17,44,38.6,17,17,100,11,27,38,22,12,7,2,26,-14
"Nov 20, 2023 - CHI vs. MIA",L,48,100,37,81,45.7,11,37,29.7,15,16,93.8,7,29,36,21,11,2,7,16,-18
"Nov 18, 2023 - CHI vs. MIA",W,48,102,36,81,44.4,16,45,35.6,14,19,73.7,10,34,44,24,13,9,6,22,5
"Nov 17, 2023 - CHI vs. ORL",L,48,97,35,79,44.3,10,29,34.5,17,22,77.3,5,29,34,19,16,10,3,21,-6
"Nov 15, 2023 - CHI vs. ORL",L,48,94,33,83,39.8,9,33,27.3,19,22,86.4,14,39,53,16,19,7,4,25,-2
"Nov 13, 2023 - CHI @ MIL",L,48,109,38,100,38.0,14,42,33.3,19,21,90.5,18,29,47,24,8,9,7,25,-9
"Nov 12, 2023 - CHI vs. DET",W,48,119,44,91,48.4,11,30,36.7,20,25,80.0,11,29,40,22,7,12,6,21,11
"Nov 08, 2023 - CHI vs. PHX",L,53,115,42,96,43.8,14,33,42.4,17,23,73.9,9,30,39,30,14,12,7,22,-1
"Nov 06, 2023 - CHI vs. UTA",W,48,130,48,93,51.6,18,34,52.9,16,19,84.2,10,26,36,26,8,12,3,18,17
"Nov 04, 2023 - CHI @ DEN",L,48,101,39,86,45.3,7,26,26.9,16,23,69.6,9,28,37,28,11,7,3,19,-22
"Nov 03, 2023 - CHI vs. BKN",L,48,107,43,89,48.3,11,28,39.3,10,14,71.4,9,33,42,21,10,4,4,13,-2
"Nov 01, 2023 - CHI @ DAL",L,48,105,42,89,47.2,11,33,33.3,10,11,90.9,12,31,43,19,13,10,3,23,-9
"Oct 30, 2023 - CHI @ IND",W,48,112,40,87,46.0,6,17,35.3,26,31,83.9,10,34,44,19,13,8,6,17,7
"Oct 28, 2023 - CHI @ DET",L,48,102,39,93,41.9,11,28,39.3,13,16,81.3,13,20,33,16,8,10,5,20,-16
"Oct 27, 2023 - CHI vs. TOR",W,53,104,37,99,37.4,8,39,20.5,22,28,78.6,15,37,52,18,17,10,5,22,1
"Oct 25, 2023 - CHI vs. OKC",L,48,104,39,94,41.5,12,42,28.6,14,18,77.8,13,29,42,26,13,10,3,16,-20
