MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 14, 2024 - OKC vs. DAL",W,48,135,54,97,55.7,14,34,41.2,13,16,81.3,11,47,58,38,15,6,6,17,49
"Apr 12, 2024 - OKC vs. MIL",W,48,125,47,89,52.8,13,38,34.2,18,20,90.0,8,30,38,29,10,13,5,12,18
"Apr 10, 2024 - OKC vs. SAS",W,48,127,47,101,46.5,16,38,42.1,17,21,81.0,7,55,62,33,12,12,6,16,38
"Apr 09, 2024 - OKC vs. SAC",W,48,112,39,80,48.8,11,30,36.7,23,31,74.2,6,36,42,21,14,11,8,18,7
"Apr 07, 2024 - OKC @ CHA",W,48,121,45,87,51.7,18,36,50.0,13,17,76.5,10,26,36,33,17,14,4,17,3
"Apr 05, 2024 - OKC @ IND",L,48,112,42,86,48.8,8,30,26.7,20,24,83.3,9,30,39,24,15,8,6,17,-14
"Apr 03, 2024 - OKC @ BOS",L,48,100,35,81,43.2,5,24,20.8,25,28,89.3,5,26,31,21,14,8,5,11,-35
"Apr 02, 2024 - OKC @ PHI",L,48,105,37,87,42.5,13,39,33.3,18,22,81.8,12,31,43,30,15,10,9,18,-4
"Mar 31, 2024 - OKC @ NYK",W,48,113,44,82,53.7,13,34,38.2,12,24,50.0,9,34,43,29,13,6,8,23,1
"Mar 29, 2024 - OKC vs. PHX",W,48,128,49,87,56.3,16,30,53.3,14,14,100,7,31,38,33,11,7,7,13,25
"Mar 27, 2024 - OKC vs. HOU",L,53,126,47,96,49.0,14,38,36.8,18,24,75.0,13,36,49,26,19,7,7,24,-6
"Mar 26, 2024 - OKC @ NOP",W,48,119,46,86,53.5,15,34,44.1,12,14,85.7,7,38,45,28,12,5,3,17,7
"Mar 24, 2024 - OKC @ MIL",L,48,93,33,89,37.1,10,43,23.3,17,22,77.3,10,27,37,20,12,9,1,16,-25
"Mar 22, 2024 - OKC @ TOR",W,48,123,48,95,50.5,12,32,37.5,15,19,78.9,13,33,46,27,16,17,5,20,20
"Mar 20, 2024 - OKC vs. UTA",W,48,119,43,88,48.9,10,34,29.4,23,29,79.3,10,35,45,29,10,10,7,16,12
"Mar 16, 2024 - OKC @ MEM",W,48,118,45,87,51.7,12,35,34.3,16,21,76.2,8,37,45,25,12,7,8,19,6
"Mar 14, 2024 - OKC vs. DAL",W,48,126,45,86,52.3,16,39,41.0,20,23,87.0,8,26,34,28,13,10,7,24,7
"Mar 12, 2024 - OKC vs. IND",L,48,111,43,99,43.4,14,37,37.8,11,15,73.3,13,37,50,24,13,5,4,16,-10
"Mar 10, 2024 - OKC vs. MEM",W,48,124,49,93,52.7,21,47,44.7,5,5,100,8,38,46,36,10,8,6,18,31
"Mar 08, 2024 - OKC vs. MIA",W,48,107,42,89,47.2,12,38,31.6,11,13,84.6,9,36,45,28,9,5,8,16,7
"Mar 06, 2024 - OKC @ POR",W,48,128,43,74,58.1,9,22,40.9,33,39,84.6,7,32,39,23,18,10,5,18,8
"Mar 04, 2024 - OKC @ LAL",L,48,104,37,94,39.4,15,39,38.5,15,16,93.8,13,25,38,22,10,12,7,20,-12
"Mar 03, 2024 - OKC @ PHX",W,48,118,49,102,48.0,9,31,29.0,11,15,73.3,10,31,41,21,6,16,8,15,8
"Feb 29, 2024 - OKC @ SAS",L,48,118,44,89,49.4,9,31,29.0,21,22,95.5,7,30,37,20,11,6,2,15,-14
"Feb 27, 2024 - OKC vs. HOU",W,48,112,44,93,47.3,10,27,37.0,14,18,77.8,12,43,55,19,15,7,8,14,17
"Feb 25, 2024 - OKC @ HOU",W,48,123,46,97,47.4,17,35,48.6,14,15,93.3,10,38,48,30,12,12,8,22,13
"Feb 23, 2024 - OKC vs. WAS",W,48,147,55,92,59.8,20,40,50.0,17,21,81.0,8,48,56,30,15,5,9,22,41
"Feb 22, 2024 - OKC vs. LAC",W,48,129,50,90,55.6,17,35,48.6,12,17,70.6,8,36,44,24,15,9,11,16,22
"Feb 13, 2024 - OKC @ ORL",W,48,127,46,84,54.8,13,32,40.6,22,24,91.7,4,27,31,28,12,9,8,20,14
"Feb 11, 2024 - OKC vs. SAC",W,48,127,46,85,54.1,13,27,48.1,22,27,81.5,5,31,36,30,11,8,9,17,14
"Feb 10, 2024 - OKC @ DAL",L,48,111,38,98,38.8,17,47,36.2,18,21,85.7,12,28,40,23,10,5,4,23,-35
"Feb 06, 2024 - OKC @ UTA",L,48,117,43,90,47.8,19,37,51.4,12,18,66.7,9,23,32,26,11,9,9,16,-7
"Feb 04, 2024 - OKC vs. TOR",W,58,135,52,110,47.3,23,63,36.5,8,8,100,14,31,45,40,11,6,8,15,8
"Feb 02, 2024 - OKC vs. CHA",W,48,126,44,75,58.7,17,36,47.2,21,27,77.8,3,41,44,31,19,10,10,17,20
"Jan 31, 2024 - OKC vs. DEN",W,48,105,37,87,42.5,11,26,42.3,20,25,80.0,15,38,53,24,13,2,9,14,5
"Jan 29, 2024 - OKC vs. MIN",L,48,101,35,79,44.3,14,35,40.0,17,22,77.3,8,30,38,21,12,5,7,17,-6
"Jan 28, 2024 - OKC @ DET",L,48,104,44,92,47.8,8,28,28.6,8,12,66.7,11,32,43,17,10,7,5,18,-16
"Jan 26, 2024 - OKC @ NOP",W,48,107,42,88,47.7,10,33,30.3,13,14,92.9,6,39,45,22,13,11,5,11,24
"Jan 24, 2024 - OKC @ SAS",W,48,140,54,96,56.3,18,40,45.0,14,16,87.5,16,31,47,36,16,11,8,20,26
"Jan 23, 2024 - OKC vs. POR",W,48,111,43,89,48.3,7,23,30.4,18,28,64.3,10,33,43,23,12,9,10,18,2
"Jan 20, 2024 - OKC @ MIN",W,48,102,32,81,39.5,8,24,33.3,30,35,85.7,9,28,37,21,8,12,4,20,5
"Jan 18, 2024 - OKC @ UTA",W,48,134,48,86,55.8,14,32,43.8,24,28,85.7,7,31,38,36,16,8,10,29,5
"Jan 16, 2024 - OKC @ LAC",L,48,117,42,83,50.6,16,34,47.1,17,20,85.0,9,26,35,30,12,5,5,19,-11
"Jan 15, 2024 - OKC @ LAL",L,48,105,40,96,41.7,15,49,30.6,10,11,90.9,13,27,40,23,11,11,6,18,-7
"Jan 13, 2024 - OKC vs. ORL",W,48,112,43,94,45.7,8,36,22.2,18,21,85.7,12,34,46,23,9,9,4,19,12
"Jan 11, 2024 - OKC vs. POR",W,48,139,53,93,57.0,14,35,40.0,19,22,86.4,8,51,59,41,13,6,8,10,62
"Jan 10, 2024 - OKC @ MIA",W,48,128,51,86,59.3,14,33,42.4,12,16,75.0,4,38,42,36,13,4,4,19,8
"Jan 08, 2024 - OKC @ WAS",W,48,136,52,88,59.1,14,28,50.0,18,24,75.0,10,30,40,37,15,11,7,21,8
"Jan 05, 2024 - OKC @ BKN",L,48,115,45,84,53.6,9,31,29.0,16,24,66.7,7,29,36,29,13,8,5,26,-9
"Jan 03, 2024 - OKC @ ATL",L,48,138,50,91,54.9,18,36,50.0,20,26,76.9,9,28,37,30,13,10,1,23,-3
"Jan 02, 2024 - OKC vs. BOS",W,48,127,48,91,52.7,18,40,45.0,13,17,76.5,10,28,38,34,12,7,10,22,4
"Dec 31, 2023 - OKC vs. BKN",W,48,124,45,83,54.2,18,33,54.5,16,20,80.0,5,41,46,31,15,1,6,24,16
"Dec 29, 2023 - OKC @ DEN",W,48,119,46,91,50.5,12,35,34.3,15,16,93.8,10,41,51,29,12,10,8,20,26
"Dec 27, 2023 - OKC vs. NYK",W,48,129,49,90,54.4,14,32,43.8,17,22,77.3,3,24,27,20,4,6,10,21,9
"Dec 26, 2023 - OKC vs. MIN",W,48,129,49,81,60.5,18,39,46.2,13,16,81.3,3,26,29,35,15,9,7,24,23
"Dec 23, 2023 - OKC vs. LAL",L,48,120,46,95,48.4,13,41,31.7,15,19,78.9,11,31,42,24,9,6,7,17,-9
"Dec 21, 2023 - OKC vs. LAC",W,48,134,51,87,58.6,16,34,47.1,16,18,88.9,6,32,38,35,12,9,5,11,19
"Dec 18, 2023 - OKC vs. MEM",W,48,116,42,92,45.7,11,36,30.6,21,23,91.3,10,43,53,31,12,11,10,18,19
"Dec 16, 2023 - OKC @ DEN",W,48,118,43,84,51.2,7,21,33.3,25,30,83.3,9,31,40,22,11,4,9,19,1
"Dec 14, 2023 - OKC @ SAC",L,48,123,44,102,43.1,11,36,30.6,24,27,88.9,16,28,44,26,14,8,7,25,-5
"Dec 11, 2023 - OKC vs. UTA",W,48,134,50,96,52.1,18,38,47.4,16,17,94.1,7,32,39,35,12,9,7,17,14
"Dec 08, 2023 - OKC vs. GSW",W,53,138,51,98,52.0,5,29,17.2,31,36,86.1,11,28,39,15,11,17,7,22,2
"Dec 06, 2023 - OKC @ HOU",L,48,101,37,87,42.5,8,29,27.6,19,24,79.2,4,26,30,22,9,14,10,21,-9
"Dec 02, 2023 - OKC @ DAL",W,48,126,44,100,44.0,20,44,45.5,18,22,81.8,16,34,50,24,13,8,5,24,6
"Nov 30, 2023 - OKC vs. LAL",W,48,133,50,94,53.2,14,42,33.3,19,22,86.4,8,40,48,29,9,9,6,24,23
"Nov 28, 2023 - OKC @ MIN",L,48,103,37,90,41.1,11,30,36.7,18,23,78.3,9,27,36,22,10,8,4,23,-3
"Nov 25, 2023 - OKC vs. PHI",L,48,123,43,98,43.9,16,43,37.2,21,26,80.8,13,25,38,29,4,3,3,27,-4
"Nov 22, 2023 - OKC vs. CHI",W,48,116,37,75,49.3,11,29,37.9,31,38,81.6,11,34,45,24,14,4,12,17,14
"Nov 19, 2023 - OKC @ POR",W,48,134,49,81,60.5,22,36,61.1,14,14,100,10,33,43,28,18,8,3,18,43
"Nov 18, 2023 - OKC @ GSW",W,53,130,52,100,52.0,8,23,34.8,18,20,90.0,9,38,47,26,12,8,7,16,7
"Nov 16, 2023 - OKC @ GSW",W,48,128,44,87,50.6,19,32,59.4,21,23,91.3,7,35,42,31,13,10,3,20,19
"Nov 14, 2023 - OKC vs. SAS",W,48,123,46,89,51.7,15,39,38.5,16,20,80.0,4,36,40,34,16,19,6,17,36
"Nov 12, 2023 - OKC @ PHX",W,48,111,40,82,48.8,10,27,37.0,21,25,84.0,6,27,33,23,9,9,8,21,12
"Nov 10, 2023 - OKC @ SAC",L,48,98,39,87,44.8,7,30,23.3,13,16,81.3,5,33,38,22,16,9,5,15,-7
"Nov 08, 2023 - OKC vs. CLE",W,48,128,44,86,51.2,12,28,42.9,28,30,93.3,12,29,41,23,14,10,8,27,8
"Nov 06, 2023 - OKC vs. ATL",W,48,126,45,94,47.9,14,35,40.0,22,23,95.7,11,38,49,27,13,7,7,22,9
"Nov 03, 2023 - OKC vs. GSW",L,48,139,50,83,60.2,15,29,51.7,24,30,80.0,7,25,32,26,19,3,1,20,-2
"Nov 01, 2023 - OKC vs. NOP",L,48,106,38,88,43.2,7,34,20.6,23,25,92.0,6,43,49,23,15,6,5,24,-4
"Oct 30, 2023 - OKC vs. DET",W,48,124,44,83,53.0,13,29,44.8,23,28,82.1,6,38,44,21,15,9,10,19,12
"Oct 29, 2023 - OKC vs. DEN",L,48,95,37,90,41.1,6,32,18.8,15,18,83.3,7,22,29,22,10,8,4,14,-33
"Oct 27, 2023 - OKC @ CLE",W,48,108,40,87,46.0,13,26,50.0,15,19,78.9,6,41,47,22,18,8,10,17,3
"Oct 25, 2023 - OKC @ CHI",W,48,124,45,82,54.9,19,39,48.7,15,18,83.3,5,38,43,30,16,6,4,19,20
