DATE,HOME TEAM,AWAY TEAM,Winner (H/A),HOME PTS,HOME FGM,HOME FGA,HOME FG%,HOME 3PM,HOME 3PA,HOME 3P%,HOME FTM,HOME FTA,HOME FT%,HOME OREB,HOME DREB,HOME REB,HOME AST,HOME TOV,HOME STL,HOME BLK,HOME PF,HOME +/-,AWAY PTS,AWAY FGM,AWAY FGA,AWAY FG%,AWAY 3PM,AWAY 3PA,AWAY 3P%,AWAY FTM,AWAY FTA,AWAY FT%,AWAY OREB,AWAY DREB,AWAY REB,AWAY AST,AWAY TOV,AWAY STL,AWAY BLK,AWAY PF,AWAY +/-
"Apr 08, 2022",MIA,ATL,H,111.0,40.0,94.0,42.6,19.0,50.0,38.0,12.0,16.0,75.0,10.0,37.0,47.0,20.0,10.0,5.0,4.0,13.0,-14.0,130.0,45.0,87.0,51.7,21.0,38.0,55.3,19.0,24.0,79.2,13.0,37.0,50.0,29.0,13.0,4.0,4.0,19.0,16.0
"Apr 06, 2022",ATL,WAS,H,119.5,43.5,87.5,49.7,14.5,36.0,39.4,18.0,21.5,84.35,13.0,33.5,46.5,23.0,14.0,6.5,2.0,21.0,6.0,100.0,38.5,81.5,47.7,8.5,25.5,33.45,14.5,21.5,69.0,9.5,30.5,40.0,23.0,16.5,8.5,4.0,17.5,-19.0
"Apr 05, 2022",TOR,ATL,H,110.0,41.67,93.0,44.8,11.33,34.67,32.73,15.33,17.33,88.13,11.33,30.33,41.67,23.0,11.67,10.0,3.33,17.33,-1.33,119.0,43.33,89.0,48.7,15.0,37.0,39.93,17.33,20.67,84.3,11.0,33.0,44.0,24.0,11.33,8.0,1.67,18.33,9.0
"Apr 02, 2022",ATL,BKN,H,116.25,43.25,90.25,47.95,14.75,37.0,39.4,15.0,18.5,79.9,10.75,33.0,43.75,25.75,10.25,7.25,2.25,19.25,4.25,120.0,43.75,88.0,50.08,12.25,33.0,37.12,20.25,22.75,88.4,11.5,37.5,49.0,27.5,15.75,5.75,7.25,21.25,11.0
"Mar 31, 2022",ATL,CLE,H,117.4,41.8,89.4,46.74,14.4,37.8,37.86,19.4,24.6,79.02,10.6,35.2,45.8,24.2,9.6,7.8,2.6,19.0,4.8,116.4,42.4,84.2,50.22,14.6,33.6,42.72,17.0,23.0,73.68,8.6,33.4,42.0,26.6,11.4,6.2,3.8,21.8,3.2
"Mar 30, 2022",OKC,ATL,A,101.0,38.67,88.0,44.13,11.33,34.0,32.55,12.33,19.0,64.85,11.5,33.67,45.17,22.83,14.33,6.67,5.0,17.83,-14.83,119.67,42.33,89.67,47.2,14.83,38.0,38.82,20.17,25.17,80.13,10.83,35.33,46.17,24.67,9.5,7.67,2.83,19.5,8.0
"Mar 28, 2022",IND,ATL,A,121.0,44.0,91.5,48.4,13.67,37.17,37.27,19.33,23.5,82.38,12.83,26.17,39.0,29.33,13.83,9.67,5.83,22.5,-7.67,122.0,43.29,89.86,48.14,15.29,38.14,39.87,20.14,24.71,81.67,10.14,35.57,45.71,25.14,10.0,8.0,3.0,19.43,9.43
"Mar 25, 2022",ATL,GSW,H,123.25,43.75,89.38,48.96,15.5,37.75,40.96,20.25,24.88,81.56,10.5,34.5,45.0,26.0,10.62,8.38,3.12,19.38,9.38,111.12,40.0,84.38,47.36,13.62,34.88,38.85,17.5,21.62,83.1,9.0,35.88,44.88,27.25,15.0,7.12,4.38,23.5,3.25
"Mar 23, 2022",DET,ATL,H,108.33,39.78,89.89,44.32,12.0,37.22,32.17,16.78,20.33,82.49,10.33,30.89,41.22,26.11,12.67,8.44,5.22,20.56,-5.67,123.0,44.0,89.33,49.27,15.33,37.67,40.61,19.67,24.22,81.27,10.67,34.22,44.89,26.11,10.78,8.67,3.22,19.22,9.56
"Mar 22, 2022",NYK,ATL,A,109.5,38.0,85.2,44.54,15.0,40.9,36.83,18.5,25.3,75.47,10.9,33.6,44.5,24.3,11.3,6.8,4.8,19.4,5.2,120.8,43.3,89.6,48.36,15.2,38.3,39.73,19.0,23.3,81.81,10.5,33.9,44.4,25.6,11.1,8.6,3.2,19.0,6.5
"Mar 20, 2022",ATL,NOP,A,120.45,43.0,88.82,48.45,15.18,38.09,39.91,19.27,23.64,81.78,10.45,33.82,44.27,25.64,11.36,8.45,3.36,18.91,6.45,113.64,41.18,88.09,46.9,9.73,28.91,33.73,21.55,26.55,80.61,13.45,29.09,42.55,24.45,12.64,9.91,3.55,17.09,1.0
"Mar 18, 2022",ATL,MEM,H,119.75,42.83,88.67,48.34,14.75,37.58,39.19,19.33,23.58,82.22,10.17,33.75,43.92,25.33,11.75,8.33,3.42,19.17,5.5,122.36,45.27,96.27,47.21,14.64,35.0,41.54,17.18,22.82,75.33,13.45,34.18,47.64,29.45,13.27,9.45,6.0,21.0,9.73
"Mar 16, 2022",CHA,ATL,H,117.92,44.75,88.67,50.57,14.42,36.92,39.43,14.0,18.42,76.51,10.08,32.33,42.42,31.83,13.42,7.75,5.0,19.17,2.58,119.77,43.0,88.85,48.43,14.62,36.85,39.75,19.15,23.38,82.12,9.92,33.69,43.62,25.54,11.62,8.62,3.62,19.23,6.23
"Mar 14, 2022",ATL,POR,H,118.79,42.79,89.14,48.04,14.5,36.86,39.41,18.71,22.71,82.89,10.07,33.5,43.57,25.71,11.71,8.43,3.5,19.5,5.07,101.67,38.4,87.93,43.73,11.07,34.47,31.16,13.8,18.8,73.33,11.6,27.47,39.07,24.47,16.13,9.87,4.27,23.4,-20.4
"Mar 13, 2022",ATL,IND,H,119.0,42.6,90.47,47.29,14.33,37.6,38.45,19.47,23.33,83.62,10.53,33.4,43.93,25.87,11.2,8.73,3.67,19.2,5.33,115.69,43.0,90.85,47.53,12.92,36.31,35.62,16.77,20.92,80.82,12.0,26.92,38.92,28.85,14.23,8.38,4.92,21.0,-9.62
"Mar 11, 2022",ATL,LAC,H,119.75,42.81,90.06,47.76,14.5,37.62,38.84,19.62,23.38,84.12,10.44,33.0,43.44,25.94,11.25,8.75,3.62,19.31,5.19,116.31,41.85,87.69,47.58,14.46,35.31,40.06,18.15,21.92,82.82,9.31,33.54,42.85,26.69,11.62,6.85,5.85,18.38,4.08
"Mar 09, 2022",MIL,ATL,H,119.4,43.8,90.6,48.47,13.27,36.07,36.81,18.53,23.8,77.48,9.47,36.2,45.67,25.13,12.93,7.73,3.73,17.73,0.0,119.29,42.82,90.06,47.76,14.18,37.24,38.26,19.47,23.12,84.44,10.71,32.94,43.65,26.06,11.18,8.53,3.59,19.29,5.24
"Mar 07, 2022",DET,ATL,H,109.76,39.76,87.41,45.54,12.06,35.53,33.95,18.18,22.47,81.02,9.65,32.29,41.94,25.65,13.41,7.88,4.76,22.12,-3.06,119.06,42.83,89.83,47.88,14.0,37.28,37.74,19.39,23.06,84.29,10.5,33.17,43.67,26.06,11.06,8.39,3.56,19.33,4.44
"Mar 04, 2022",WAS,ATL,A,111.45,41.5,85.55,48.43,10.85,30.05,35.83,17.6,22.35,77.84,8.25,33.35,41.6,26.9,12.2,6.45,4.8,17.6,-5.25,118.58,42.79,90.0,47.74,13.84,37.32,37.28,19.16,23.0,83.45,10.63,33.26,43.89,26.16,11.21,8.11,3.68,19.63,4.05
"Mar 03, 2022",ATL,CHI,H,118.5,42.55,90.05,47.45,13.8,37.25,37.22,19.6,23.55,83.4,10.75,32.9,43.65,25.75,10.85,8.0,3.75,19.45,4.0,108.53,40.37,86.26,46.88,9.05,26.42,34.15,18.74,23.11,80.42,8.58,31.37,39.95,22.53,12.37,7.32,2.89,19.05,-7.58
"Mar 01, 2022",BOS,ATL,H,120.94,44.22,87.39,50.65,15.61,39.06,39.64,16.89,20.78,81.93,10.0,34.94,44.94,28.28,12.5,7.44,5.0,18.22,14.06,119.05,42.62,89.76,47.68,14.0,37.38,37.59,19.81,23.76,83.5,10.62,32.52,43.14,25.76,10.62,7.95,3.71,19.24,4.1
"Feb 26, 2022",ATL,TOR,H,118.09,42.32,89.45,47.49,13.68,37.09,36.91,19.77,23.77,83.31,10.36,32.5,42.86,25.27,10.59,7.95,3.73,19.27,3.5,112.3,41.78,92.35,45.29,11.3,33.43,33.57,17.43,22.65,77.46,14.13,32.96,47.09,22.35,11.43,8.74,4.22,19.13,6.35
"Feb 24, 2022",CHI,ATL,H,108.86,40.86,86.55,47.3,9.18,26.23,35.08,17.95,22.32,79.86,8.14,31.41,39.55,22.64,12.5,7.36,2.91,19.18,-7.68,118.48,42.57,89.17,47.93,13.65,36.83,37.13,19.7,23.7,83.24,10.13,32.83,42.96,25.35,10.65,7.96,3.91,19.26,4.52
"Feb 16, 2022",ORL,ATL,A,106.73,39.18,90.05,43.56,12.86,38.73,33.02,15.5,19.73,78.96,9.18,37.5,46.68,25.14,14.0,6.5,3.82,19.73,-6.27,118.04,42.5,89.5,47.7,13.42,36.46,36.77,19.62,23.83,82.55,10.25,32.79,43.04,25.12,10.62,7.71,3.88,19.21,4.17
