Date,Home,Away,Winner (H/A),MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Aug 13, 2020",BOS,WAS,A,48,90,35,88,39.8,8,35,22.9,12,14,85.7,13,38,51,22,19,8,7,19,-6
"Aug 11, 2020",MEM,BOS,A,48,122,44,86,51.2,16,37,43.2,18,23,78.3,10,36,46,29,15,7,7,27,15
"Aug 09, 2020",BOS,ORL,H,53,122,45,102,44.1,12,40,30.0,20,24,83.3,13,41,54,32,13,9,7,19,3
"Aug 07, 2020",TOR,BOS,A,48,122,47,96,49.0,16,46,34.8,12,16,75.0,9,43,52,27,15,8,2,22,22
"Aug 05, 2020",BOS,BKN,H,48,149,50,88,56.8,20,39,51.3,29,35,82.9,6,37,43,29,14,10,10,23,34
"Aug 04, 2020",MIA,BOS,H,48,106,37,85,43.5,10,33,30.3,22,27,81.5,14,31,45,15,16,7,4,26,-6
"Aug 02, 2020",BOS,POR,H,48,128,42,77,54.5,18,30,60.0,26,34,76.5,6,30,36,24,14,9,6,21,4
"Jul 31, 2020",MIL,BOS,H,48,112,37,91,40.7,11,37,29.7,27,34,79.4,14,34,48,18,16,8,5,28,-7
"Mar 10, 2020",IND,BOS,A,48,114,41,93,44.1,13,37,35.1,19,22,86.4,11,35,46,19,10,9,4,15,3
"Mar 08, 2020",BOS,OKC,A,48,104,38,92,41.3,13,37,35.1,15,19,78.9,11,35,46,22,13,9,5,25,-1
"Mar 06, 2020",BOS,UTA,A,48,94,35,94,37.2,10,36,27.8,14,18,77.8,13,32,45,19,13,6,6,13,-5
"Mar 04, 2020",CLE,BOS,A,48,112,40,86,46.5,11,30,36.7,21,26,80.8,13,36,49,16,11,10,7,20,6
"Mar 03, 2020",BOS,BKN,A,53,120,44,103,42.7,15,49,30.6,17,23,73.9,13,29,42,24,15,10,6,30,-9
"Feb 29, 2020",BOS,HOU,A,53,110,39,100,39.0,13,42,31.0,19,25,76.0,14,40,54,22,14,11,6,18,-1
"Feb 26, 2020",UTA,BOS,A,48,114,45,84,53.6,11,26,42.3,13,16,81.3,9,35,44,21,9,7,4,17,11
"Feb 25, 2020",POR,BOS,A,48,118,43,90,47.8,19,39,48.7,13,14,92.9,8,37,45,19,14,6,3,19,12
"Feb 23, 2020",LAL,BOS,H,48,112,38,83,45.8,13,34,38.2,23,30,76.7,8,36,44,20,17,7,3,29,-2
"Feb 21, 2020",MIN,BOS,A,48,127,44,95,46.3,10,29,34.5,29,37,78.4,16,42,58,21,11,5,6,26,10
"Feb 13, 2020",BOS,LAC,H,58,141,45,103,43.7,18,43,41.9,33,40,82.5,7,44,51,22,15,9,6,28,8
"Feb 11, 2020",HOU,BOS,H,48,105,37,85,43.5,11,32,34.4,20,25,80.0,10,38,48,24,18,11,4,26,-11
