MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Mar 11, 2020 - CHA @ MIA",W,48,109,37,82,45.1,17,34,50.0,18,22,81.8,15,35,50,20,14,7,4,9,11
"Mar 09, 2020 - CHA @ ATL",L,58,138,49,104,47.1,19,48,39.6,21,23,91.3,8,27,35,31,5,9,6,22,-5
"Mar 07, 2020 - CHA vs. HOU",W,48,108,37,70,52.9,15,32,46.9,19,25,76.0,6,24,30,29,17,7,1,15,9
"Mar 05, 2020 - CHA vs. DEN",L,48,112,38,77,49.4,13,33,39.4,23,28,82.1,9,25,34,24,14,7,2,23,-2
"Mar 03, 2020 - CHA vs. SAS",L,48,103,39,82,47.6,12,29,41.4,13,18,72.2,14,32,46,25,17,4,2,16,-1
"Mar 01, 2020 - CHA vs. MIL",L,48,85,34,96,35.4,8,35,22.9,9,10,90.0,12,35,47,22,10,7,8,18,-8
"Feb 28, 2020 - CHA @ TOR",W,48,99,34,78,43.6,13,30,43.3,18,25,72.0,11,47,58,23,18,3,8,22,3
"Feb 26, 2020 - CHA vs. NYK",W,48,107,39,83,47.0,10,30,33.3,19,25,76.0,10,27,37,25,14,7,4,19,6
"Feb 25, 2020 - CHA @ IND",L,48,80,31,93,33.3,10,33,30.3,8,18,44.4,13,26,39,22,11,10,1,13,-39
"Feb 22, 2020 - CHA vs. BKN",L,48,86,31,88,35.2,12,35,34.3,12,21,57.1,9,36,45,22,13,5,2,16,-29
"Feb 20, 2020 - CHA @ CHI",W,48,103,35,74,47.3,8,28,28.6,25,29,86.2,9,35,44,22,18,9,4,16,10
"Feb 12, 2020 - CHA @ MIN",W,48,115,43,92,46.7,14,34,41.2,15,23,65.2,12,40,52,22,14,7,4,16,7
"Feb 10, 2020 - CHA @ DET",W,48,87,33,88,37.5,9,36,25.0,12,14,85.7,13,32,45,19,12,10,3,15,11
"Feb 08, 2020 - CHA vs. DAL",L,48,100,38,87,43.7,11,36,30.6,13,18,72.2,12,27,39,15,11,5,4,13,-16
"Feb 04, 2020 - CHA @ HOU",L,48,110,39,83,47.0,13,33,39.4,19,24,79.2,12,41,53,22,17,2,2,18,-15
"Feb 03, 2020 - CHA vs. ORL",L,48,100,41,89,46.1,9,31,29.0,9,14,64.3,15,31,46,24,12,8,2,16,-12
"Feb 01, 2020 - CHA @ SAS",L,48,90,35,83,42.2,10,36,27.8,10,12,83.3,6,31,37,29,17,5,7,18,-24
"Jan 30, 2020 - CHA @ WAS",L,48,107,43,99,43.4,9,30,30.0,12,19,63.2,16,22,38,32,9,9,4,24,-14
"Jan 28, 2020 - CHA vs. NYK",W,48,97,34,88,38.6,8,32,25.0,21,27,77.8,16,35,51,22,14,5,4,14,5
"Jan 24, 2020 - CHA vs. MIL",L,48,103,32,86,37.2,14,39,35.9,25,30,83.3,8,31,39,24,13,6,3,22,-13
"Jan 20, 2020 - CHA vs. ORL",L,48,83,29,76,38.2,10,33,30.3,15,20,75.0,9,30,39,21,18,4,5,18,-23
"Jan 15, 2020 - CHA @ DEN",L,48,86,33,81,40.7,12,35,34.3,8,14,57.1,9,33,42,28,15,4,6,24,-14
"Jan 13, 2020 - CHA @ POR",L,48,112,40,90,44.4,18,38,47.4,14,18,77.8,10,32,42,24,8,7,3,20,-3
"Jan 12, 2020 - CHA @ PHX",L,48,92,36,86,41.9,8,35,22.9,12,18,66.7,8,29,37,25,16,10,3,19,-8
"Jan 10, 2020 - CHA @ UTA",L,48,92,35,75,46.7,8,26,30.8,14,19,73.7,7,30,37,20,21,6,3,16,-17
"Jan 08, 2020 - CHA vs. TOR",L,53,110,38,86,44.2,15,37,40.5,19,26,73.1,13,37,50,30,20,6,6,21,-2
"Jan 06, 2020 - CHA vs. IND",L,48,104,37,81,45.7,10,30,33.3,20,22,90.9,8,30,38,21,12,3,3,14,-11
"Jan 04, 2020 - CHA @ DAL",W,53,123,42,85,49.4,11,25,44.0,28,31,90.3,16,37,53,27,18,5,5,22,3
"Jan 02, 2020 - CHA @ CLE",W,48,109,37,83,44.6,15,38,39.5,20,24,83.3,10,29,39,25,11,5,0,15,3
"Dec 31, 2019 - CHA vs. BOS",L,48,92,34,86,39.5,12,34,35.3,12,16,75.0,8,33,41,25,17,7,4,16,-17
"Dec 29, 2019 - CHA @ MEM",L,48,104,37,86,43.0,9,31,29.0,21,32,65.6,11,31,42,23,14,8,4,19,-13
"Dec 27, 2019 - CHA vs. OKC",L,53,102,42,101,41.6,7,39,17.9,11,18,61.1,17,37,54,26,15,8,4,27,-2
"Dec 22, 2019 - CHA @ BOS",L,48,93,33,82,40.2,10,34,29.4,17,23,73.9,2,25,27,26,6,3,5,17,-26
"Dec 21, 2019 - CHA vs. UTA",L,48,107,39,85,45.9,12,29,41.4,17,22,77.3,11,25,36,20,14,13,4,25,-7
"Dec 18, 2019 - CHA @ CLE",L,48,98,37,91,40.7,13,37,35.1,11,18,61.1,15,20,35,25,9,12,3,20,-2
