Date,Home,Away,Winner (H/A),MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Aug 13, 2020",PHX,DAL,H,48,102,39,89,43.8,8,26,30.8,16,19,84.2,11,32,43,17,11,3,4,18,-26
"Aug 11, 2020",DAL,POR,A,48,131,42,81,51.9,20,44,45.5,27,33,81.8,5,32,37,28,17,4,5,23,-3
"Aug 10, 2020",UTA,DAL,A,48,122,48,85,56.5,12,24,50.0,14,16,87.5,4,30,34,29,8,6,3,23,8
"Aug 08, 2020",DAL,MIL,H,53,136,48,115,41.7,17,53,32.1,23,25,92.0,11,43,54,37,7,6,2,26,4
"Aug 06, 2020",DAL,LAC,A,48,111,39,87,44.8,17,48,35.4,16,21,76.2,8,29,37,24,8,3,4,17,-15
"Aug 04, 2020",SAC,DAL,A,53,114,33,90,36.7,9,41,22.0,39,50,78.0,17,44,61,22,17,4,2,21,4
"Aug 02, 2020",PHX,DAL,H,48,115,38,93,40.9,6,31,19.4,33,37,89.2,10,39,49,22,8,8,5,22,-2
"Jul 31, 2020",DAL,HOU,A,53,149,50,105,47.6,21,49,42.9,28,38,73.7,13,42,55,30,20,7,4,36,-4
"Mar 11, 2020",DAL,DEN,H,48,113,42,92,45.7,12,35,34.3,17,23,73.9,13,39,52,23,11,9,2,14,16
"Mar 10, 2020",SAS,DAL,H,48,109,42,92,45.7,17,44,38.6,8,11,72.7,7,35,42,23,14,8,3,19,-10
"Mar 08, 2020",DAL,IND,A,48,109,39,91,42.9,14,43,32.6,17,25,68.0,9,33,42,19,11,7,5,17,-3
"Mar 06, 2020",DAL,MEM,H,48,121,45,95,47.4,18,47,38.3,13,17,76.5,13,35,48,30,11,11,9,11,25
"Mar 04, 2020",DAL,NOP,H,53,127,44,95,46.3,22,50,44.0,17,24,70.8,6,43,49,30,17,6,13,17,4
"Mar 02, 2020",CHI,DAL,H,48,107,40,84,47.6,12,42,28.6,15,20,75.0,9,35,44,26,18,9,5,20,-2
"Mar 01, 2020",MIN,DAL,A,48,111,44,94,46.8,11,40,27.5,12,19,63.2,6,50,56,28,14,10,7,16,20
"Feb 28, 2020",MIA,DAL,H,48,118,40,84,47.6,21,50,42.0,17,19,89.5,4,31,35,25,11,0,3,25,-8
"Feb 26, 2020",SAS,DAL,A,48,109,36,86,41.9,17,45,37.8,20,30,66.7,5,38,43,25,16,11,9,20,6
"Feb 24, 2020",DAL,MIN,H,48,139,51,101,50.5,16,44,36.4,21,28,75.0,14,40,54,28,13,7,3,28,16
"Feb 22, 2020",ATL,DAL,H,48,107,40,89,44.9,14,44,31.8,13,19,68.4,10,38,48,23,16,5,10,22,-4
"Feb 21, 2020",ORL,DAL,A,48,122,43,84,51.2,15,38,39.5,21,26,80.8,8,42,50,26,16,6,7,14,16
"Feb 12, 2020",DAL,SAC,H,48,130,48,85,56.5,17,40,42.5,17,21,81.0,3,44,47,34,12,1,7,18,19
"Feb 10, 2020",DAL,UTA,A,48,119,39,83,47.0,15,43,34.9,26,31,83.9,4,22,26,24,7,8,3,18,-4
"Feb 08, 2020",CHA,DAL,A,48,116,44,87,50.6,17,35,48.6,11,11,100,11,35,46,29,12,5,6,18,16
"Feb 07, 2020",WAS,DAL,H,48,118,42,91,46.2,16,40,40.0,18,21,85.7,15,34,49,27,14,7,2,21,-1
"Feb 05, 2020",DAL,MEM,A,48,107,34,94,36.2,17,43,39.5,22,24,91.7,12,30,42,19,9,5,6,18,-14
"Feb 03, 2020",IND,DAL,A,48,112,36,86,41.9,18,45,40.0,22,23,95.7,12,39,51,20,12,3,2,15,9
"Feb 01, 2020",DAL,ATL,H,48,123,44,94,46.8,20,39,51.3,15,16,93.8,10,43,53,26,9,6,8,14,23
"Jan 31, 2020",HOU,DAL,H,48,121,43,90,47.8,14,36,38.9,21,27,77.8,14,38,52,29,17,2,9,18,-7
"Jan 28, 2020",DAL,PHX,A,48,104,37,83,44.6,7,33,21.2,23,27,85.2,8,25,33,19,17,6,0,18,-29
"Jan 27, 2020",OKC,DAL,A,48,107,41,99,41.4,19,51,37.3,6,9,66.7,12,44,56,21,9,3,3,16,10
"Jan 25, 2020",UTA,DAL,H,48,107,42,97,43.3,16,41,39.0,7,13,53.8,10,34,44,19,9,6,3,24,-5
"Jan 23, 2020",POR,DAL,A,48,133,48,93,51.6,22,47,46.8,15,24,62.5,12,29,41,27,9,5,7,17,8
"Jan 21, 2020",DAL,LAC,A,48,107,39,91,42.9,12,43,27.9,17,24,70.8,12,37,49,23,13,7,8,28,-3
"Jan 17, 2020",DAL,POR,H,48,120,39,89,43.8,20,47,42.6,22,28,78.6,13,30,43,19,13,6,4,17,8
"Jan 15, 2020",SAC,DAL,A,48,127,47,92,51.1,13,40,32.5,20,24,83.3,13,34,47,24,11,4,2,18,4
"Jan 14, 2020",GSW,DAL,A,48,124,49,96,51.0,13,37,35.1,13,21,61.9,15,38,53,23,8,5,2,17,27
"Jan 11, 2020",DAL,PHI,H,48,109,40,79,50.6,11,27,40.7,18,27,66.7,11,43,54,22,16,4,8,20,18
"Jan 10, 2020",DAL,LAL,A,48,114,39,96,40.6,11,38,28.9,25,37,67.6,17,30,47,19,9,4,3,20,-15
"Jan 08, 2020",DAL,DEN,A,48,106,39,77,50.6,12,35,34.3,16,24,66.7,6,32,38,27,13,8,6,18,-1
"Jan 06, 2020",DAL,CHI,H,48,118,44,84,52.4,16,41,39.0,14,19,73.7,11,32,43,25,15,5,6,12,8
"Jan 04, 2020",DAL,CHA,A,53,120,47,100,47.0,15,50,30.0,11,13,84.6,14,27,41,28,10,7,4,25,-3
"Jan 02, 2020",DAL,BKN,H,48,123,45,89,50.6,18,38,47.4,15,17,88.2,12,34,46,22,14,4,8,21,12
"Dec 31, 2019",OKC,DAL,H,48,101,33,93,35.5,15,51,29.4,20,27,74.1,17,32,49,19,11,5,4,24,-5
