Date,Home,Away,Winner (H/A),MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Aug 14, 2020",IND,MIA,H,48,92,31,87,35.6,10,38,26.3,20,27,74.1,14,34,48,14,19,6,5,15,-17
"Aug 12, 2020",OKC,MIA,H,48,115,42,86,48.8,14,42,33.3,17,20,85.0,6,34,40,24,12,14,2,23,-1
"Aug 10, 2020",MIA,IND,H,48,114,44,98,44.9,13,40,32.5,13,19,68.4,13,46,59,29,14,11,9,20,22
"Aug 08, 2020",MIA,PHX,A,48,112,41,84,48.8,11,36,30.6,19,22,86.4,3,34,37,28,12,6,9,21,-7
"Aug 06, 2020",MIL,MIA,H,48,116,35,83,42.2,21,46,45.7,25,27,92.6,6,33,39,28,19,6,1,28,-14
"Aug 04, 2020",MIA,BOS,H,48,112,34,77,44.2,15,43,34.9,29,39,74.4,12,30,42,22,13,8,5,19,6
"Aug 03, 2020",MIA,TOR,A,48,103,37,87,42.5,14,45,31.1,15,16,93.8,8,33,41,29,15,9,8,24,-4
"Aug 01, 2020",DEN,MIA,A,48,125,40,72,55.6,13,29,44.8,32,37,86.5,6,32,38,29,16,7,2,28,20
"Mar 11, 2020",MIA,CHA,A,48,98,39,84,46.4,15,44,34.1,5,6,83.3,9,27,36,32,14,8,5,17,-11
"Mar 08, 2020",WAS,MIA,A,48,100,32,66,48.5,13,28,46.4,23,28,82.1,5,41,46,21,23,7,8,25,11
"Mar 06, 2020",NOP,MIA,H,48,104,37,86,43.0,9,33,27.3,21,31,67.7,10,35,45,27,16,11,9,23,-6
"Mar 04, 2020",MIA,ORL,H,48,116,41,79,51.9,22,44,50.0,12,15,80.0,6,30,36,31,14,8,5,17,3
"Mar 02, 2020",MIA,MIL,H,48,105,37,86,43.0,18,37,48.6,13,18,72.2,6,40,46,28,10,4,4,19,16
"Feb 29, 2020",MIA,BKN,H,48,116,41,91,45.1,14,38,36.8,20,24,83.3,10,35,45,27,7,4,4,21,3
"Feb 28, 2020",MIA,DAL,H,48,126,41,79,51.9,17,35,48.6,27,36,75.0,6,34,40,30,11,6,2,21,8
"Feb 26, 2020",MIA,MIN,A,48,126,41,78,52.6,11,26,42.3,33,43,76.7,8,35,43,30,22,9,8,21,-3
"Feb 24, 2020",CLE,MIA,H,53,119,44,96,45.8,16,42,38.1,15,20,75.0,9,40,49,33,15,6,11,22,-6
"Feb 22, 2020",MIA,CLE,H,48,124,45,79,57.0,19,40,47.5,15,20,75.0,4,25,29,34,16,16,4,20,19
"Feb 20, 2020",ATL,MIA,H,48,124,40,98,40.8,11,37,29.7,33,38,86.8,15,36,51,28,15,9,7,31,-5
"Feb 12, 2020",UTA,MIA,H,48,101,38,88,43.2,13,39,33.3,12,16,75.0,6,31,37,19,11,11,4,22,-15
"Feb 10, 2020",GSW,MIA,A,48,113,43,87,49.4,12,33,36.4,15,21,71.4,7,38,45,36,12,10,3,19,12
"Feb 09, 2020",POR,MIA,H,48,109,39,98,39.8,20,49,40.8,11,14,78.6,13,36,49,31,13,6,5,22,-6
"Feb 07, 2020",SAC,MIA,H,48,97,34,77,44.2,12,40,30.0,17,25,68.0,7,35,42,21,20,7,5,16,-8
"Feb 05, 2020",LAC,MIA,H,48,111,40,93,43.0,16,42,38.1,15,21,71.4,10,36,46,29,9,7,2,16,-17
"Feb 03, 2020",MIA,PHI,H,48,137,48,85,56.5,16,32,50.0,25,30,83.3,6,29,35,27,3,8,1,18,31
"Feb 01, 2020",ORL,MIA,A,48,102,33,77,42.9,15,33,45.5,21,26,80.8,10,38,48,24,13,6,8,16,13
"Jan 28, 2020",MIA,BOS,A,48,101,33,89,37.1,9,37,24.3,26,31,83.9,11,34,45,15,11,11,2,21,-8
"Jan 27, 2020",MIA,ORL,H,48,113,42,79,53.2,14,28,50.0,15,16,93.8,3,38,41,31,12,2,9,18,21
"Jan 24, 2020",MIA,LAC,A,48,117,40,93,43.0,13,44,29.5,24,29,82.8,9,36,45,25,9,4,4,19,-5
"Jan 22, 2020",MIA,WAS,H,53,134,43,85,50.6,17,33,51.5,31,36,86.1,6,37,43,29,16,3,6,18,5
"Jan 20, 2020",MIA,SAC,H,53,118,42,83,50.6,16,42,38.1,18,22,81.8,5,37,42,26,21,9,3,20,5
"Jan 19, 2020",SAS,MIA,H,48,102,37,86,43.0,10,34,29.4,18,20,90.0,10,37,47,23,10,8,3,19,-5
"Jan 17, 2020",OKC,MIA,A,48,115,41,84,48.8,14,36,38.9,19,24,79.2,6,39,45,26,11,4,3,23,7
"Jan 15, 2020",MIA,SAS,H,48,106,41,88,46.6,17,40,42.5,7,13,53.8,8,41,49,26,10,4,5,14,6
"Jan 12, 2020",NYK,MIA,H,48,121,42,78,53.8,14,35,40.0,23,28,82.1,8,31,39,24,15,1,5,24,-3
"Jan 10, 2020",BKN,MIA,H,48,113,44,85,51.8,7,29,24.1,18,21,85.7,4,36,40,26,8,6,3,20,-4
"Jan 08, 2020",IND,MIA,A,48,122,43,81,53.1,16,38,42.1,20,25,80.0,3,38,41,28,11,8,4,22,14
"Jan 05, 2020",MIA,POR,H,48,122,47,90,52.2,18,44,40.9,10,16,62.5,11,36,47,34,11,4,5,17,11
"Jan 03, 2020",ORL,MIA,H,48,85,30,80,37.5,7,37,18.9,18,23,78.3,10,39,49,16,18,7,2,20,-20
