Date,Home,Away,Winner (H/A),MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Aug 13, 2020",PHX,DAL,H,48,128,49,89,55.1,14,34,41.2,16,21,76.2,7,38,45,34,6,6,4,14,26
"Aug 11, 2020",PHI,PHX,A,48,130,49,89,55.1,12,28,42.9,20,21,95.2,11,33,44,28,7,4,3,18,13
"Aug 10, 2020",PHX,OKC,H,48,128,42,89,47.2,17,34,50.0,27,29,93.1,12,41,53,29,20,11,7,23,27
"Aug 08, 2020",MIA,PHX,A,48,119,44,92,47.8,12,32,37.5,19,20,95.0,12,40,52,27,11,5,4,21,7
"Aug 06, 2020",PHX,IND,H,48,114,43,92,46.7,9,34,26.5,19,20,95.0,12,41,53,27,16,6,4,20,15
"Aug 04, 2020",LAC,PHX,A,48,117,45,96,46.9,17,32,53.1,10,14,71.4,11,33,44,25,8,5,0,21,2
"Aug 02, 2020",PHX,DAL,H,48,117,42,93,45.2,12,33,36.4,21,23,91.3,6,43,49,22,11,5,4,29,2
"Jul 31, 2020",WAS,PHX,A,48,125,42,80,52.5,11,32,34.4,30,32,93.8,4,33,37,29,18,10,3,24,13
"Mar 10, 2020",POR,PHX,H,48,105,35,87,40.2,11,32,34.4,24,25,96.0,9,34,43,26,14,3,5,16,-16
"Mar 08, 2020",PHX,MIL,H,48,140,47,85,55.3,19,43,44.2,27,31,87.1,8,39,47,30,15,6,4,23,9
"Mar 06, 2020",PHX,POR,H,48,127,45,91,49.5,19,42,45.2,18,19,94.7,15,32,47,29,13,9,4,22,10
"Mar 03, 2020",PHX,TOR,A,48,114,39,85,45.9,15,39,38.5,21,25,84.0,6,29,35,30,18,6,6,22,-9
"Feb 29, 2020",PHX,GSW,A,48,99,34,83,41.0,12,29,41.4,19,23,82.6,8,32,40,24,20,3,5,25,-16
"Feb 28, 2020",PHX,DET,A,48,111,45,75,60.0,9,23,39.1,12,17,70.6,5,33,38,31,18,9,5,14,-2
"Feb 26, 2020",PHX,LAC,A,48,92,34,87,39.1,9,34,26.5,15,18,83.3,14,34,48,29,16,8,3,17,-10
"Feb 24, 2020",UTA,PHX,A,48,131,49,87,56.3,12,20,60.0,21,24,87.5,11,27,38,33,15,10,1,31,20
"Feb 22, 2020",CHI,PHX,A,48,112,38,86,44.2,10,30,33.3,26,31,83.9,17,30,47,26,21,10,4,23,8
"Feb 21, 2020",TOR,PHX,H,48,101,38,92,41.3,6,34,17.6,19,23,82.6,10,24,34,29,17,12,3,23,-17
"Feb 12, 2020",PHX,GSW,H,48,112,42,91,46.2,14,37,37.8,14,15,93.3,8,32,40,25,14,14,4,21,6
"Feb 10, 2020",LAL,PHX,H,48,100,32,76,42.1,11,31,35.5,25,31,80.6,3,26,29,26,13,7,2,19,-25
"Feb 08, 2020",PHX,DEN,A,48,108,38,87,43.7,9,32,28.1,23,23,100,11,30,41,25,14,7,4,18,-9
"Feb 07, 2020",PHX,HOU,H,48,127,43,77,55.8,15,31,48.4,26,27,96.3,10,41,51,29,23,10,9,15,36
"Feb 05, 2020",DET,PHX,H,48,108,42,77,54.5,12,26,46.2,12,15,80.0,7,30,37,29,16,4,5,21,-8
"Feb 03, 2020",BKN,PHX,H,48,97,39,90,43.3,6,17,35.3,13,18,72.2,14,29,43,23,16,7,6,21,-22
"Feb 02, 2020",MIL,PHX,H,48,108,41,104,39.4,6,23,26.1,20,23,87.0,15,34,49,20,10,8,3,24,-21
"Jan 31, 2020",PHX,OKC,A,48,107,36,76,47.4,9,24,37.5,26,29,89.7,11,29,40,20,20,6,6,25,-4
"Jan 28, 2020",DAL,PHX,A,48,133,51,86,59.3,12,28,42.9,19,21,90.5,8,31,39,34,13,10,4,25,29
"Jan 26, 2020",MEM,PHX,H,48,109,35,92,38.0,11,29,37.9,28,35,80.0,12,30,42,23,18,14,7,27,-5
"Jan 24, 2020",SAS,PHX,A,48,103,39,84,46.4,8,29,27.6,17,21,81.0,10,32,42,25,14,6,4,27,4
"Jan 22, 2020",PHX,IND,A,48,87,30,84,35.7,4,20,20.0,23,26,88.5,9,35,44,13,13,7,3,20,-25
