MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Aug 13, 2020 - POR @ BKN",W,48,134,50,104,48.1,13,39,33.3,21,24,87.5,14,28,42,25,9,10,4,21,1
"Aug 11, 2020 - POR @ DAL",W,48,134,46,98,46.9,15,38,39.5,27,29,93.1,12,36,48,18,8,9,3,31,3
"Aug 09, 2020 - POR vs. PHI",W,48,124,43,91,47.3,11,35,31.4,27,29,93.1,7,34,41,19,10,8,6,16,3
"Aug 08, 2020 - POR vs. LAC",L,48,117,44,90,48.9,17,43,39.5,12,17,70.6,9,32,41,24,11,5,2,26,-5
"Aug 06, 2020 - POR @ DEN",W,48,125,43,92,46.7,23,39,59.0,16,20,80.0,13,26,39,30,9,7,6,18,10
"Aug 04, 2020 - POR vs. HOU",W,48,110,39,95,41.1,12,31,38.7,20,29,69.0,15,49,64,18,12,7,5,21,8
"Aug 02, 2020 - POR @ BOS",L,48,124,45,90,50.0,19,42,45.2,15,16,93.8,9,26,35,31,12,8,5,25,-4
"Jul 31, 2020 - POR vs. MEM",W,53,140,49,91,53.8,13,30,43.3,29,34,85.3,9,33,42,27,17,10,9,36,5
"Mar 10, 2020 - POR vs. PHX",W,48,121,45,89,50.6,17,35,48.6,14,17,82.4,9,37,46,20,11,9,9,17,16
"Mar 07, 2020 - POR vs. SAC",L,48,111,42,89,47.2,10,39,25.6,17,26,65.4,10,31,41,22,11,9,3,16,-12
"Mar 06, 2020 - POR @ PHX",L,48,117,43,87,49.4,13,32,40.6,18,24,75.0,9,30,39,26,16,6,6,19,-10
"Mar 04, 2020 - POR vs. WAS",W,48,125,42,81,51.9,13,31,41.9,28,32,87.5,7,40,47,24,16,7,11,24,21
"Mar 02, 2020 - POR @ ORL",W,48,130,49,88,55.7,16,33,48.5,16,16,100,6,43,49,27,12,6,4,24,23
"Feb 29, 2020 - POR @ ATL",L,48,117,47,94,50.0,8,28,28.6,15,21,71.4,13,29,42,14,17,9,4,26,-12
"Feb 27, 2020 - POR @ IND",L,48,100,41,89,46.1,9,30,30.0,9,14,64.3,10,35,45,14,14,5,5,21,-6
"Feb 25, 2020 - POR vs. BOS",L,48,106,38,85,44.7,13,31,41.9,17,23,73.9,8,33,41,24,17,8,4,15,-12
"Feb 23, 2020 - POR vs. DET",W,48,107,41,84,48.8,13,30,43.3,12,19,63.2,9,32,41,20,10,6,5,18,3
"Feb 21, 2020 - POR vs. NOP",L,48,115,43,94,45.7,10,27,37.0,19,25,76.0,13,33,46,20,14,7,9,22,-13
"Feb 12, 2020 - POR @ MEM",L,48,104,36,97,37.1,13,37,35.1,19,24,79.2,16,35,51,21,11,7,3,16,-7
"Feb 11, 2020 - POR @ NOP",L,48,117,44,93,47.3,7,29,24.1,22,28,78.6,12,28,40,21,15,5,3,26,-21
"Feb 09, 2020 - POR vs. MIA",W,48,115,40,85,47.1,19,42,45.2,16,22,72.7,5,38,43,20,14,9,6,22,6
"Feb 07, 2020 - POR @ UTA",L,48,114,44,97,45.4,17,40,42.5,9,14,64.3,10,33,43,14,9,9,4,18,-3
"Feb 06, 2020 - POR vs. SAS",W,48,125,49,92,53.3,18,37,48.6,9,12,75.0,9,41,50,28,12,2,6,19,8
"Feb 04, 2020 - POR @ DEN",L,48,99,36,91,39.6,9,31,29.0,18,22,81.8,9,27,36,16,9,5,6,22,-28
"Feb 01, 2020 - POR vs. UTA",W,48,124,47,92,51.1,15,29,51.7,15,18,83.3,14,37,51,20,12,4,5,19,17
"Jan 31, 2020 - POR @ LAL",W,48,127,49,97,50.5,13,36,36.1,16,21,76.2,6,34,40,25,7,10,8,22,8
"Jan 29, 2020 - POR vs. HOU",W,48,125,46,89,51.7,13,36,36.1,20,27,74.1,10,40,50,24,19,8,8,20,13
"Jan 26, 2020 - POR vs. IND",W,48,139,49,90,54.4,20,35,57.1,21,25,84.0,12,31,43,27,17,1,7,21,10
"Jan 23, 2020 - POR vs. DAL",L,48,125,46,91,50.5,21,39,53.8,12,15,80.0,11,32,43,20,15,4,4,20,-8
"Jan 20, 2020 - POR vs. GSW",W,53,129,44,100,44.0,14,44,31.8,27,30,90.0,12,42,54,21,12,4,11,19,5
"Jan 18, 2020 - POR @ OKC",L,48,106,39,91,42.9,12,32,37.5,16,21,76.2,12,28,40,11,12,7,7,28,-13
"Jan 17, 2020 - POR @ DAL",L,48,112,44,85,51.8,9,30,30.0,15,22,68.2,8,32,40,25,12,6,5,22,-8
"Jan 15, 2020 - POR @ HOU",W,48,117,41,95,43.2,11,36,30.6,24,29,82.8,12,46,58,22,8,6,4,19,10
"Jan 13, 2020 - POR vs. CHA",W,48,115,42,83,50.6,16,37,43.2,15,19,78.9,9,38,47,26,13,4,5,21,3
"Jan 11, 2020 - POR vs. MIL",L,48,101,37,95,38.9,10,36,27.8,17,21,81.0,8,40,48,17,13,6,4,20,-21
"Jan 09, 2020 - POR @ MIN",L,48,102,35,96,36.5,11,37,29.7,21,31,67.7,14,27,41,14,12,9,6,21,-14
"Jan 07, 2020 - POR @ TOR",W,48,101,38,88,43.2,13,35,37.1,12,14,85.7,7,38,45,23,11,6,11,15,2
"Jan 05, 2020 - POR @ MIA",L,48,111,40,87,46.0,13,37,35.1,18,20,90.0,8,32,40,21,10,5,4,15,-11
"Jan 03, 2020 - POR @ WAS",W,48,122,45,88,51.1,6,25,24.0,26,33,78.8,11,30,41,16,7,6,7,21,19
"Jan 01, 2020 - POR @ NYK",L,48,93,37,94,39.4,10,32,31.3,9,15,60.0,10,37,47,17,9,4,5,11,-24
"Dec 30, 2019 - POR vs. PHX",L,48,116,44,96,45.8,14,34,41.2,14,18,77.8,10,32,42,24,9,5,4,19,-6
"Dec 28, 2019 - POR vs. LAL",L,48,120,41,86,47.7,15,35,42.9,23,27,85.2,9,30,39,18,16,4,8,22,-8
"Dec 26, 2019 - POR @ UTA",L,48,115,43,89,48.3,15,34,44.1,14,19,73.7,11,32,43,14,12,4,1,21,-6
"Dec 23, 2019 - POR vs. NOP",L,48,94,37,91,40.7,4,29,13.8,16,18,88.9,8,40,48,17,11,6,6,17,-8
"Dec 21, 2019 - POR vs. MIN",W,48,113,40,94,42.6,13,35,37.1,20,25,80.0,12,33,45,19,15,9,13,21,7
"Dec 20, 2019 - POR vs. ORL",W,48,118,42,84,50.0,17,36,47.2,17,19,89.5,11,43,54,16,21,4,11,24,15
"Dec 18, 2019 - POR vs. GSW",W,48,122,44,97,45.4,9,31,29.0,25,28,89.3,14,43,57,19,11,6,8,22,10
"Dec 16, 2019 - POR @ PHX",W,48,111,40,84,47.6,14,34,41.2,17,20,85.0,9,32,41,21,20,9,9,27,1
"Dec 12, 2019 - POR @ DEN",L,48,99,41,86,47.7,9,30,30.0,8,11,72.7,7,28,35,22,9,4,7,16,-15
"Dec 10, 2019 - POR vs. NYK",W,48,115,39,90,43.3,17,41,41.5,20,24,83.3,11,47,58,20,12,6,7,21,28
"Dec 08, 2019 - POR vs. OKC",L,48,96,36,100,36.0,9,33,27.3,15,18,83.3,18,33,51,16,8,7,8,26,-12
"Dec 06, 2019 - POR vs. LAL",L,48,113,39,86,45.3,10,34,29.4,25,29,86.2,4,30,34,20,15,9,4,25,-23
"Dec 04, 2019 - POR vs. SAC",W,48,127,47,84,56.0,16,32,50.0,17,21,81.0,6,37,43,28,12,6,10,18,11
"Dec 03, 2019 - POR @ LAC",L,48,97,39,91,42.9,7,27,25.9,12,15,80.0,12,37,49,20,13,5,6,23,-20
"Nov 29, 2019 - POR vs. CHI",W,48,107,38,84,45.2,10,30,33.3,21,28,75.0,8,41,49,20,13,6,11,21,4
"Nov 27, 2019 - POR vs. OKC",W,48,136,49,94,52.1,14,30,46.7,24,24,100,10,44,54,23,9,3,1,32,17
"Nov 25, 2019 - POR @ CHI",W,48,117,46,89,51.7,8,27,29.6,17,22,77.3,13,42,55,23,15,8,5,20,23
"Nov 23, 2019 - POR @ CLE",L,48,104,39,87,44.8,14,40,35.0,12,16,75.0,6,32,38,21,10,6,6,20,-6
"Nov 21, 2019 - POR @ MIL",L,48,129,50,103,48.5,17,39,43.6,12,14,85.7,9,32,41,32,8,6,11,27,-8
"Nov 19, 2019 - POR @ NOP",L,48,104,40,92,43.5,16,29,55.2,8,13,61.5,11,37,48,20,17,5,4,23,-11
"Nov 18, 2019 - POR @ HOU",L,48,108,40,96,41.7,11,36,30.6,17,23,73.9,12,32,44,28,17,7,5,21,-24
"Nov 16, 2019 - POR @ SAS",W,48,121,42,93,45.2,13,39,33.3,24,26,92.3,9,39,48,21,12,2,4,20,5
"Nov 13, 2019 - POR vs. TOR",L,48,106,38,96,39.6,17,48,35.4,13,16,81.3,11,32,43,24,12,3,7,16,-8
"Nov 12, 2019 - POR @ SAC",L,48,99,34,77,44.2,8,30,26.7,23,30,76.7,7,33,40,15,17,4,5,19,-8
"Nov 10, 2019 - POR vs. ATL",W,53,124,45,104,43.3,12,36,33.3,22,28,78.6,16,45,61,19,17,10,9,22,11
"Nov 08, 2019 - POR vs. BKN",L,48,115,40,97,41.2,11,30,36.7,24,25,96.0,13,35,48,11,11,3,9,24,-4
"Nov 07, 2019 - POR @ LAC",L,48,101,39,104,37.5,11,39,28.2,12,16,75.0,17,34,51,18,14,7,4,27,-6
"Nov 04, 2019 - POR @ GSW",L,48,118,47,105,44.8,13,40,32.5,11,14,78.6,16,28,44,16,6,5,6,23,-9
"Nov 02, 2019 - POR vs. PHI",L,48,128,45,78,57.7,19,34,55.9,19,25,76.0,4,32,36,21,18,7,4,21,-1
"Oct 30, 2019 - POR @ OKC",W,48,102,34,86,39.5,17,35,48.6,17,24,70.8,9,40,49,19,19,9,8,30,3
"Oct 28, 2019 - POR @ SAS",L,48,110,39,100,39.0,10,33,30.3,22,27,81.5,9,40,49,19,10,4,8,27,-3
"Oct 27, 2019 - POR @ DAL",W,48,121,45,87,51.7,9,22,40.9,22,26,84.6,7,41,48,13,16,6,4,30,2
"Oct 25, 2019 - POR @ SAC",W,48,122,46,85,54.1,11,30,36.7,19,22,86.4,5,35,40,23,16,8,5,23,10
"Oct 23, 2019 - POR vs. DEN",L,48,100,36,87,41.4,7,28,25.0,21,23,91.3,13,35,48,13,20,9,4,25,-8
