Date,Home,Away,Winner (H/A),MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 16, 2021",ATL,HOU,H,48,124,49,90,54.4,7,21,33.3,19,26,73.1,11,45,56,32,13,10,8,16,29
"May 13, 2021",ATL,ORL,H,48,116,41,94,43.6,14,36,38.9,20,24,83.3,12,37,49,19,7,9,4,16,23
"May 12, 2021",ATL,WAS,H,48,120,44,86,51.2,10,33,30.3,22,28,78.6,7,44,51,22,14,4,5,21,4
"May 10, 2021",ATL,WAS,H,48,125,46,96,47.9,10,30,33.3,23,26,88.5,13,42,55,23,12,4,6,17,1
"May 06, 2021",IND,ATL,H,48,126,48,94,51.1,15,37,40.5,15,18,83.3,10,24,34,27,12,8,6,17,-7
"May 05, 2021",ATL,PHX,H,48,135,53,84,63.1,13,26,50.0,16,18,88.9,9,37,46,35,11,8,6,21,32
"May 03, 2021",ATL,POR,H,48,123,44,84,52.4,20,41,48.8,15,18,83.3,5,44,49,32,11,6,3,18,9
"May 01, 2021",ATL,CHI,H,48,108,37,74,50.0,14,36,38.9,20,26,76.9,6,38,44,19,15,11,5,21,11
"Apr 30, 2021",PHI,ATL,H,48,104,36,82,43.9,10,28,35.7,22,28,78.6,12,34,46,19,18,3,8,23,-22
"Apr 28, 2021",PHI,ATL,H,48,83,27,81,33.3,6,19,31.6,23,29,79.3,17,30,47,17,15,3,3,18,-44
"Apr 26, 2021",DET,ATL,H,48,86,33,85,38.8,4,27,14.8,16,17,94.1,9,36,45,19,16,10,4,17,-14
"Apr 25, 2021",ATL,MIL,H,48,111,40,88,45.5,13,35,37.1,18,23,78.3,5,39,44,23,10,6,1,20,7
"Apr 23, 2021",ATL,MIA,H,48,118,43,80,53.8,15,35,42.9,17,19,89.5,8,30,38,24,14,12,2,17,15
"Apr 21, 2021",NYK,ATL,H,53,127,49,102,48.0,12,34,35.3,17,24,70.8,12,29,41,28,10,10,3,18,-10
"Apr 20, 2021",ATL,ORL,H,48,112,39,94,41.5,9,34,26.5,25,29,86.2,18,47,65,20,14,6,3,22,16
"Apr 18, 2021",ATL,IND,H,48,129,45,92,48.9,13,32,40.6,26,34,76.5,14,37,51,20,10,8,7,19,12
"Apr 15, 2021",ATL,MIL,A,48,109,39,86,45.3,14,34,41.2,17,19,89.5,8,31,39,23,12,5,4,15,-11
"Apr 13, 2021",TOR,ATL,A,48,108,40,84,47.6,13,30,43.3,15,22,68.2,8,31,39,21,14,7,2,16,5
"Apr 11, 2021",CHA,ATL,A,48,105,38,84,45.2,17,39,43.6,12,16,75.0,7,34,41,27,12,7,1,11,4
"Apr 09, 2021",ATL,CHI,H,48,120,47,84,56.0,7,27,25.9,19,23,82.6,6,35,41,25,9,7,4,14,12
"Apr 07, 2021",ATL,MEM,A,48,113,45,101,44.6,10,28,35.7,13,15,86.7,11,31,42,26,7,5,3,19,-18
"Apr 06, 2021",ATL,NOP,H,48,123,44,88,50.0,20,31,64.5,15,22,68.2,10,32,42,24,11,7,6,23,16
"Apr 04, 2021",ATL,GSW,H,48,117,35,81,43.2,12,32,37.5,35,45,77.8,10,39,49,19,15,10,3,19,6
"Apr 02, 2021",NOP,ATL,A,48,126,49,87,56.3,13,29,44.8,15,21,71.4,6,36,42,25,15,10,9,23,23
"Apr 01, 2021",SAS,ATL,A,58,134,50,100,50.0,13,24,54.2,21,26,80.8,10,47,57,28,12,3,9,22,5
"Mar 30, 2021",PHX,ATL,H,48,110,41,85,48.2,13,32,40.6,15,21,71.4,6,30,36,30,7,9,1,17,-7
"Mar 28, 2021",DEN,ATL,H,48,102,36,76,47.4,12,34,35.3,18,21,85.7,2,29,31,18,12,7,3,16,-24
"Mar 26, 2021",GSW,ATL,A,48,124,46,84,54.8,13,33,39.4,19,24,79.2,8,37,45,31,10,6,5,23,16
"Mar 24, 2021",SAC,ATL,H,48,108,41,85,48.2,7,25,28.0,19,23,82.6,11,31,42,17,13,5,3,20,-2
"Mar 22, 2021",LAC,ATL,H,48,110,43,95,45.3,12,34,35.3,12,16,75.0,15,33,48,21,7,3,3,18,-9
"Mar 20, 2021",LAL,ATL,A,48,99,39,98,39.8,13,37,35.1,8,9,88.9,16,33,49,26,8,13,7,21,5
"Mar 18, 2021",ATL,OKC,H,48,116,47,87,54.0,11,33,33.3,11,13,84.6,6,44,50,26,14,6,7,16,23
"Mar 16, 2021",HOU,ATL,A,48,119,44,86,51.2,17,37,45.9,14,16,87.5,9,29,38,32,12,8,6,18,12
"Mar 14, 2021",ATL,CLE,H,48,100,32,71,45.1,12,29,41.4,24,26,92.3,12,37,49,21,21,4,6,21,18
"Mar 13, 2021",ATL,SAC,H,48,121,43,84,51.2,12,33,36.4,23,33,69.7,13,32,45,21,9,6,2,17,15
"Mar 11, 2021",TOR,ATL,A,48,121,39,90,43.3,15,42,35.7,28,35,80.0,12,41,53,20,14,8,13,26,1
"Mar 03, 2021",ORL,ATL,A,48,115,38,85,44.7,21,45,46.7,18,19,94.7,6,36,42,26,12,7,5,25,3
"Mar 02, 2021",MIA,ATL,A,48,94,34,71,47.9,13,36,36.1,13,15,86.7,11,36,47,26,23,5,2,18,14
"Feb 28, 2021",MIA,ATL,H,48,99,36,87,41.4,8,35,22.9,19,22,86.4,16,33,49,22,17,12,6,20,-10
"Feb 26, 2021",OKC,ATL,H,48,109,43,97,44.3,12,40,30.0,11,17,64.7,19,35,54,21,11,6,5,13,-9
"Feb 24, 2021",ATL,BOS,H,48,127,45,85,52.9,23,42,54.8,14,17,82.4,12,33,45,27,17,4,5,23,15
"Feb 23, 2021",CLE,ATL,H,48,111,40,89,44.9,14,31,45.2,17,23,73.9,13,28,41,22,13,10,4,19,-1
"Feb 21, 2021",ATL,DEN,H,48,123,42,81,51.9,12,34,35.3,27,33,81.8,10,34,44,29,11,6,4,20,8
"Feb 19, 2021",BOS,ATL,H,48,109,38,90,42.2,10,30,33.3,23,25,92.0,13,28,41,21,14,14,6,14,-12
"Feb 17, 2021",BOS,ATL,A,48,122,44,77,57.1,8,24,33.3,26,31,83.9,8,29,37,19,15,8,2,18,8
"Feb 15, 2021",NYK,ATL,H,48,112,36,85,42.4,11,33,33.3,29,32,90.6,11,31,42,17,11,5,6,19,-11
"Feb 13, 2021",ATL,IND,A,48,113,43,90,47.8,9,31,29.0,18,23,78.3,7,31,38,35,11,5,4,24,-12
"Feb 12, 2021",ATL,SAS,A,48,114,39,90,43.3,11,32,34.4,25,33,75.8,10,31,41,22,12,10,4,17,-11
"Feb 10, 2021",DAL,ATL,H,48,117,40,88,45.5,14,39,35.9,23,28,82.1,9,33,42,27,9,7,4,20,-1
"Feb 06, 2021",ATL,TOR,H,48,132,42,74,56.8,19,36,52.8,29,33,87.9,4,39,43,31,19,1,10,25,11
