Date,Home,Away,Winner (H/A),MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 16, 2021",CHI,MIL,H,48,118,45,87,51.7,14,32,43.8,14,19,73.7,8,37,45,23,16,8,8,20,6
"May 15, 2021",BKN,CHI,H,48,91,34,98,34.7,11,41,26.8,12,17,70.6,19,33,52,24,9,7,4,13,-14
"May 13, 2021",CHI,TOR,H,48,114,45,83,54.2,17,36,47.2,7,10,70.0,8,43,51,31,19,4,4,15,12
"May 11, 2021",CHI,BKN,A,48,107,39,96,40.6,18,44,40.9,11,14,78.6,10,35,45,21,9,4,5,20,-8
"May 09, 2021",DET,CHI,A,48,108,43,84,51.2,12,32,37.5,10,14,71.4,5,38,43,27,9,6,3,22,12
"May 07, 2021",CHI,BOS,H,48,121,43,99,43.4,18,40,45.0,17,18,94.4,15,37,52,26,9,10,4,20,22
"May 06, 2021",CHA,CHI,A,48,120,46,91,50.5,18,37,48.6,10,17,58.8,15,41,56,33,17,10,8,20,21
"May 03, 2021",CHI,PHI,A,48,94,36,87,41.4,11,34,32.4,11,14,78.6,12,28,40,25,15,7,2,15,-12
"May 01, 2021",ATL,CHI,H,48,97,40,85,47.1,6,24,25.0,11,17,64.7,8,31,39,22,13,11,0,22,-11
"Apr 30, 2021",CHI,MIL,A,48,98,37,96,38.5,10,33,30.3,14,21,66.7,14,36,50,23,10,5,5,18,-10
"Apr 28, 2021",NYK,CHI,H,48,94,39,85,45.9,10,29,34.5,6,10,60.0,7,36,43,29,14,2,4,12,-19
"Apr 26, 2021",MIA,CHI,A,48,110,41,77,53.2,11,29,37.9,17,22,77.3,9,42,51,33,18,3,4,21,8
"Apr 24, 2021",MIA,CHI,H,48,101,38,79,48.1,13,38,34.2,12,13,92.3,6,36,42,28,18,7,2,20,-5
"Apr 22, 2021",CHI,CHA,H,48,108,43,87,49.4,14,43,32.6,8,11,72.7,11,39,50,30,18,8,2,14,17
"Apr 21, 2021",CLE,CHI,H,48,105,39,79,49.4,13,37,35.1,14,18,77.8,7,34,41,27,20,6,4,24,-16
"Apr 19, 2021",BOS,CHI,A,48,102,41,91,45.1,11,32,34.4,9,10,90.0,9,31,40,30,12,11,8,15,6
"Apr 17, 2021",CHI,CLE,H,48,106,41,82,50.0,16,40,40.0,8,9,88.9,4,34,38,30,10,6,2,15,10
"Apr 16, 2021",CHI,MEM,A,48,115,45,96,46.9,13,34,38.2,12,15,80.0,13,33,46,34,12,3,1,20,-11
"Apr 14, 2021",CHI,ORL,A,48,106,41,86,47.7,17,37,45.9,7,9,77.8,7,33,40,23,12,7,6,16,-9
"Apr 12, 2021",MEM,CHI,H,48,90,36,86,41.9,5,31,16.1,13,17,76.5,8,32,40,23,17,8,3,16,-11
"Apr 11, 2021",MIN,CHI,H,48,117,47,92,51.1,15,38,39.5,8,13,61.5,8,30,38,30,14,10,8,19,-4
"Apr 09, 2021",ATL,CHI,H,48,108,41,86,47.7,13,33,39.4,13,14,92.9,8,30,38,25,13,6,1,17,-12
"Apr 08, 2021",TOR,CHI,A,48,122,47,87,54.0,12,30,40.0,16,18,88.9,12,37,49,35,16,5,3,16,9
"Apr 06, 2021",IND,CHI,A,48,113,44,94,46.8,14,33,42.4,11,14,78.6,14,43,57,28,21,9,5,12,16
"Apr 04, 2021",CHI,BKN,H,48,115,43,78,55.1,8,22,36.4,21,30,70.0,6,34,40,29,9,4,3,11,8
"Apr 02, 2021",UTA,CHI,H,48,106,43,89,48.3,7,28,25.0,13,17,76.5,7,34,41,26,7,5,3,19,-7
"Mar 31, 2021",PHX,CHI,H,48,116,43,99,43.4,11,33,33.3,19,21,90.5,18,32,50,27,10,6,4,20,-5
"Mar 29, 2021",GSW,CHI,H,48,102,44,84,52.4,6,24,25.0,8,11,72.7,8,31,39,33,20,8,5,18,-14
"Mar 27, 2021",SAS,CHI,H,48,104,41,95,43.2,8,34,23.5,14,18,77.8,11,37,48,28,14,6,3,25,-16
"Mar 24, 2021",CHI,CLE,A,48,94,37,83,44.6,8,28,28.6,12,14,85.7,10,35,45,21,15,6,4,12,-9
"Mar 22, 2021",CHI,UTA,A,48,95,39,96,40.6,6,26,23.1,11,12,91.7,14,35,49,21,14,5,3,14,-25
