MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 16, 2021 - DAL @ MIN",L,48,121,44,91,48.4,16,38,42.1,17,20,85.0,11,27,38,32,16,5,5,19,-15
"May 14, 2021 - DAL vs. TOR",W,48,114,39,90,43.3,17,42,40.5,19,21,90.5,11,31,42,27,10,4,3,18,4
"May 12, 2021 - DAL vs. NOP",W,48,125,47,96,49.0,15,45,33.3,16,20,80.0,9,39,48,23,8,4,2,27,18
"May 11, 2021 - DAL @ MEM",L,48,104,37,88,42.0,12,38,31.6,18,19,94.7,13,22,35,23,13,8,2,15,-29
"May 09, 2021 - DAL @ CLE",W,48,124,50,93,53.8,15,39,38.5,9,11,81.8,8,34,42,33,12,9,7,24,27
"May 07, 2021 - DAL vs. CLE",W,48,110,41,83,49.4,10,32,31.3,18,22,81.8,9,36,45,21,10,7,7,22,20
"May 06, 2021 - DAL vs. BKN",W,48,113,40,89,44.9,15,34,44.1,18,26,69.2,12,39,51,23,12,10,3,15,4
"May 04, 2021 - DAL @ MIA",W,48,127,46,87,52.9,22,48,45.8,13,18,72.2,12,32,44,26,13,6,4,17,14
"May 02, 2021 - DAL vs. SAC",L,48,99,34,81,42.0,6,35,17.1,25,31,80.6,13,27,40,16,17,12,4,16,-12
"May 01, 2021 - DAL vs. WAS",W,48,125,47,87,54.0,17,38,44.7,14,22,63.6,7,29,36,31,11,6,4,25,1
"Apr 29, 2021 - DAL @ DET",W,48,115,40,89,44.9,13,30,43.3,22,23,95.7,8,27,35,22,12,6,2,20,10
"Apr 27, 2021 - DAL @ GSW",W,48,133,48,92,52.2,18,35,51.4,19,22,86.4,9,41,50,21,13,9,4,19,30
"Apr 26, 2021 - DAL @ SAC",L,48,106,43,92,46.7,12,42,28.6,8,14,57.1,14,26,40,24,10,9,2,15,-7
"Apr 24, 2021 - DAL vs. LAL",W,48,108,38,78,48.7,13,30,43.3,19,25,76.0,10,41,51,26,18,3,2,17,15
"Apr 22, 2021 - DAL vs. LAL",W,48,115,40,82,48.8,9,24,37.5,26,36,72.2,9,29,38,23,12,11,5,15,5
"Apr 21, 2021 - DAL vs. DET",W,48,127,46,92,50.0,16,43,37.2,19,26,73.1,11,32,43,25,6,8,2,22,10
