MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 16, 2021 - DEN @ POR",L,48,116,44,98,44.9,14,37,37.8,14,15,93.3,10,26,36,20,6,8,2,20,-16
"May 14, 2021 - DEN @ DET",W,48,104,42,86,48.8,9,32,28.1,11,14,78.6,9,40,49,29,12,6,3,17,13
"May 13, 2021 - DEN @ MIN",W,48,114,46,96,47.9,12,36,33.3,10,11,90.9,14,39,53,30,14,6,3,25,11
"May 11, 2021 - DEN @ CHA",W,48,117,41,83,49.4,13,33,39.4,22,26,84.6,10,28,38,26,17,12,2,19,5
"May 08, 2021 - DEN vs. BKN",L,48,119,42,92,45.7,14,41,34.1,21,23,91.3,10,23,33,21,12,8,1,23,-6
"May 07, 2021 - DEN @ UTA",L,48,120,43,83,51.8,17,38,44.7,17,20,85.0,9,29,38,31,17,8,3,16,-7
"May 05, 2021 - DEN vs. NYK",W,48,113,37,97,38.1,12,39,30.8,27,33,81.8,17,46,63,23,15,13,7,24,16
"May 03, 2021 - DEN @ LAL",L,48,89,36,82,43.9,6,24,25.0,11,16,68.8,6,35,41,22,13,10,7,24,-4
"May 01, 2021 - DEN @ LAC",W,48,110,39,80,48.8,12,32,37.5,20,21,95.2,8,36,44,26,11,2,4,23,6
"Apr 29, 2021 - DEN vs. TOR",W,48,121,44,93,47.3,12,35,34.3,21,26,80.8,14,33,47,22,11,6,7,16,10
"Apr 28, 2021 - DEN vs. NOP",W,48,114,43,85,50.6,10,32,31.3,18,23,78.3,3,35,38,26,18,14,8,17,2
"Apr 26, 2021 - DEN vs. MEM",W,48,120,45,94,47.9,11,33,33.3,19,22,86.4,8,40,48,25,11,8,3,20,24
"Apr 24, 2021 - DEN vs. HOU",W,48,129,50,84,59.5,16,37,43.2,13,16,81.3,1,35,36,36,15,8,8,22,13
"Apr 23, 2021 - DEN @ GSW",L,48,97,34,88,38.6,13,46,28.3,16,20,80.0,6,30,36,26,9,9,7,14,-21
"Apr 21, 2021 - DEN @ POR",W,48,106,39,88,44.3,13,39,33.3,15,17,88.2,16,30,46,24,14,7,5,16,1
"Apr 19, 2021 - DEN vs. MEM",W,58,139,51,102,50.0,15,39,38.5,22,26,84.6,13,45,58,30,24,6,6,19,2
"Apr 16, 2021 - DEN @ HOU",W,48,128,46,94,48.9,9,31,29.0,27,31,87.1,18,36,54,22,9,11,3,15,29
"Apr 14, 2021 - DEN vs. MIA",W,48,123,48,89,53.9,17,36,47.2,10,13,76.9,11,32,43,32,11,5,7,19,17
"Apr 12, 2021 - DEN @ GSW",L,48,107,39,83,47.0,8,26,30.8,21,25,84.0,10,31,41,23,20,11,2,24,-9
"Apr 11, 2021 - DEN vs. BOS",L,48,87,32,88,36.4,8,34,23.5,15,18,83.3,13,33,46,23,9,5,4,20,-18
"Apr 09, 2021 - DEN vs. SAS",W,48,121,43,79,54.4,14,27,51.9,21,23,91.3,9,37,46,32,18,5,4,22,2
"Apr 07, 2021 - DEN vs. SAS",W,48,106,40,91,44.0,8,26,30.8,18,24,75.0,12,41,53,26,19,10,6,18,10
"Apr 06, 2021 - DEN vs. DET",W,48,134,56,94,59.6,14,31,45.2,8,9,88.9,13,31,44,36,11,7,5,20,15
"Apr 04, 2021 - DEN vs. ORL",W,48,119,43,88,48.9,9,29,31.0,24,31,77.4,19,35,54,27,15,6,5,14,10
"Apr 01, 2021 - DEN @ LAC",W,48,101,39,81,48.1,13,25,52.0,10,14,71.4,7,31,38,28,13,6,5,16,7
"Mar 30, 2021 - DEN vs. PHI",W,48,104,39,81,48.1,12,31,38.7,14,17,82.4,9,42,51,26,20,9,6,16,9
"Mar 28, 2021 - DEN vs. ATL",W,48,126,50,92,54.3,15,36,41.7,11,16,68.8,15,34,49,32,10,7,3,15,24
"Mar 26, 2021 - DEN @ NOP",W,48,113,47,93,50.5,14,28,50.0,5,7,71.4,11,25,36,28,8,7,7,16,5
"Mar 24, 2021 - DEN @ TOR",L,48,111,41,98,41.8,14,43,32.6,15,18,83.3,17,29,46,25,12,5,2,19,-24
"Mar 23, 2021 - DEN @ ORL",W,48,110,45,91,49.5,8,30,26.7,12,13,92.3,13,39,52,25,12,12,7,13,11
"Mar 21, 2021 - DEN vs. NOP",L,48,108,44,88,50.0,12,34,35.3,8,10,80.0,10,27,37,30,15,9,5,28,-5
"Mar 19, 2021 - DEN vs. CHI",W,53,131,48,91,52.7,14,34,41.2,21,27,77.8,9,34,43,29,13,10,3,22,4
"Mar 17, 2021 - DEN vs. CHA",W,48,129,52,90,57.8,16,44,36.4,9,13,69.2,8,40,48,37,16,12,3,22,25
