MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 16, 2021 - GSW vs. MEM",W,48,113,41,83,49.4,15,39,38.5,16,18,88.9,12,34,46,26,20,9,4,19,12
"May 14, 2021 - GSW vs. NOP",W,48,125,42,87,48.3,17,39,43.6,24,30,80.0,8,38,46,29,12,4,4,21,3
"May 11, 2021 - GSW vs. PHX",W,48,122,47,95,49.5,11,40,27.5,17,20,85.0,12,28,40,33,10,8,1,20,6
"May 10, 2021 - GSW vs. UTA",W,48,119,41,88,46.6,14,42,33.3,23,25,92.0,9,32,41,26,10,8,2,20,3
"May 08, 2021 - GSW vs. OKC",W,48,136,47,81,58.0,27,54,50.0,15,18,83.3,2,44,46,31,19,5,4,19,39
"May 06, 2021 - GSW vs. OKC",W,48,118,42,86,48.8,19,47,40.4,15,18,83.3,7,42,49,36,14,4,1,19,21
"May 04, 2021 - GSW @ NOP",L,48,103,39,93,41.9,20,53,37.7,5,7,71.4,8,40,48,22,18,7,9,17,-5
"May 03, 2021 - GSW @ NOP",W,48,123,47,88,53.4,17,44,38.6,12,14,85.7,5,33,38,31,15,9,8,28,15
"May 01, 2021 - GSW @ HOU",W,48,113,39,84,46.4,18,46,39.1,17,24,70.8,4,46,50,32,17,10,8,18,26
"Apr 29, 2021 - GSW @ MIN",L,48,114,42,85,49.4,15,38,39.5,15,21,71.4,4,30,34,28,10,10,7,21,-12
"Apr 27, 2021 - GSW vs. DAL",L,48,103,34,84,40.5,16,43,37.2,19,24,79.2,10,33,43,25,18,11,5,18,-30
"Apr 25, 2021 - GSW vs. SAC",W,48,117,46,95,48.4,14,36,38.9,11,15,73.3,17,36,53,30,17,5,3,16,4
"Apr 23, 2021 - GSW vs. DEN",W,48,118,45,84,53.6,15,39,38.5,13,18,72.2,7,45,52,40,15,8,4,15,21
"Apr 21, 2021 - GSW @ WAS",L,48,114,40,101,39.6,15,45,33.3,19,21,90.5,10,34,44,22,17,15,5,23,-4
"Apr 19, 2021 - GSW @ PHI",W,48,107,34,76,44.7,14,32,43.8,25,32,78.1,6,39,45,15,16,2,5,19,11
"Apr 17, 2021 - GSW @ BOS",L,48,114,41,80,51.3,17,40,42.5,15,20,75.0,8,32,40,22,18,6,2,23,-5
"Apr 15, 2021 - GSW @ CLE",W,48,119,47,92,51.1,17,46,37.0,8,10,80.0,9,38,47,33,16,9,5,24,18
"Apr 14, 2021 - GSW @ OKC",W,48,147,52,95,54.7,24,47,51.1,19,23,82.6,9,32,41,39,14,12,6,20,38
"Apr 12, 2021 - GSW vs. DEN",W,48,116,39,81,48.1,18,44,40.9,20,22,90.9,4,32,36,23,16,11,3,22,9
"Apr 10, 2021 - GSW vs. HOU",W,48,125,49,91,53.8,14,35,40.0,13,16,81.3,9,36,45,31,16,13,5,19,16
"Apr 09, 2021 - GSW vs. WAS",L,48,107,41,88,46.6,11,36,30.6,14,21,66.7,8,33,41,27,13,15,3,20,-3
"Apr 06, 2021 - GSW vs. MIL",W,48,122,46,96,47.9,15,40,37.5,15,17,88.2,12,30,42,28,11,6,5,18,1
"Apr 04, 2021 - GSW @ ATL",L,48,111,43,92,46.7,10,40,25.0,15,21,71.4,9,36,45,25,16,12,6,26,-6
"Apr 02, 2021 - GSW @ TOR",L,48,77,26,79,32.9,11,34,32.4,14,18,77.8,7,31,38,19,21,5,4,18,-53
"Apr 01, 2021 - GSW @ MIA",L,48,109,36,82,43.9,15,37,40.5,22,25,88.0,12,34,46,23,20,7,3,26,-7
"Mar 29, 2021 - GSW vs. CHI",W,48,116,46,92,50.0,16,38,42.1,8,9,88.9,10,29,39,28,15,9,8,14,14
"Mar 26, 2021 - GSW vs. ATL",L,48,108,39,79,49.4,12,28,42.9,18,26,69.2,5,28,33,29,13,7,4,22,-16
"Mar 25, 2021 - GSW @ SAC",L,48,119,45,88,51.1,17,32,53.1,12,12,100,7,31,38,24,12,4,0,19,-22
"Mar 23, 2021 - GSW vs. PHI",L,48,98,36,83,43.4,8,25,32.0,18,26,69.2,6,32,38,22,13,5,7,23,-10
"Mar 20, 2021 - GSW @ MEM",L,48,103,31,90,34.4,13,41,31.7,28,34,82.4,7,39,46,23,12,8,7,25,-8
"Mar 19, 2021 - GSW @ MEM",W,48,116,44,91,48.4,15,41,36.6,13,18,72.2,8,35,43,31,13,13,6,16,13
"Mar 17, 2021 - GSW @ HOU",W,48,108,41,90,45.6,16,45,35.6,10,12,83.3,6,42,48,32,13,7,4,26,14
"Mar 15, 2021 - GSW vs. LAL",L,48,97,34,79,43.0,13,37,35.1,16,24,66.7,9,21,30,24,22,9,2,23,-31
"Mar 14, 2021 - GSW vs. UTA",W,48,131,50,89,56.2,16,31,51.6,15,18,83.3,5,35,40,33,14,12,2,26,12
"Mar 11, 2021 - GSW @ LAC",L,48,104,38,88,43.2,9,36,25.0,19,27,70.4,5,39,44,20,16,6,6,23,-26
"Mar 04, 2021 - GSW @ PHX",L,48,98,38,88,43.2,12,35,34.3,10,16,62.5,9,31,40,22,17,9,4,11,-22
"Mar 03, 2021 - GSW @ POR",L,48,106,41,97,42.3,15,42,35.7,9,14,64.3,17,37,54,27,11,8,1,24,-2
"Feb 28, 2021 - GSW @ LAL",L,48,91,35,86,40.7,8,34,23.5,13,19,68.4,3,32,35,26,20,10,4,25,-26
"Feb 26, 2021 - GSW vs. CHA",W,48,130,48,79,60.8,11,24,45.8,23,25,92.0,4,33,37,38,25,10,3,19,9
"Feb 24, 2021 - GSW @ IND",W,48,111,39,83,47.0,5,26,19.2,28,31,90.3,8,33,41,27,18,10,4,25,4
"Feb 23, 2021 - GSW @ NYK",W,48,114,40,89,44.9,13,38,34.2,21,24,87.5,7,34,41,30,10,9,8,18,8
"Feb 20, 2021 - GSW @ CHA",L,48,100,37,85,43.5,13,39,33.3,13,17,76.5,9,30,39,23,14,10,3,12,-2
"Feb 19, 2021 - GSW @ ORL",L,48,120,46,97,47.4,19,42,45.2,9,15,60.0,9,36,45,37,13,8,0,19,-4
"Feb 17, 2021 - GSW vs. MIA",W,53,120,43,95,45.3,18,52,34.6,16,21,76.2,9,37,46,32,16,10,1,19,8
"Feb 15, 2021 - GSW vs. CLE",W,48,129,46,88,52.3,17,37,45.9,20,21,95.2,5,34,39,34,14,9,10,23,31
"Feb 13, 2021 - GSW vs. BKN",L,48,117,44,90,48.9,9,34,26.5,20,25,80.0,5,32,37,25,13,6,6,15,-17
