MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 16, 2021 - IND @ TOR",W,48,125,48,95,50.5,15,37,40.5,14,18,77.8,10,37,47,34,13,8,3,19,12
"May 15, 2021 - IND vs. LAL",L,48,115,46,89,51.7,9,33,27.3,14,19,73.7,8,29,37,28,13,10,8,23,-7
"May 13, 2021 - IND vs. MIL",L,48,133,50,110,45.5,21,43,48.8,12,15,80.0,12,28,40,34,8,6,2,22,-9
"May 11, 2021 - IND vs. PHI",W,48,103,37,83,44.6,14,41,34.1,15,16,93.8,7,38,45,28,14,7,6,15,9
"May 10, 2021 - IND @ CLE",W,48,111,44,88,50.0,11,27,40.7,12,16,75.0,10,37,47,32,11,7,13,21,9
"May 08, 2021 - IND vs. WAS",L,53,132,50,104,48.1,7,29,24.1,25,30,83.3,8,41,49,33,13,11,5,24,-1
"May 06, 2021 - IND vs. ATL",W,48,133,54,87,62.1,8,20,40.0,17,19,89.5,4,32,36,35,15,11,4,19,7
"May 05, 2021 - IND vs. SAC",L,48,93,36,83,43.4,9,25,36.0,12,17,70.6,10,38,48,26,22,8,6,13,-11
"May 03, 2021 - IND @ WAS",L,48,141,53,107,49.5,14,27,51.9,21,25,84.0,14,31,45,28,17,8,6,17,-13
"May 01, 2021 - IND @ OKC",W,48,152,57,87,65.5,21,33,63.6,17,22,77.3,3,50,53,41,17,7,11,22,57
"Apr 29, 2021 - IND vs. BKN",L,48,113,41,96,42.7,11,39,28.2,20,21,95.2,7,31,38,23,10,8,6,23,-17
"Apr 27, 2021 - IND vs. POR",L,48,112,40,86,46.5,10,30,33.3,22,28,78.6,7,31,38,25,13,6,12,17,-21
"Apr 25, 2021 - IND @ ORL",W,48,131,50,91,54.9,15,32,46.9,16,18,88.9,5,43,48,28,13,3,5,20,19
"Apr 24, 2021 - IND vs. DET",W,48,115,40,96,41.7,10,32,31.3,25,35,71.4,9,30,39,28,5,10,9,21,6
"Apr 21, 2021 - IND vs. OKC",W,48,122,46,101,45.5,14,40,35.0,16,20,80.0,14,33,47,30,11,13,7,16,6
"Apr 19, 2021 - IND vs. SAS",L,48,94,34,104,32.7,8,34,23.5,18,27,66.7,14,40,54,20,7,4,7,27,-15
"Apr 18, 2021 - IND @ ATL",L,48,117,45,92,48.9,10,32,31.3,17,20,85.0,8,33,41,33,12,7,5,27,-12
"Apr 16, 2021 - IND @ UTA",L,48,111,41,105,39.0,13,39,33.3,16,17,94.1,14,29,43,23,10,13,3,19,-8
"Apr 14, 2021 - IND @ HOU",W,48,132,50,94,53.2,15,36,41.7,17,22,77.3,11,37,48,28,18,10,6,16,8
"Apr 13, 2021 - IND vs. LAC",L,48,115,44,96,45.8,9,40,22.5,18,22,81.8,9,33,42,14,12,9,5,17,-11
"Apr 11, 2021 - IND @ MEM",W,48,132,52,99,52.5,13,37,35.1,15,17,88.2,15,38,53,35,12,5,10,16,7
