Date,Home,Away,Winner (H/A),MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 16, 2021",NOP,LAL,A,48,110,45,96,46.9,11,35,31.4,9,15,60.0,8,34,42,30,10,14,5,16,12
"May 15, 2021",IND,LAL,A,48,122,41,86,47.7,11,29,37.9,29,36,80.6,11,34,45,25,13,5,3,15,7
"May 12, 2021",LAL,HOU,H,48,124,52,91,57.1,7,20,35.0,13,22,59.1,8,33,41,28,11,8,3,20,2
"May 11, 2021",LAL,NYK,H,53,101,37,89,41.6,12,28,42.9,15,19,78.9,14,39,53,31,20,5,5,17,2
"May 09, 2021",LAL,PHX,H,48,123,39,80,48.8,13,30,43.3,32,41,78.0,14,27,41,24,14,11,3,21,13
"May 07, 2021",POR,LAL,H,48,101,37,89,41.6,11,30,36.7,16,22,72.7,10,39,49,19,14,2,4,20,-5
"May 06, 2021",LAC,LAL,H,48,94,33,87,37.9,10,36,27.8,18,29,62.1,11,23,34,21,11,8,6,23,-24
"May 03, 2021",LAL,DEN,H,48,93,32,73,43.8,13,30,43.3,16,23,69.6,7,36,43,18,20,5,8,20,4
"May 02, 2021",LAL,TOR,A,48,114,41,85,48.2,11,29,37.9,21,31,67.7,7,37,44,32,14,7,6,22,-7
"Apr 30, 2021",LAL,SAC,A,48,106,42,83,50.6,7,28,25.0,15,21,71.4,11,32,43,24,21,9,12,17,-4
"Apr 28, 2021",WAS,LAL,H,48,107,42,96,43.8,10,34,29.4,13,21,61.9,13,28,41,31,10,10,8,20,-9
"Apr 26, 2021",ORL,LAL,A,48,114,47,87,54.0,11,31,35.5,9,14,64.3,9,35,44,23,12,8,5,18,11
"Apr 24, 2021",DAL,LAL,H,48,93,33,86,38.4,12,45,26.7,15,19,78.9,6,30,36,22,9,11,4,22,-15
"Apr 22, 2021",DAL,LAL,H,48,110,43,90,47.8,10,30,33.3,14,17,82.4,12,33,45,26,16,7,5,28,-5
"Apr 19, 2021",LAL,UTA,A,48,97,34,79,43.0,12,28,42.9,17,25,68.0,5,27,32,17,10,10,1,14,-14
"Apr 17, 2021",LAL,UTA,H,53,127,48,93,51.6,11,33,33.3,20,23,87.0,11,41,52,26,15,8,8,14,12
"Apr 15, 2021",LAL,BOS,A,48,113,44,98,44.9,12,37,32.4,13,19,68.4,11,25,36,28,8,12,2,16,-8
"Apr 13, 2021",CHA,LAL,A,48,101,34,82,41.5,16,44,36.4,17,18,94.4,8,30,38,24,11,9,2,18,8
