MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 16, 2021 - MIL @ CHI",L,48,112,38,90,42.2,12,37,32.4,24,32,75.0,10,31,41,14,12,13,5,16,-6
"May 15, 2021 - MIL vs. MIA",W,48,122,46,86,53.5,13,35,37.1,17,24,70.8,5,43,48,29,11,4,3,15,14
"May 13, 2021 - MIL @ IND",W,48,142,54,94,57.4,11,30,36.7,23,31,74.2,10,41,51,34,12,5,6,10,9
"May 11, 2021 - MIL vs. ORL",W,48,114,43,101,42.6,8,33,24.2,20,27,74.1,17,46,63,16,9,10,1,15,12
"May 10, 2021 - MIL @ SAS",L,48,125,47,94,50.0,13,41,31.7,18,23,78.3,8,26,34,26,8,6,6,13,-21
"May 07, 2021 - MIL vs. HOU",W,48,141,51,95,53.7,19,46,41.3,20,23,87.0,13,40,53,30,17,8,5,14,8
"May 05, 2021 - MIL vs. WAS",W,48,135,48,89,53.9,18,37,48.6,21,28,75.0,10,35,45,30,20,4,6,31,1
"May 04, 2021 - MIL vs. BKN",W,48,124,44,98,44.9,14,37,37.8,22,27,81.5,15,40,55,23,13,7,3,21,6
"May 02, 2021 - MIL vs. BKN",W,48,117,48,98,49.0,15,37,40.5,6,12,50.0,8,37,45,19,10,9,11,18,3
"Apr 30, 2021 - MIL @ CHI",W,48,108,42,90,46.7,9,25,36.0,15,20,75.0,8,43,51,24,11,5,5,19,10
"Apr 29, 2021 - MIL @ HOU",L,48,136,49,93,52.7,16,39,41.0,22,25,88.0,8,30,38,27,14,12,5,21,-7
"Apr 27, 2021 - MIL @ CHA",W,48,114,47,93,50.5,9,35,25.7,11,14,78.6,9,39,48,28,15,13,3,24,10
"Apr 25, 2021 - MIL @ ATL",L,48,104,39,81,48.1,8,28,28.6,18,23,78.3,4,37,41,20,12,6,6,18,-7
"Apr 24, 2021 - MIL vs. PHI",W,48,132,49,95,51.6,18,40,45.0,16,24,66.7,16,39,55,33,16,10,4,28,38
"Apr 22, 2021 - MIL vs. PHI",W,48,124,45,81,55.6,20,40,50.0,14,23,60.9,6,39,45,32,16,6,8,16,7
"Apr 19, 2021 - MIL vs. PHX",L,53,127,49,102,48.0,11,34,32.4,18,19,94.7,9,42,51,19,12,7,3,15,-1
