Date,Home,Away,Winner (H/A),MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 16, 2021",NYK,BOS,H,48,96,34,79,43.0,13,27,48.1,15,19,78.9,4,37,41,16,11,7,6,17,4
"May 15, 2021",NYK,CHA,H,53,118,45,88,51.1,16,37,43.2,12,15,80.0,7,43,50,29,10,3,7,20,9
"May 13, 2021",NYK,SAS,H,48,102,35,86,40.7,14,35,40.0,18,18,100,10,38,48,23,10,7,8,19,4
"May 11, 2021",LAL,NYK,H,53,99,34,87,39.1,10,29,34.5,21,23,91.3,5,36,41,19,10,8,3,21,-2
"May 09, 2021",LAC,NYK,A,48,106,42,90,46.7,13,32,40.6,9,9,100,8,37,45,25,10,7,5,17,6
"May 07, 2021",PHX,NYK,H,48,105,38,84,45.2,11,32,34.4,18,23,78.3,6,35,41,24,13,2,4,25,-23
"May 05, 2021",DEN,NYK,H,48,97,33,86,38.4,13,35,37.1,18,27,66.7,6,36,42,18,15,6,10,24,-16
"May 03, 2021",MEM,NYK,A,48,118,45,89,50.6,14,27,51.9,14,18,77.8,8,37,45,19,10,6,8,21,14
"May 02, 2021",HOU,NYK,A,48,122,45,86,52.3,18,35,51.4,14,16,87.5,6,32,38,22,13,10,1,21,25
"Apr 28, 2021",NYK,CHI,H,48,113,42,91,46.2,12,27,44.4,17,19,89.5,9,32,41,27,4,10,9,16,19
"Apr 26, 2021",NYK,PHX,A,48,110,45,87,51.7,12,29,41.4,8,10,80.0,6,29,35,24,11,6,1,19,-8
"Apr 24, 2021",NYK,TOR,H,48,120,42,75,56.0,16,31,51.6,20,24,83.3,5,39,44,20,15,4,4,17,17
"Apr 21, 2021",NYK,ATL,H,53,137,49,91,53.8,19,35,54.3,20,25,80.0,8,41,49,29,17,8,3,19,10
"Apr 20, 2021",NYK,CHA,H,48,109,40,83,48.2,18,45,40.0,11,12,91.7,11,28,39,22,12,5,6,13,12
"Apr 18, 2021",NYK,NOP,H,53,122,45,95,47.4,11,29,37.9,21,24,87.5,13,36,49,27,13,9,6,26,10
"Apr 16, 2021",DAL,NYK,A,48,117,44,86,51.2,14,28,50.0,15,21,71.4,9,36,45,22,10,4,5,20,8
"Apr 14, 2021",NOP,NYK,A,48,116,44,97,45.4,17,33,51.5,11,13,84.6,11,37,48,19,6,6,5,17,10
"Apr 12, 2021",NYK,LAL,H,48,111,42,89,47.2,5,27,18.5,22,27,81.5,15,32,47,18,15,14,9,20,15
"Apr 11, 2021",NYK,TOR,H,48,102,35,88,39.8,9,35,25.7,23,27,85.2,11,35,46,19,13,9,4,19,6
"Apr 09, 2021",NYK,MEM,H,53,133,45,96,46.9,14,32,43.8,29,33,87.9,11,37,48,24,14,7,7,25,4
