MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 16, 2021 - ORL @ PHI",L,48,117,36,76,47.4,10,28,35.7,35,41,85.4,9,38,47,23,17,4,3,25,-11
"May 14, 2021 - ORL @ PHI",L,48,97,33,83,39.8,10,30,33.3,21,28,75.0,10,34,44,21,13,4,5,15,-25
"May 13, 2021 - ORL @ ATL",L,48,93,36,94,38.3,11,36,30.6,10,15,66.7,16,35,51,24,14,3,6,16,-23
"May 11, 2021 - ORL @ MIL",L,48,102,39,94,41.5,10,30,33.3,14,20,70.0,10,42,52,18,12,6,2,20,-12
"May 09, 2021 - ORL vs. MIN",L,48,96,36,91,39.6,9,36,25.0,15,22,68.2,10,35,45,20,13,5,5,20,-32
"May 07, 2021 - ORL @ CHA",L,48,112,41,98,41.8,9,30,30.0,21,28,75.0,14,33,47,19,7,6,7,24,-10
"May 05, 2021 - ORL vs. BOS",L,48,96,33,85,38.8,6,25,24.0,24,28,85.7,10,35,45,13,19,7,7,11,-36
"May 03, 2021 - ORL @ DET",W,48,119,45,88,51.1,10,23,43.5,19,25,76.0,9,39,48,27,11,6,3,18,7
"May 01, 2021 - ORL vs. MEM",W,48,112,38,85,44.7,11,25,44.0,25,28,89.3,6,31,37,20,11,10,5,17,1
"Apr 30, 2021 - ORL @ MEM",L,48,75,27,86,31.4,6,26,23.1,15,20,75.0,12,44,56,16,20,4,6,19,-17
"Apr 28, 2021 - ORL @ CLE",W,48,109,43,85,50.6,10,29,34.5,13,20,65.0,9,40,49,26,15,9,7,21,5
"Apr 26, 2021 - ORL vs. LAL",L,48,103,36,76,47.4,11,25,44.0,20,24,83.3,4,24,28,16,11,5,3,18,-11
"Apr 25, 2021 - ORL vs. IND",L,48,112,40,101,39.6,10,32,31.3,22,28,78.6,15,36,51,22,7,9,3,14,-19
"Apr 22, 2021 - ORL vs. NOP",L,48,100,36,98,36.7,13,36,36.1,15,19,78.9,13,27,40,13,6,6,6,18,-35
"Apr 20, 2021 - ORL @ ATL",L,48,96,34,86,39.5,8,37,21.6,20,29,69.0,6,34,40,13,10,11,3,19,-16
"Apr 18, 2021 - ORL vs. HOU",L,48,110,41,91,45.1,11,32,34.4,17,19,89.5,9,27,36,28,15,10,5,19,-4
"Apr 16, 2021 - ORL @ TOR",L,48,102,35,77,45.5,8,23,34.8,24,34,70.6,6,29,35,20,11,8,4,14,-11
"Apr 14, 2021 - ORL @ CHI",W,48,115,44,89,49.4,12,27,44.4,15,20,75.0,13,33,46,29,7,8,10,15,9
"Apr 12, 2021 - ORL vs. SAS",L,48,97,36,80,45.0,5,20,25.0,20,32,62.5,11,33,44,15,15,6,2,17,-23
