Date,Home,Away,Winner (H/A),MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 16, 2021",SAC,UTA,A,48,99,42,90,46.7,9,30,30.0,6,10,60.0,5,34,39,24,13,10,5,22,-22
"May 14, 2021",MEM,SAC,H,48,106,37,96,38.5,10,42,23.8,22,27,81.5,14,42,56,21,10,7,2,21,-1
"May 13, 2021",MEM,SAC,H,48,110,42,96,43.8,17,41,41.5,9,14,64.3,13,22,35,33,11,9,9,16,-6
"May 11, 2021",SAC,OKC,H,48,122,44,86,51.2,19,39,48.7,15,19,78.9,6,34,40,28,16,13,6,21,16
"May 09, 2021",SAC,OKC,H,48,126,45,85,52.9,16,36,44.4,20,24,83.3,9,42,51,30,15,8,11,19,28
"May 07, 2021",SAC,SAS,A,48,104,41,84,48.8,13,32,40.6,9,15,60.0,4,31,35,27,16,10,3,19,-9
"May 05, 2021",IND,SAC,A,48,104,43,95,45.3,8,32,25.0,10,14,71.4,12,36,48,21,12,16,7,14,11
"May 04, 2021",OKC,SAC,A,48,103,39,95,41.1,12,43,27.9,13,16,81.3,9,40,49,25,12,6,10,19,4
"May 02, 2021",DAL,SAC,A,48,111,45,81,55.6,11,28,39.3,10,16,62.5,8,30,38,27,20,9,1,26,12
"Apr 30, 2021",LAL,SAC,A,48,110,39,86,45.3,12,33,36.4,20,22,90.9,11,26,37,29,17,10,3,16,4
"Apr 28, 2021",SAC,UTA,A,48,105,42,87,48.3,7,21,33.3,14,17,82.4,3,21,24,24,13,8,6,19,-49
"Apr 26, 2021",SAC,DAL,H,48,113,42,81,51.9,13,29,44.8,16,18,88.9,11,35,46,23,18,6,4,15,7
"Apr 25, 2021",GSW,SAC,H,48,113,41,86,47.7,14,37,37.8,17,22,77.3,6,31,37,22,11,8,5,15,-4
"Apr 21, 2021",SAC,MIN,H,48,128,43,74,58.1,17,33,51.5,25,31,80.6,4,29,33,29,14,7,5,20,3
"Apr 20, 2021",SAC,MIN,A,48,120,44,97,45.4,18,42,42.9,14,16,87.5,13,26,39,28,11,10,3,17,-14
"Apr 18, 2021",DAL,SAC,A,48,121,44,89,49.4,11,24,45.8,22,25,88.0,10,32,42,22,8,11,3,19,14
"Apr 15, 2021",PHX,SAC,H,48,114,43,78,55.1,14,30,46.7,14,19,73.7,4,28,32,22,15,7,4,16,-8
"Apr 14, 2021",SAC,WAS,A,48,111,42,91,46.2,9,27,33.3,18,24,75.0,5,25,30,22,17,17,8,22,-12
"Apr 12, 2021",NOP,SAC,H,48,110,39,90,43.3,10,35,28.6,22,37,59.5,8,26,34,21,10,14,3,26,-7
"Apr 10, 2021",UTA,SAC,H,48,112,42,88,47.7,14,42,33.3,14,22,63.6,4,34,38,23,10,8,4,23,-16
"Apr 08, 2021",SAC,DET,A,48,101,38,86,44.2,7,30,23.3,18,26,69.2,6,32,38,20,12,9,4,21,-12
"Apr 05, 2021",MIN,SAC,H,48,106,39,88,44.3,9,36,25.0,19,24,79.2,10,32,42,27,15,9,8,19,-10
"Apr 03, 2021",SAC,MIL,A,48,128,49,99,49.5,17,39,43.6,13,13,100,12,28,40,31,12,7,4,17,-1
"Apr 02, 2021",SAC,LAL,A,48,94,36,85,42.4,10,35,28.6,12,16,75.0,6,32,38,24,15,8,5,16,-21
"Mar 31, 2021",SAS,SAC,H,48,106,39,92,42.4,11,35,31.4,17,19,89.5,11,32,43,22,12,7,5,20,-14
"Mar 29, 2021",SAS,SAC,A,48,132,47,84,56.0,18,36,50.0,20,25,80.0,4,33,37,29,7,9,6,15,17
"Mar 27, 2021",SAC,CLE,H,48,100,41,80,51.3,7,30,23.3,11,14,78.6,7,37,44,16,18,4,9,20,2
"Mar 25, 2021",SAC,GSW,H,48,141,53,89,59.6,19,38,50.0,16,19,84.2,5,33,38,28,6,6,4,13,22
"Mar 24, 2021",SAC,ATL,H,48,110,40,84,47.6,10,30,33.3,20,22,90.9,12,30,42,21,16,5,6,16,2
"Mar 22, 2021",CLE,SAC,A,48,119,49,90,54.4,13,30,43.3,8,12,66.7,10,39,49,26,17,6,7,17,14
"Mar 20, 2021",PHI,SAC,H,48,105,39,85,45.9,10,28,35.7,17,27,63.0,4,29,33,28,8,4,2,21,-24
"Mar 19, 2021",BOS,SAC,A,48,107,37,81,45.7,12,30,40.0,21,26,80.8,11,34,45,22,14,6,9,16,11
"Mar 17, 2021",WAS,SAC,A,48,121,41,93,44.1,10,33,30.3,29,35,82.9,6,32,38,25,10,10,4,26,2
"Mar 15, 2021",CHA,SAC,H,48,116,48,86,55.8,9,31,29.0,11,17,64.7,4,40,44,28,12,7,6,19,-6
"Mar 13, 2021",ATL,SAC,H,48,106,43,98,43.9,7,36,19.4,13,16,81.3,22,25,47,27,13,5,1,26,-15
"Mar 11, 2021",SAC,HOU,H,48,125,45,92,48.9,11,33,33.3,24,28,85.7,8,45,53,25,15,11,5,19,20
"Mar 04, 2021",POR,SAC,H,48,119,49,103,47.6,11,29,37.9,10,16,62.5,18,33,51,25,7,3,3,19,-4
"Mar 03, 2021",SAC,LAL,H,48,123,48,80,60.0,12,25,48.0,15,19,78.9,6,24,30,32,14,5,1,19,3
"Feb 28, 2021",SAC,CHA,A,48,126,50,92,54.3,16,36,44.4,10,17,58.8,9,24,33,32,10,6,2,19,-1
"Feb 26, 2021",DET,SAC,A,48,110,37,89,41.6,7,32,21.9,29,41,70.7,14,35,49,24,11,5,6,25,3
"Feb 25, 2021",NYK,SAC,H,48,121,42,85,49.4,12,35,34.3,25,33,75.8,8,26,34,25,16,12,0,22,-19
"Feb 23, 2021",BKN,SAC,H,48,118,45,87,51.7,15,31,48.4,13,19,68.4,5,33,38,25,15,6,7,17,-9
"Feb 21, 2021",MIL,SAC,H,48,115,44,100,44.0,12,33,36.4,15,20,75.0,14,29,43,29,13,6,3,26,-13
"Feb 20, 2021",CHI,SAC,H,48,114,44,98,44.9,8,29,27.6,18,22,81.8,12,29,41,22,7,8,3,18,-8
"Feb 18, 2021",SAC,MIA,A,48,110,43,93,46.2,15,41,36.6,9,16,56.3,13,31,44,29,16,7,3,18,-8
"Feb 15, 2021",SAC,BKN,A,48,125,51,96,53.1,12,33,36.4,11,13,84.6,15,26,41,24,15,6,6,13,-11
"Feb 14, 2021",SAC,MEM,A,48,110,41,82,50.0,8,33,24.2,20,26,76.9,5,28,33,22,16,8,5,19,-14
"Feb 12, 2021",SAC,ORL,A,48,112,43,83,51.8,12,33,36.4,14,19,73.7,8,34,42,33,18,8,1,18,-11
"Feb 09, 2021",SAC,PHI,A,48,111,43,99,43.4,14,42,33.3,11,19,57.9,8,31,39,24,11,6,8,28,-8
"Feb 07, 2021",LAC,SAC,A,48,113,46,94,48.9,10,29,34.5,11,15,73.3,11,41,52,25,12,5,4,18,3
"Feb 06, 2021",SAC,DEN,H,48,119,44,91,48.4,14,35,40.0,17,24,70.8,10,35,45,30,7,5,7,11,5
"Feb 03, 2021",SAC,BOS,H,48,116,42,92,45.7,13,37,35.1,19,23,82.6,12,32,44,23,11,7,2,19,5
"Feb 01, 2021",NOP,SAC,A,48,118,42,88,47.7,14,43,32.6,20,26,76.9,13,39,52,31,20,3,8,18,9
"Jan 30, 2021",MIA,SAC,H,48,104,41,85,48.2,17,45,37.8,5,11,45.5,12,29,41,22,17,12,3,21,-1
"Jan 29, 2021",TOR,SAC,A,48,126,43,78,55.1,16,36,44.4,24,31,77.4,11,27,38,31,22,7,5,25,2
"Jan 27, 2021",ORL,SAC,A,48,121,45,92,48.9,14,33,42.4,17,26,65.4,17,33,50,30,15,8,3,18,14
"Jan 22, 2021",SAC,NYK,H,48,103,38,91,41.8,12,34,35.3,15,21,71.4,12,43,55,21,6,6,14,25,9
