MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 16, 2021 - TOR vs. IND",L,48,113,39,97,40.2,12,38,31.6,23,29,79.3,16,32,48,21,12,8,3,12,-12
"May 14, 2021 - TOR @ DAL",L,48,110,42,85,49.4,13,38,34.2,13,17,76.5,4,40,44,19,12,7,5,18,-4
"May 13, 2021 - TOR @ CHI",L,48,102,40,90,44.4,12,36,33.3,10,18,55.6,7,25,32,24,11,16,1,14,-12
"May 11, 2021 - TOR vs. LAC",L,48,96,35,86,40.7,10,37,27.0,16,19,84.2,9,26,35,21,13,10,8,22,-19
"May 08, 2021 - TOR vs. MEM",L,48,99,36,94,38.3,10,32,31.3,17,24,70.8,13,33,46,18,12,10,2,21,-10
"May 06, 2021 - TOR vs. WAS",L,53,129,47,105,44.8,14,38,36.8,21,27,77.8,18,32,50,23,13,9,5,30,-2
"May 04, 2021 - TOR @ LAC",L,48,100,40,87,46.0,12,35,34.3,8,13,61.5,7,30,37,22,12,10,3,15,-5
"May 02, 2021 - TOR @ LAL",W,48,121,42,94,44.7,15,38,39.5,22,31,71.0,13,36,49,24,13,11,4,23,7
"May 01, 2021 - TOR @ UTA",L,48,102,42,94,44.7,12,33,36.4,6,9,66.7,11,28,39,26,10,12,3,15,-4
"Apr 29, 2021 - TOR @ DEN",L,48,111,40,83,48.2,16,32,50.0,15,18,83.3,7,29,36,27,16,10,6,19,-10
"Apr 27, 2021 - TOR vs. BKN",L,48,103,36,91,39.6,15,43,34.9,16,19,84.2,15,32,47,24,13,5,3,19,-13
"Apr 26, 2021 - TOR vs. CLE",W,48,112,43,79,54.4,8,29,27.6,18,20,90.0,5,35,40,32,13,7,5,19,16
"Apr 24, 2021 - TOR @ NYK",L,48,103,36,83,43.4,17,44,38.6,14,19,73.7,5,28,33,31,7,6,3,19,-17
"Apr 21, 2021 - TOR vs. BKN",W,48,114,39,90,43.3,18,47,38.3,18,21,85.7,9,39,48,23,11,7,8,20,11
"Apr 18, 2021 - TOR vs. OKC",W,48,112,37,96,38.5,17,38,44.7,21,24,87.5,16,31,47,23,15,9,5,15,6
"Apr 16, 2021 - TOR vs. ORL",W,48,113,41,82,50.0,14,35,40.0,17,18,94.4,8,34,42,24,17,6,10,24,11
"Apr 14, 2021 - TOR vs. SAS",W,48,117,41,88,46.6,14,30,46.7,21,25,84.0,13,41,54,21,16,8,5,19,5
"Apr 13, 2021 - TOR vs. ATL",L,48,103,42,88,47.7,10,39,25.6,9,13,69.2,6,36,42,16,13,7,4,19,-5
"Apr 11, 2021 - TOR @ NYK",L,48,96,33,79,41.8,11,34,32.4,19,23,82.6,5,35,40,19,17,8,7,23,-6
"Apr 10, 2021 - TOR @ CLE",W,48,135,53,86,61.6,17,32,53.1,12,14,85.7,5,34,39,29,19,12,11,18,20
"Apr 08, 2021 - TOR vs. CHI",L,48,113,42,97,43.3,11,34,32.4,18,22,81.8,15,26,41,19,10,10,4,20,-9
"Apr 06, 2021 - TOR vs. LAL",L,48,101,36,91,39.6,5,33,15.2,24,30,80.0,15,27,42,17,12,13,3,19,-9
"Apr 05, 2021 - TOR vs. WAS",W,48,103,44,94,46.8,7,33,21.2,8,11,72.7,6,39,45,22,13,11,9,20,2
"Apr 02, 2021 - TOR vs. GSW",W,48,130,47,88,53.4,15,35,42.9,21,25,84.0,10,43,53,26,12,14,8,17,53
"Mar 31, 2021 - TOR @ OKC",L,48,103,35,90,38.9,16,46,34.8,17,20,85.0,7,28,35,21,7,13,7,25,-10
"Mar 29, 2021 - TOR @ DET",L,48,104,35,86,40.7,11,36,30.6,23,28,82.1,11,28,39,21,13,5,6,25,-14
"Mar 28, 2021 - TOR vs. POR",L,48,117,39,87,44.8,14,42,33.3,25,33,75.8,12,33,45,17,13,3,6,20,-5
"Mar 26, 2021 - TOR vs. PHX",L,48,100,37,90,41.1,12,45,26.7,14,16,87.5,7,31,38,20,12,5,4,17,-4
"Mar 24, 2021 - TOR vs. DEN",W,48,135,45,89,50.6,24,48,50.0,21,23,91.3,9,36,45,31,10,3,6,21,24
"Mar 22, 2021 - TOR @ HOU",L,48,99,37,87,42.5,10,40,25.0,15,19,78.9,8,36,44,19,15,6,5,24,-18
"Mar 21, 2021 - TOR @ CLE",L,48,105,37,95,38.9,15,46,32.6,16,19,84.2,9,28,37,19,14,13,3,26,-11
"Mar 19, 2021 - TOR vs. UTA",L,48,112,40,83,48.2,21,44,47.7,11,14,78.6,3,28,31,31,11,9,4,28,-3
"Mar 17, 2021 - TOR @ DET",L,48,112,37,86,43.0,12,40,30.0,26,34,76.5,10,20,30,27,9,7,6,26,-4
"Mar 14, 2021 - TOR @ CHI",L,48,95,34,90,37.8,12,45,26.7,15,21,71.4,7,31,38,23,12,5,7,22,-23
"Mar 13, 2021 - TOR @ CHA",L,48,104,37,96,38.5,15,46,32.6,15,18,83.3,13,34,47,25,16,10,6,16,-10
"Mar 11, 2021 - TOR vs. ATL",L,48,120,42,96,43.8,17,37,45.9,19,23,82.6,13,37,50,23,14,8,4,25,-1
"Mar 04, 2021 - TOR @ BOS",L,48,125,45,91,49.5,21,50,42.0,14,17,82.4,8,20,28,36,14,6,1,25,-7
"Mar 03, 2021 - TOR vs. DET",L,48,105,34,77,44.2,12,36,33.3,25,30,83.3,7,27,34,17,14,6,5,20,-24
"Feb 26, 2021 - TOR vs. HOU",W,48,122,40,89,44.9,16,41,39.0,26,27,96.3,11,37,48,29,13,6,8,20,11
"Feb 24, 2021 - TOR @ MIA",L,48,108,37,74,50.0,20,44,45.5,14,17,82.4,3,29,32,30,16,5,3,25,-8
"Feb 23, 2021 - TOR vs. PHI",L,48,102,40,93,43.0,11,37,29.7,11,13,84.6,8,30,38,29,10,12,11,20,-7
"Feb 21, 2021 - TOR vs. PHI",W,48,110,40,81,49.4,14,34,41.2,16,18,88.9,5,34,39,25,14,5,5,24,7
"Feb 19, 2021 - TOR @ MIN",W,48,86,28,85,32.9,12,40,30.0,18,22,81.8,15,36,51,16,15,8,6,16,5
"Feb 18, 2021 - TOR @ MIL",W,48,110,38,78,48.7,12,35,34.3,22,23,95.7,2,35,37,26,9,6,6,21,14
"Feb 16, 2021 - TOR @ MIL",W,48,124,46,91,50.5,17,43,39.5,15,21,71.4,8,36,44,25,15,8,6,18,11
