Date,Home,Away,Winner (H/A),MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 16, 2021",SAC,UTA,A,48,121,41,86,47.7,18,39,46.2,21,25,84.0,9,41,50,28,16,9,3,14,22
"May 14, 2021",OKC,UTA,A,48,109,40,93,43.0,13,39,33.3,16,21,76.2,17,36,53,23,11,9,3,17,16
"May 12, 2021",UTA,POR,A,48,98,35,85,41.2,12,40,30.0,16,21,76.2,15,38,53,15,12,4,4,22,-7
"May 10, 2021",GSW,UTA,H,48,116,41,91,45.1,13,44,29.5,21,24,87.5,13,35,48,14,15,7,1,20,-3
"May 08, 2021",UTA,HOU,H,48,124,45,85,52.9,15,38,39.5,19,21,90.5,7,42,49,28,18,7,4,13,8
"May 07, 2021",UTA,DEN,H,48,127,43,89,48.3,21,46,45.7,20,23,87.0,9,29,38,27,12,9,3,20,7
"May 05, 2021",UTA,SAS,H,48,126,49,88,55.7,18,41,43.9,10,14,71.4,7,46,53,24,18,5,2,20,32
"May 03, 2021",UTA,SAS,H,48,110,44,88,50.0,11,36,30.6,11,16,68.8,14,36,50,22,16,10,5,11,11
"May 01, 2021",UTA,TOR,H,48,106,37,78,47.4,17,41,41.5,15,18,83.3,9,40,49,20,21,3,3,15,4
"Apr 30, 2021",PHX,UTA,H,48,100,35,80,43.8,14,39,35.9,16,18,88.9,8,28,36,22,14,8,5,17,-21
"Apr 28, 2021",SAC,UTA,A,48,154,55,86,64.0,24,41,58.5,20,21,95.2,8,39,47,36,14,4,9,15,49
"Apr 26, 2021",MIN,UTA,H,48,104,37,95,38.9,16,57,28.1,14,19,73.7,16,33,49,24,11,9,6,18,-1
"Apr 24, 2021",UTA,MIN,A,48,96,33,82,40.2,19,47,40.4,11,15,73.3,9,36,45,24,20,9,5,21,-5
"Apr 21, 2021",HOU,UTA,A,48,112,41,90,45.6,17,46,37.0,13,16,81.3,9,52,61,27,12,7,4,16,23
"Apr 19, 2021",LAL,UTA,A,48,111,43,75,57.3,15,33,45.5,10,11,90.9,2,40,42,29,17,5,5,20,14
