MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 10, 2022 - ATL @ HOU",W,48,130,45,87,51.7,21,38,55.3,19,24,79.2,13,37,50,29,13,4,4,19,16
"Apr 08, 2022 - ATL @ MIA",L,48,109,42,88,47.7,8,34,23.5,17,19,89.5,13,30,43,17,15,9,0,23,-4
"Apr 06, 2022 - ATL vs. WAS",W,48,118,43,92,46.7,16,39,41.0,16,19,84.2,7,32,39,26,6,11,1,13,15
"Apr 05, 2022 - ATL @ TOR",L,48,108,43,94,45.7,14,37,37.8,8,12,66.7,10,33,43,31,7,5,4,22,-10
"Apr 02, 2022 - ATL vs. BKN",W,48,122,36,86,41.9,13,41,31.7,37,49,75.5,10,44,54,18,7,10,4,18,7
"Mar 31, 2022 - ATL vs. CLE",W,48,131,45,91,49.5,17,39,43.6,24,28,85.7,12,36,48,27,9,7,4,22,24
"Mar 30, 2022 - ATL @ OKC",W,48,136,49,91,53.8,18,39,46.2,20,22,90.9,6,37,43,28,13,10,4,19,18
"Mar 28, 2022 - ATL @ IND",W,48,132,47,86,54.7,17,35,48.6,21,26,80.8,13,27,40,32,15,11,4,19,9
"Mar 25, 2022 - ATL vs. GSW",W,48,121,46,89,51.7,14,37,37.8,15,19,78.9,12,32,44,27,12,11,4,18,11
"Mar 23, 2022 - ATL @ DET",L,48,101,37,92,40.2,14,44,31.8,13,15,86.7,9,31,40,21,14,8,3,17,-21
"Mar 22, 2022 - ATL @ NYK",W,48,117,40,81,49.4,15,36,41.7,22,27,81.5,10,33,43,26,14,7,5,18,6
"Mar 20, 2022 - ATL vs. NOP",L,48,112,41,87,47.1,10,32,31.3,20,23,87.0,7,33,40,22,16,7,4,22,-5
"Mar 18, 2022 - ATL vs. MEM",W,48,120,45,91,49.5,13,28,46.4,17,21,81.0,7,33,40,28,10,12,6,20,15
"Mar 16, 2022 - ATL @ CHA",L,48,106,40,93,43.0,13,37,35.1,13,14,92.9,12,31,43,28,13,6,2,23,-10
"Mar 14, 2022 - ATL vs. POR",W,48,122,40,109,36.7,12,48,25.0,30,32,93.8,17,32,49,28,4,13,6,15,9
"Mar 13, 2022 - ATL vs. IND",W,48,131,46,84,54.8,17,38,44.7,22,24,91.7,9,27,36,27,12,9,3,21,3
"Mar 11, 2022 - ATL vs. LAC",W,48,112,43,90,47.8,9,31,29.0,17,19,89.5,15,32,47,28,10,5,3,19,6
"Mar 09, 2022 - ATL @ MIL",L,48,115,43,86,50.0,11,38,28.9,18,22,81.8,7,37,44,26,9,6,3,20,-9
"Mar 07, 2022 - ATL @ DET",L,53,110,42,93,45.2,11,38,28.9,15,22,68.2,13,35,48,28,14,3,6,25,-3
"Mar 04, 2022 - ATL @ WAS",W,48,117,38,91,41.8,13,36,36.1,28,34,82.4,13,26,39,18,4,6,5,16,3
"Mar 03, 2022 - ATL vs. CHI",W,48,130,44,84,52.4,18,40,45.0,24,28,85.7,8,25,33,26,6,7,3,15,6
"Mar 01, 2022 - ATL @ BOS",L,48,98,36,83,43.4,7,31,22.6,19,24,79.2,5,32,37,15,10,8,4,20,-9
"Feb 26, 2022 - ATL vs. TOR",W,48,127,48,83,57.8,13,31,41.9,18,22,81.8,5,40,45,27,12,8,8,19,27
"Feb 24, 2022 - ATL @ CHI",L,48,108,41,97,42.3,8,28,28.6,18,27,66.7,13,32,45,20,10,2,3,18,-4
"Feb 16, 2022 - ATL @ ORL",W,48,130,45,90,50.0,18,33,54.5,22,28,78.6,13,34,47,23,11,7,6,20,21
"Feb 15, 2022 - ATL vs. CLE",W,48,124,43,80,53.8,14,33,42.4,24,27,88.9,7,28,35,25,11,9,4,18,8
"Feb 13, 2022 - ATL @ BOS",L,48,95,34,93,36.6,12,38,31.6,15,15,100,11,37,48,18,13,6,3,22,-10
"Feb 11, 2022 - ATL vs. SAS",L,48,121,47,103,45.6,14,43,32.6,13,15,86.7,17,32,49,28,14,10,5,18,-15
"Feb 08, 2022 - ATL vs. IND",W,48,133,52,90,57.8,17,33,51.5,12,16,75.0,10,33,43,36,16,8,7,26,21
"Feb 06, 2022 - ATL @ DAL",L,48,94,37,95,38.9,5,25,20.0,15,16,93.8,15,35,50,21,12,7,4,18,-9
"Feb 04, 2022 - ATL @ TOR",L,48,114,43,93,46.2,9,29,31.0,19,21,90.5,13,27,40,27,9,12,4,16,-11
"Feb 03, 2022 - ATL vs. PHX",W,48,124,44,84,52.4,20,40,50.0,16,22,72.7,6,35,41,25,15,6,1,21,9
"Jan 31, 2022 - ATL vs. TOR",L,48,100,37,81,45.7,12,32,37.5,14,16,87.5,5,41,46,28,15,6,5,20,-6
"Jan 30, 2022 - ATL vs. LAL",W,48,129,49,84,58.3,10,31,32.3,21,32,65.6,8,37,45,31,12,7,0,21,8
"Jan 28, 2022 - ATL vs. BOS",W,48,108,41,89,46.1,12,31,38.7,14,20,70.0,9,34,43,19,12,10,11,21,16
"Jan 26, 2022 - ATL vs. SAC",W,48,121,48,90,53.3,12,36,33.3,13,17,76.5,6,42,48,29,9,9,2,18,17
"Jan 23, 2022 - ATL @ CHA",W,48,113,40,88,45.5,15,39,38.5,18,24,75.0,7,38,45,25,10,12,6,22,22
"Jan 21, 2022 - ATL vs. MIA",W,48,110,38,68,55.9,14,33,42.4,20,24,83.3,6,30,36,26,18,3,1,17,2
"Jan 19, 2022 - ATL vs. MIN",W,48,134,45,86,52.3,15,38,39.5,29,33,87.9,8,31,39,34,12,7,9,23,12
"Jan 17, 2022 - ATL vs. MIL",W,48,121,38,86,44.2,15,36,41.7,30,32,93.8,10,36,46,25,13,7,8,18,7
"Jan 15, 2022 - ATL vs. NYK",L,48,108,40,80,50.0,16,44,36.4,12,17,70.6,4,27,31,23,9,5,5,20,-9
"Jan 14, 2022 - ATL @ MIA",L,48,118,38,79,48.1,16,38,42.1,26,30,86.7,9,25,34,26,16,6,6,27,-6
"Jan 12, 2022 - ATL vs. MIA",L,48,91,31,82,37.8,13,45,28.9,16,23,69.6,6,31,37,20,14,8,3,15,-24
"Jan 09, 2022 - ATL @ LAC",L,48,93,35,78,44.9,7,26,26.9,16,19,84.2,6,33,39,19,13,6,2,14,-13
