Date,Home,Away,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 10, 2022",BKN,IND,W,48,134,52,81,64.2,8,22,36.4,22,25,88.0,8,42,50,30,21,5,6,16,8
"Apr 08, 2022",BKN,CLE,W,48,118,43,92,46.7,12,32,37.5,20,21,95.2,13,32,45,30,11,5,8,20,11
"Apr 06, 2022",NYK,BKN,W,48,110,41,93,44.1,14,41,34.1,14,18,77.8,13,36,49,28,14,7,6,26,12
"Apr 05, 2022",BKN,HOU,W,48,118,39,86,45.3,15,37,40.5,25,27,92.6,12,40,52,22,17,6,9,23,13
"Apr 02, 2022",ATL,BKN,L,48,115,42,99,42.4,17,37,45.9,14,19,73.7,10,42,52,17,13,5,3,29,-7
"Mar 31, 2022",BKN,MIL,L,53,119,45,97,46.4,18,37,48.6,11,16,68.8,5,36,41,31,16,12,7,25,-1
"Mar 29, 2022",BKN,DET,W,48,130,42,76,55.3,15,28,53.6,31,34,91.2,8,33,41,24,19,9,6,19,7
"Mar 27, 2022",BKN,CHA,L,48,110,43,97,44.3,7,34,20.6,17,26,65.4,14,36,50,30,11,9,11,20,-9
"Mar 26, 2022",MIA,BKN,W,48,110,39,83,47.0,11,33,33.3,21,26,80.8,11,29,40,26,17,15,5,22,15
"Mar 23, 2022",MEM,BKN,L,48,120,43,87,49.4,9,25,36.0,25,27,92.6,10,29,39,18,14,6,10,20,-12
"Mar 21, 2022",BKN,UTA,W,48,114,45,83,54.2,11,30,36.7,13,15,86.7,7,34,41,31,14,5,4,19,8
"Mar 18, 2022",BKN,POR,W,48,128,45,77,58.4,10,25,40.0,28,33,84.8,13,32,45,24,21,7,4,22,5
"Mar 16, 2022",BKN,DAL,L,48,111,45,91,49.5,9,26,34.6,12,15,80.0,19,26,45,28,11,2,2,21,-2
"Mar 15, 2022",ORL,BKN,W,48,150,53,88,60.2,16,27,59.3,28,34,82.4,7,41,48,35,13,9,4,23,42
"Mar 13, 2022",BKN,NYK,W,48,110,44,89,49.4,6,29,20.7,16,22,72.7,12,27,39,30,14,11,3,19,3
"Mar 10, 2022",PHI,BKN,W,48,129,51,91,56.0,18,40,45.0,9,17,52.9,10,35,45,29,12,13,15,22,29
"Mar 08, 2022",CHA,BKN,W,48,132,46,82,56.1,18,35,51.4,22,29,75.9,6,32,38,33,16,8,4,20,11
"Mar 06, 2022",BOS,BKN,L,48,120,45,89,50.6,12,27,44.4,18,20,90.0,12,33,45,24,16,6,4,26,-6
"Mar 03, 2022",BKN,MIA,L,48,107,39,83,47.0,12,31,38.7,17,22,77.3,7,23,30,24,13,5,5,24,-6
"Mar 01, 2022",TOR,BKN,L,48,108,42,84,50.0,10,25,40.0,14,19,73.7,7,30,37,21,12,3,5,21,-1
"Feb 28, 2022",BKN,TOR,L,48,97,33,86,38.4,12,35,34.3,19,24,79.2,14,31,45,23,23,4,5,20,-36
"Feb 26, 2022",MIL,BKN,W,48,126,44,92,47.8,13,34,38.2,25,33,75.8,12,28,40,24,9,7,5,24,3
"Feb 24, 2022",BKN,BOS,L,48,106,39,94,41.5,7,29,24.1,21,28,75.0,8,30,38,25,11,8,4,16,-23
"Feb 17, 2022",BKN,WAS,L,48,103,36,89,40.4,14,38,36.8,17,24,70.8,15,27,42,19,16,6,5,20,-14
"Feb 16, 2022",NYK,BKN,W,48,111,43,98,43.9,11,34,32.4,14,23,60.9,16,35,51,21,9,5,1,16,5
"Feb 14, 2022",BKN,SAC,W,48,109,43,84,51.2,9,26,34.6,14,15,93.3,6,43,49,25,18,7,5,22,24
"Feb 12, 2022",MIA,BKN,L,48,111,42,93,45.2,12,40,30.0,15,22,68.2,9,32,41,16,8,12,2,27,-4
"Feb 10, 2022",WAS,BKN,L,48,112,39,84,46.4,10,29,34.5,24,28,85.7,12,30,42,19,10,6,3,21,-1
"Feb 08, 2022",BKN,BOS,L,48,91,38,99,38.4,10,36,27.8,5,13,38.5,15,25,40,22,14,6,4,18,-35
"Feb 06, 2022",DEN,BKN,L,48,104,36,87,41.4,16,41,39.0,16,22,72.7,8,28,36,24,10,8,9,19,-20
"Feb 04, 2022",UTA,BKN,L,48,102,41,99,41.4,12,34,35.3,8,11,72.7,16,26,42,25,10,10,2,12,-23
"Feb 02, 2022",SAC,BKN,L,48,101,41,84,48.8,8,25,32.0,11,14,78.6,10,30,40,22,13,7,12,16,-11
"Feb 01, 2022",PHX,BKN,L,48,111,40,81,49.4,16,40,40.0,15,21,71.4,6,27,33,25,12,7,1,27,-10
"Jan 29, 2022",GSW,BKN,L,48,106,39,98,39.8,11,28,39.3,17,21,81.0,18,34,52,21,11,7,10,15,-4
"Jan 26, 2022",BKN,DEN,L,48,118,43,88,48.9,12,29,41.4,20,26,76.9,6,32,38,26,12,6,3,25,-6
"Jan 25, 2022",BKN,LAL,L,48,96,37,88,42.0,7,27,25.9,15,22,68.2,18,36,54,20,19,5,2,12,-10
"Jan 23, 2022",MIN,BKN,L,48,125,48,95,50.5,15,38,39.5,14,15,93.3,16,32,48,27,19,4,1,29,-11
"Jan 21, 2022",SAS,BKN,W,48,117,48,100,48.0,9,25,36.0,12,12,100,12,41,53,24,8,3,5,17,15
"Jan 19, 2022",WAS,BKN,W,48,119,47,89,52.8,8,25,32.0,17,20,85.0,7,29,36,23,15,5,4,25,1
"Jan 17, 2022",CLE,BKN,L,48,107,41,83,49.4,12,30,40.0,13,18,72.2,8,27,35,27,14,11,4,22,-7
