Date,Home,Away,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 10, 2022",MIN,CHI,W,48,124,44,83,53.0,10,21,47.6,26,33,78.8,16,32,48,22,23,9,3,22,4
"Apr 08, 2022",CHI,CHA,L,48,117,44,82,53.7,13,24,54.2,16,20,80.0,6,25,31,25,12,7,1,12,-16
"Apr 06, 2022",CHI,BOS,L,48,94,35,80,43.8,7,23,30.4,17,23,73.9,7,33,40,19,17,7,4,22,-23
"Apr 05, 2022",CHI,MIL,L,48,106,42,98,42.9,9,33,27.3,13,13,100,13,29,42,22,15,8,2,21,-21
"Apr 02, 2022",CHI,MIA,L,48,109,37,86,43.0,9,34,26.5,26,29,89.7,11,28,39,21,6,5,4,19,-18
"Mar 31, 2022",CHI,LAC,W,53,135,50,102,49.0,10,29,34.5,25,32,78.1,13,37,50,24,8,6,3,17,5
"Mar 29, 2022",WAS,CHI,W,48,107,43,85,50.6,6,18,33.3,15,18,83.3,6,30,36,26,9,9,1,14,13
"Mar 28, 2022",NYK,CHI,L,48,104,34,79,43.0,6,23,26.1,30,33,90.9,6,41,47,16,14,6,3,24,-5
"Mar 26, 2022",CLE,CHI,W,48,98,36,75,48.0,5,21,23.8,21,25,84.0,6,31,37,23,15,6,1,21,4
"Mar 24, 2022",NOP,CHI,L,48,109,40,78,51.3,14,34,41.2,15,19,78.9,4,29,33,25,15,5,4,24,-17
"Mar 22, 2022",MIL,CHI,L,48,98,39,92,42.4,13,33,39.4,7,13,53.8,5,28,33,21,7,9,4,12,-28
"Mar 21, 2022",CHI,TOR,W,48,113,44,90,48.9,11,28,39.3,14,24,58.3,14,28,42,28,6,6,7,14,14
"Mar 18, 2022",PHX,CHI,L,48,102,35,85,41.2,7,27,25.9,25,31,80.6,13,24,37,20,11,6,0,18,-27
"Mar 16, 2022",UTA,CHI,L,48,110,43,91,47.3,12,34,35.3,12,17,70.6,5,32,37,28,12,10,2,22,-15
"Mar 14, 2022",SAC,CHI,L,48,103,36,88,40.9,10,34,29.4,21,22,95.5,9,31,40,22,15,5,5,20,-9
"Mar 12, 2022",CHI,CLE,W,48,101,39,88,44.3,9,21,42.9,14,15,93.3,8,38,46,20,14,12,5,18,10
"Mar 09, 2022",DET,CHI,W,48,114,40,76,52.6,3,15,20.0,31,35,88.6,2,31,33,19,11,13,0,15,6
"Mar 07, 2022",PHI,CHI,L,48,106,39,87,44.8,8,24,33.3,20,26,76.9,14,34,48,22,13,5,4,24,-15
"Mar 04, 2022",CHI,MIL,L,48,112,47,94,50.0,10,26,38.5,8,11,72.7,5,35,40,25,12,5,2,23,-6
"Mar 03, 2022",ATL,CHI,L,48,124,52,88,59.1,14,26,53.8,6,7,85.7,5,27,32,30,14,5,2,19,-6
"Feb 28, 2022",MIA,CHI,L,48,99,41,84,48.8,7,29,24.1,10,15,66.7,5,33,38,23,16,9,4,24,-13
"Feb 26, 2022",CHI,MEM,L,48,110,39,93,41.9,9,20,45.0,23,30,76.7,6,35,41,17,10,9,3,17,-6
"Feb 24, 2022",CHI,ATL,W,48,112,41,84,48.8,8,27,29.6,22,27,81.5,6,37,43,16,9,5,8,20,4
"Feb 16, 2022",CHI,SAC,W,48,125,47,94,50.0,12,29,41.4,19,20,95.0,13,34,47,25,13,8,2,16,7
"Feb 14, 2022",CHI,SAS,W,48,120,46,88,52.3,10,24,41.7,18,21,85.7,10,43,53,25,16,3,3,19,11
"Feb 12, 2022",CHI,OKC,W,48,106,40,89,44.9,7,25,28.0,19,23,82.6,11,46,57,20,13,6,3,19,5
