Date,Home,Away,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 10, 2022",DAL,SAS,W,48,130,46,85,54.1,20,36,55.6,18,23,78.3,10,33,43,34,16,5,3,16,10
"Apr 08, 2022",DAL,POR,W,48,128,42,79,53.2,20,45,44.4,24,31,77.4,9,42,51,25,15,9,5,19,50
"Apr 06, 2022",DET,DAL,W,48,131,45,80,56.3,15,33,45.5,26,34,76.5,8,33,41,28,10,8,1,24,18
"Apr 03, 2022",MIL,DAL,W,48,118,39,76,51.3,16,38,42.1,24,27,88.9,2,36,38,28,14,7,3,20,6
"Apr 01, 2022",WAS,DAL,L,48,103,34,78,43.6,11,38,28.9,24,26,92.3,5,31,36,14,13,3,3,16,-32
"Mar 30, 2022",CLE,DAL,W,48,120,46,88,52.3,16,42,38.1,12,15,80.0,9,29,38,28,12,6,6,17,8
"Mar 29, 2022",DAL,LAL,W,48,128,45,87,51.7,20,46,43.5,18,23,78.3,11,35,46,27,8,5,1,14,18
"Mar 27, 2022",DAL,UTA,W,48,114,40,77,51.9,17,34,50.0,17,24,70.8,10,35,45,21,10,3,2,13,14
"Mar 25, 2022",MIN,DAL,L,48,95,35,90,38.9,10,43,23.3,15,19,78.9,10,35,45,21,11,4,5,19,-21
"Mar 23, 2022",DAL,HOU,W,48,110,42,86,48.8,8,33,24.2,18,22,81.8,8,34,42,24,13,9,1,24,19
"Mar 21, 2022",DAL,MIN,W,48,110,40,83,48.2,14,46,30.4,16,21,76.2,7,40,47,27,12,5,3,21,2
"Mar 19, 2022",CHA,DAL,L,48,108,39,89,43.8,14,38,36.8,16,20,80.0,12,32,44,18,15,4,4,26,-21
"Mar 18, 2022",PHI,DAL,L,48,101,37,80,46.3,12,32,37.5,15,21,71.4,11,29,40,21,12,4,3,17,-10
