Date,Home,Away,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 10, 2022",DEN,LAL,L,53,141,49,100,49.0,15,47,31.9,28,36,77.8,11,34,45,33,14,10,7,34,-5
"Apr 07, 2022",DEN,MEM,W,48,122,44,80,55.0,12,30,40.0,22,25,88.0,8,35,43,27,19,7,2,22,13
"Apr 05, 2022",DEN,SAS,L,48,97,41,98,41.8,7,33,21.2,8,12,66.7,10,41,51,22,11,4,2,19,-19
"Apr 03, 2022",LAL,DEN,W,48,129,47,82,57.3,12,31,38.7,23,29,79.3,6,32,38,33,12,10,5,18,11
"Apr 01, 2022",DEN,MIN,L,48,130,46,86,53.5,12,35,34.3,26,29,89.7,10,34,44,36,18,7,2,23,-6
"Mar 30, 2022",IND,DEN,W,48,125,50,80,62.5,12,28,42.9,13,14,92.9,8,35,43,33,20,6,4,20,7
"Mar 28, 2022",CHA,DEN,W,48,113,40,86,46.5,12,33,36.4,21,28,75.0,17,34,51,29,16,7,3,17,4
"Mar 26, 2022",DEN,OKC,W,48,113,41,85,48.2,8,31,25.8,23,24,95.8,10,37,47,33,15,11,5,19,6
"Mar 24, 2022",DEN,PHX,L,48,130,48,81,59.3,15,32,46.9,19,27,70.4,10,27,37,27,17,5,2,22,-10
"Mar 22, 2022",DEN,LAC,W,48,127,45,83,54.2,16,32,50.0,21,23,91.3,6,34,40,31,11,4,5,19,12
"Mar 20, 2022",DEN,BOS,L,48,104,35,87,40.2,14,39,35.9,20,25,80.0,13,28,41,22,11,4,3,15,-20
"Mar 18, 2022",CLE,DEN,L,53,116,46,92,50.0,10,33,30.3,14,18,77.8,13,38,51,35,19,6,3,24,-3
"Mar 16, 2022",WAS,DEN,W,48,127,46,90,51.1,15,37,40.5,20,21,95.2,8,33,41,30,10,7,3,25,18
"Mar 14, 2022",PHI,DEN,W,48,114,44,82,53.7,13,33,39.4,13,20,65.0,6,36,42,29,14,8,3,24,4
"Mar 12, 2022",DEN,TOR,L,48,115,43,78,55.1,11,27,40.7,18,24,75.0,9,30,39,32,19,4,5,23,-12
"Mar 10, 2022",DEN,GSW,L,48,102,35,84,41.7,7,31,22.6,25,32,78.1,12,37,49,19,13,5,6,20,-11
"Mar 09, 2022",SAC,DEN,W,48,106,40,82,48.8,9,35,25.7,17,19,89.5,10,41,51,26,20,11,3,20,6
"Mar 07, 2022",DEN,GSW,W,48,131,46,84,54.8,10,32,31.3,29,41,70.7,7,34,41,39,9,8,5,25,7
"Mar 06, 2022",DEN,NOP,W,53,138,47,87,54.0,10,33,30.3,34,43,79.1,10,37,47,32,15,7,8,26,8
"Mar 04, 2022",DEN,HOU,W,48,116,39,86,45.3,13,33,39.4,25,31,80.6,10,31,41,27,10,10,4,21,15
"Mar 02, 2022",DEN,OKC,L,48,107,40,90,44.4,12,46,26.1,15,17,88.2,10,37,47,25,16,11,2,19,-12
"Feb 27, 2022",POR,DEN,W,48,124,44,86,51.2,12,37,32.4,24,31,77.4,8,47,55,28,15,9,5,20,32
"Feb 26, 2022",DEN,SAC,W,48,115,38,82,46.3,16,43,37.2,23,29,79.3,4,41,45,29,15,5,2,25,5
"Feb 24, 2022",SAC,DEN,W,48,128,48,86,55.8,15,35,42.9,17,20,85.0,3,36,39,30,17,12,4,24,18
"Feb 16, 2022",GSW,DEN,W,48,117,43,91,47.3,14,36,38.9,17,21,81.0,12,36,48,27,19,5,1,18,1
"Feb 14, 2022",DEN,ORL,W,48,121,42,88,47.7,16,40,40.0,21,23,91.3,12,40,52,25,23,7,2,18,10
"Feb 12, 2022",TOR,DEN,W,48,110,39,84,46.4,14,37,37.8,18,21,85.7,12,38,50,28,18,5,3,16,1
"Feb 11, 2022",BOS,DEN,L,48,102,39,90,43.3,11,44,25.0,13,18,72.2,12,40,52,23,21,7,6,22,-6
"Feb 08, 2022",DEN,NYK,W,48,132,46,85,54.1,16,39,41.0,24,31,77.4,12,40,52,31,13,5,1,18,17
"Feb 06, 2022",DEN,BKN,W,48,124,49,94,52.1,10,32,31.3,16,21,76.2,11,44,55,37,11,7,2,20,20
"Feb 04, 2022",DEN,NOP,L,48,105,35,78,44.9,19,41,46.3,16,17,94.1,7,24,31,22,15,9,4,20,-8
"Feb 02, 2022",UTA,DEN,L,48,104,42,79,53.2,11,28,39.3,9,12,75.0,7,32,39,24,14,5,7,20,-4
"Feb 01, 2022",MIN,DEN,L,48,115,38,89,42.7,14,44,31.8,25,28,89.3,10,36,46,27,12,7,4,17,-15
"Jan 30, 2022",MIL,DEN,W,48,136,53,88,60.2,23,43,53.5,7,10,70.0,6,35,41,39,10,8,3,15,36
"Jan 28, 2022",NOP,DEN,W,48,116,41,82,50.0,12,33,36.4,22,25,88.0,9,34,43,29,21,9,4,22,11
"Jan 26, 2022",BKN,DEN,W,48,124,42,89,47.2,15,36,41.7,25,27,92.6,12,36,48,27,13,8,2,21,6
"Jan 25, 2022",DET,DEN,W,48,110,36,84,42.9,11,32,34.4,27,31,87.1,16,40,56,25,25,7,1,17,5
"Jan 23, 2022",DEN,DET,W,48,117,44,85,51.8,12,35,34.3,17,23,73.9,8,26,34,29,13,8,1,22,6
"Jan 21, 2022",DEN,MEM,L,48,118,43,91,47.3,13,32,40.6,19,23,82.6,10,27,37,34,13,6,6,25,-4
"Jan 19, 2022",DEN,LAC,W,53,130,48,98,49.0,13,38,34.2,21,25,84.0,13,31,44,32,12,9,3,15,2
"Jan 16, 2022",DEN,UTA,L,48,102,42,95,44.2,11,43,25.6,7,8,87.5,6,33,39,32,9,5,2,22,-23
"Jan 15, 2022",DEN,LAL,W,48,133,47,91,51.6,23,40,57.5,16,17,94.1,9,42,51,35,6,9,2,17,37
"Jan 13, 2022",DEN,POR,W,48,140,52,83,62.7,21,42,50.0,15,20,75.0,6,34,40,35,16,7,3,25,32
"Jan 11, 2022",LAC,DEN,L,48,85,32,80,40.0,4,33,12.1,17,20,85.0,13,43,56,24,20,4,2,19,-2
"Jan 09, 2022",OKC,DEN,W,48,99,37,89,41.6,13,36,36.1,12,16,75.0,18,35,53,28,15,7,2,14,4
"Jan 07, 2022",DEN,SAC,W,48,121,47,85,55.3,12,34,35.3,15,24,62.5,5,36,41,32,8,5,7,20,10
"Jan 05, 2022",DEN,UTA,L,48,109,42,88,47.7,11,36,30.6,14,15,93.3,6,36,42,27,12,2,4,21,-6
"Jan 03, 2022",DAL,DEN,L,48,89,31,67,46.3,6,25,24.0,21,29,72.4,11,36,47,21,26,6,1,24,-14
"Jan 01, 2022",HOU,DEN,W,48,124,46,86,53.5,10,32,31.3,22,27,81.5,13,33,46,33,18,10,6,23,13
"Dec 28, 2021",GSW,DEN,W,48,89,34,83,41.0,8,33,24.2,13,20,65.0,13,31,44,24,16,10,5,19,3
"Dec 26, 2021",LAC,DEN,W,48,103,39,95,41.1,15,41,36.6,10,11,90.9,10,38,48,29,14,7,4,20,3
"Dec 23, 2021",DEN,CHA,L,48,107,40,96,41.7,14,40,35.0,13,17,76.5,10,44,54,23,15,7,2,22,-8
"Dec 22, 2021",OKC,DEN,L,48,94,33,84,39.3,13,44,29.5,15,26,57.7,4,35,39,21,11,7,5,18,-14
"Dec 17, 2021",ATL,DEN,W,48,133,50,86,58.1,17,38,44.7,16,18,88.9,4,34,38,35,17,9,7,22,18
"Dec 15, 2021",DEN,MIN,L,48,107,38,84,45.2,14,39,35.9,17,23,73.9,9,33,42,33,18,5,3,15,-17
"Dec 13, 2021",DEN,WAS,W,48,113,37,79,46.8,10,32,31.3,29,33,87.9,4,45,49,26,13,8,2,19,6
"Dec 11, 2021",SAS,DEN,W,48,127,47,93,50.5,20,43,46.5,13,14,92.9,10,31,41,33,12,9,8,25,15
"Dec 09, 2021",SAS,DEN,L,48,111,42,94,44.7,15,39,38.5,12,13,92.3,5,28,33,29,9,7,5,21,-12
"Dec 08, 2021",NOP,DEN,W,53,120,45,88,51.1,9,32,28.1,21,27,77.8,5,28,33,28,12,12,4,19,6
"Dec 06, 2021",CHI,DEN,L,48,97,38,96,39.6,11,32,34.4,10,15,66.7,11,39,50,30,11,5,2,17,-12
"Dec 04, 2021",NYK,DEN,W,48,113,44,84,52.4,20,43,46.5,5,5,100,8,34,42,30,13,10,5,19,14
"Dec 01, 2021",ORL,DEN,L,48,103,39,80,48.8,10,34,29.4,15,21,71.4,1,34,35,22,15,5,4,19,-5
"Nov 29, 2021",MIA,DEN,W,48,120,43,74,58.1,18,35,51.4,16,21,76.2,5,30,35,32,13,2,1,18,9
"Nov 26, 2021",DEN,MIL,L,48,109,40,92,43.5,17,47,36.2,12,14,85.7,9,22,31,24,8,9,2,19,-11
