Date,Home,Away,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 10, 2022",PHI,DET,L,48,106,38,83,45.8,11,34,32.4,19,29,65.5,15,27,42,26,20,4,4,16,-12
"Apr 08, 2022",DET,MIL,L,48,101,35,90,38.9,10,48,20.8,21,23,91.3,9,34,43,27,14,6,5,22,-30
"Apr 06, 2022",DET,DAL,L,48,113,35,82,42.7,11,30,36.7,32,35,91.4,11,31,42,26,11,7,5,21,-18
"Apr 03, 2022",IND,DET,W,48,121,43,99,43.4,21,41,51.2,14,18,77.8,10,28,38,31,12,11,4,19,4
"Apr 01, 2022",OKC,DET,W,48,110,40,94,42.6,15,48,31.3,15,18,83.3,8,36,44,29,8,9,8,20,9
"Mar 31, 2022",DET,PHI,W,48,102,41,82,50.0,10,35,28.6,10,15,66.7,5,33,38,26,10,11,4,21,8
"Mar 29, 2022",BKN,DET,L,48,123,48,99,48.5,16,38,42.1,11,13,84.6,16,23,39,28,14,11,4,25,-7
"Mar 27, 2022",DET,NYK,L,48,102,39,85,45.9,8,29,27.6,16,18,88.9,9,28,37,23,10,8,5,21,-2
"Mar 25, 2022",DET,WAS,L,48,97,39,95,41.1,6,32,18.8,13,14,92.9,10,38,48,19,15,9,8,20,-3
"Mar 23, 2022",DET,ATL,W,48,122,44,88,50.0,12,33,36.4,22,25,88.0,9,45,54,30,16,10,4,19,21
"Mar 21, 2022",DET,POR,L,48,115,36,85,42.4,9,35,25.7,34,41,82.9,12,36,48,22,20,8,5,34,-4
"Mar 19, 2022",CLE,DET,L,48,109,41,85,48.2,13,30,43.3,14,19,73.7,10,28,38,23,16,10,6,22,-4
"Mar 17, 2022",ORL,DET,W,48,134,47,94,50.0,20,43,46.5,20,31,64.5,10,35,45,34,9,11,3,21,14
"Mar 15, 2022",MIA,DET,L,48,98,37,80,46.3,10,34,29.4,14,22,63.6,6,33,39,23,13,6,5,30,-7
"Mar 13, 2022",DET,LAC,L,48,102,36,80,45.0,12,29,41.4,18,20,90.0,8,36,44,23,10,3,4,18,-4
"Mar 11, 2022",BOS,DET,L,48,103,35,83,42.2,10,34,29.4,23,24,95.8,11,31,42,21,14,4,4,22,-11
"Mar 09, 2022",DET,CHI,L,48,108,42,82,51.2,11,31,35.5,13,17,76.5,5,27,32,25,16,6,3,25,-6
"Mar 07, 2022",DET,ATL,W,53,113,43,93,46.2,12,33,36.4,15,23,65.2,15,32,47,27,14,7,2,27,3
"Mar 04, 2022",DET,IND,W,48,111,42,94,44.7,15,30,50.0,12,18,66.7,19,33,52,28,13,5,9,22,5
"Mar 03, 2022",TOR,DET,W,48,108,38,84,45.2,11,37,29.7,21,28,75.0,11,31,42,25,10,4,5,29,2
"Mar 01, 2022",WAS,DET,L,48,113,43,90,47.8,8,27,29.6,19,23,82.6,14,29,43,23,12,9,3,21,-3
"Feb 27, 2022",CHA,DET,W,53,127,50,110,45.5,14,40,35.0,13,18,72.2,22,32,54,30,15,10,3,29,1
"Feb 26, 2022",DET,BOS,L,48,104,39,87,44.8,7,27,25.9,19,22,86.4,10,31,41,18,14,4,4,22,-9
"Feb 24, 2022",DET,CLE,W,48,106,35,86,40.7,11,34,32.4,25,28,89.3,13,36,49,23,11,8,8,24,3
"Feb 16, 2022",BOS,DET,W,48,112,43,93,46.2,16,30,53.3,10,13,76.9,18,29,47,28,17,9,1,17,1
"Feb 14, 2022",WAS,DET,L,48,94,32,85,37.6,8,23,34.8,22,27,81.5,13,31,44,19,12,7,3,19,-9
"Feb 11, 2022",DET,CHA,L,48,119,48,102,47.1,12,35,34.3,11,18,61.1,16,29,45,32,18,10,6,20,-22
"Feb 10, 2022",DET,MEM,L,48,107,41,94,43.6,7,35,20.0,18,21,85.7,10,30,40,27,10,4,7,29,-25
"Feb 08, 2022",DAL,DET,L,48,86,33,87,37.9,5,30,16.7,15,22,68.2,13,32,45,20,15,5,2,24,-30
"Feb 06, 2022",MIN,DET,L,48,105,40,95,42.1,12,32,37.5,13,19,68.4,14,33,47,28,11,6,9,22,-13
"Feb 04, 2022",DET,BOS,L,48,93,34,104,32.7,10,26,38.5,15,20,75.0,20,36,56,18,11,5,4,24,-9
"Feb 03, 2022",DET,MIN,L,48,117,40,91,44.0,15,46,32.6,22,28,78.6,13,32,45,27,16,3,6,24,-11
"Feb 01, 2022",DET,NOP,L,48,101,41,84,48.8,8,32,25.0,11,14,78.6,6,29,35,21,19,7,3,25,-10
"Jan 30, 2022",DET,CLE,W,48,115,42,91,46.2,10,26,38.5,21,25,84.0,16,32,48,26,9,7,4,21,10
"Jan 28, 2022",ORL,DET,L,48,103,32,87,36.8,10,29,34.5,29,37,78.4,14,27,41,23,10,10,9,24,-16
"Jan 25, 2022",DET,DEN,L,48,105,41,97,42.3,12,36,33.3,11,14,78.6,9,27,36,25,9,14,5,25,-5
"Jan 23, 2022",DEN,DET,L,48,111,42,75,56.0,11,29,37.9,16,19,84.2,4,30,34,28,22,4,5,29,-6
"Jan 21, 2022",UTA,DET,L,48,101,38,87,43.7,13,32,40.6,12,16,75.0,9,31,40,22,11,6,4,24,-10
"Jan 19, 2022",SAC,DET,W,48,133,46,91,50.5,15,36,41.7,26,30,86.7,13,28,41,27,9,3,6,26,2
"Jan 18, 2022",GSW,DET,L,48,86,30,85,35.3,9,34,26.5,17,24,70.8,11,39,50,18,16,4,5,23,-16
"Jan 16, 2022",DET,PHX,L,48,108,38,82,46.3,9,25,36.0,23,34,67.6,5,27,32,25,11,6,2,20,-27
"Jan 14, 2022",DET,TOR,W,48,103,38,81,46.9,8,27,29.6,19,23,82.6,9,34,43,22,8,7,6,25,16
"Jan 11, 2022",CHI,DET,L,48,87,30,89,33.7,6,35,17.1,21,27,77.8,15,26,41,17,18,9,7,20,-46
"Jan 10, 2022",DET,UTA,W,48,126,48,93,51.6,19,37,51.4,11,12,91.7,9,30,39,30,12,9,7,20,10
"Jan 08, 2022",DET,ORL,W,48,97,38,87,43.7,10,33,30.3,11,16,68.8,7,42,49,23,13,7,6,21,5
"Jan 06, 2022",MEM,DET,L,48,88,34,99,34.3,10,44,22.7,10,13,76.9,10,29,39,23,13,7,3,14,-30
"Jan 05, 2022",CHA,DET,L,48,111,43,92,46.7,14,42,33.3,11,20,55.0,9,27,36,26,13,12,3,21,-29
"Jan 03, 2022",MIL,DET,W,48,115,44,91,48.4,18,43,41.9,9,14,64.3,9,38,47,31,14,6,1,21,9
"Jan 01, 2022",DET,SAS,W,53,117,41,101,40.6,9,35,25.7,26,33,78.8,22,41,63,18,21,12,6,23,1
"Dec 29, 2021",DET,NYK,L,48,85,30,81,37.0,12,35,34.3,13,17,76.5,8,35,43,19,17,11,5,23,-9
"Dec 26, 2021",SAS,DET,L,48,109,38,98,38.8,8,32,25.0,25,34,73.5,14,28,42,16,14,10,5,30,-35
"Dec 23, 2021",MIA,DET,L,48,112,36,80,45.0,18,40,45.0,22,25,88.0,6,37,43,23,16,9,5,25,-3
"Dec 21, 2021",NYK,DET,L,48,91,34,94,36.2,8,33,24.2,15,19,78.9,10,38,48,22,14,9,4,18,-14
"Dec 19, 2021",DET,MIA,W,48,100,35,75,46.7,8,32,25.0,22,30,73.3,6,41,47,24,15,4,2,28,10
"Dec 18, 2021",DET,HOU,L,48,107,43,93,46.2,10,36,27.8,11,16,68.8,15,27,42,29,21,8,6,24,-9
"Dec 16, 2021",IND,DET,L,48,113,40,81,49.4,7,25,28.0,26,30,86.7,6,31,37,20,12,6,4,23,-9
"Dec 12, 2021",DET,BKN,L,48,104,39,92,42.4,14,37,37.8,12,18,66.7,8,32,40,24,21,11,5,22,-12
"Dec 10, 2021",NOP,DET,L,48,93,35,90,38.9,12,37,32.4,11,12,91.7,7,31,38,22,13,7,6,15,-16
"Dec 08, 2021",DET,WAS,L,53,116,37,79,46.8,13,24,54.2,29,35,82.9,7,30,37,22,16,9,4,26,-3
"Dec 06, 2021",DET,OKC,L,48,103,41,99,41.4,16,41,39.0,5,6,83.3,16,36,52,21,17,8,7,26,-11
"Dec 02, 2021",PHX,DET,L,48,103,36,80,45.0,11,27,40.7,20,26,76.9,7,29,36,20,13,6,6,22,-11
"Nov 30, 2021",POR,DET,L,48,92,29,76,38.2,9,35,25.7,25,30,83.3,7,38,45,17,19,4,7,20,-18
"Nov 28, 2021",LAL,DET,L,48,106,38,89,42.7,13,33,39.4,17,19,89.5,12,41,53,29,17,5,4,20,-4
"Nov 26, 2021",LAC,DET,L,48,96,33,90,36.7,8,33,24.2,22,26,84.6,13,39,52,17,15,8,4,19,-11
"Nov 24, 2021",MIL,DET,L,48,93,34,95,35.8,11,45,24.4,14,19,73.7,9,35,44,16,9,7,1,18,-21
"Nov 23, 2021",DET,MIA,L,48,92,35,84,41.7,10,38,26.3,12,14,85.7,9,26,35,22,15,7,1,23,-8
"Nov 21, 2021",DET,LAL,L,48,116,43,97,44.3,14,40,35.0,16,21,76.2,8,31,39,27,11,7,6,24,-5
"Nov 19, 2021",DET,GSW,L,48,102,32,80,40.0,14,42,33.3,24,30,80.0,11,24,35,21,13,11,7,22,-3
"Nov 17, 2021",DET,IND,W,48,97,34,80,42.5,8,28,28.6,21,28,75.0,8,34,42,16,13,13,5,20,8
"Nov 15, 2021",DET,SAC,L,48,107,39,96,40.6,13,47,27.7,16,17,94.1,16,31,47,23,18,7,2,10,-22
"Nov 13, 2021",TOR,DET,W,48,127,43,79,54.4,15,35,42.9,26,30,86.7,9,25,34,34,14,5,6,23,6
"Nov 12, 2021",CLE,DET,L,48,78,29,79,36.7,9,30,30.0,11,13,84.6,10,33,43,18,23,12,5,13,-20
"Nov 10, 2021",HOU,DET,W,48,112,42,97,43.3,16,48,33.3,12,18,66.7,16,33,49,23,14,6,6,26,8
"Nov 05, 2021",DET,BKN,L,48,90,33,87,37.9,11,34,32.4,13,18,72.2,7,37,44,17,14,11,6,22,-6
"Nov 04, 2021",DET,PHI,L,48,98,35,87,40.2,11,36,30.6,17,19,89.5,12,29,41,21,11,6,2,18,-11
"Nov 02, 2021",DET,MIL,L,48,89,30,93,32.3,8,47,17.0,21,30,70.0,14,29,43,21,14,5,5,22,-28
"Oct 31, 2021",BKN,DET,L,48,91,32,79,40.5,12,33,36.4,15,22,68.2,7,22,29,21,15,12,3,18,-26
"Oct 30, 2021",DET,ORL,W,48,110,36,89,40.4,14,43,32.6,24,30,80.0,17,31,48,26,16,12,6,18,7
"Oct 28, 2021",PHI,DET,L,48,102,35,86,40.7,13,39,33.3,19,27,70.4,10,27,37,22,14,11,4,22,-8
"Oct 25, 2021",ATL,DET,L,48,104,40,91,44.0,9,33,27.3,15,18,83.3,11,25,36,26,14,7,6,15,-18
"Oct 23, 2021",CHI,DET,L,48,82,34,88,38.6,5,28,17.9,9,15,60.0,11,42,53,14,23,9,8,17,-15
"Oct 20, 2021",DET,CHI,L,48,88,36,90,40.0,6,28,21.4,10,13,76.9,11,36,47,17,17,7,5,16,-6
