Date,Home,Away,Winner (H/A),MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 10, 2022",HOU,ATL,A,48,114,41,89,46.1,17,46,37.0,15,20,75.0,6,28,34,24,8,4,4,19,-16
"Apr 08, 2022",TOR,HOU,H,48,115,43,81,53.1,10,29,34.5,19,24,79.2,7,34,41,24,19,6,3,19,-2
"Apr 05, 2022",BKN,HOU,H,48,105,40,99,40.4,11,43,25.6,14,25,56.0,18,30,48,18,11,8,6,20,-13
"Apr 03, 2022",HOU,MIN,A,48,132,48,85,56.5,16,40,40.0,20,29,69.0,11,25,36,28,24,8,4,24,-7
"Apr 01, 2022",HOU,SAC,A,48,117,41,97,42.3,17,45,37.8,18,26,69.2,15,30,45,26,11,9,7,25,-5
"Mar 30, 2022",HOU,SAC,A,48,118,43,94,45.7,13,42,31.0,19,25,76.0,12,39,51,23,18,7,4,34,-3
"Mar 28, 2022",HOU,SAS,A,48,120,38,92,41.3,20,49,40.8,24,28,85.7,10,34,44,26,12,5,9,24,-3
"Mar 26, 2022",POR,HOU,A,48,115,44,84,52.4,15,35,42.9,12,18,66.7,8,30,38,34,21,12,8,14,17
"Mar 25, 2022",POR,HOU,A,48,125,43,83,51.8,19,45,42.2,20,23,87.0,9,28,37,27,16,12,3,22,19
"Mar 23, 2022",DAL,HOU,H,48,91,33,82,40.2,4,28,14.3,21,28,75.0,12,33,45,17,16,8,5,21,-19
"Mar 21, 2022",HOU,WAS,H,48,115,42,85,49.4,20,39,51.3,11,13,84.6,6,38,44,30,13,5,8,22,18
"Mar 20, 2022",HOU,MEM,A,48,98,37,86,43.0,10,31,32.3,14,24,58.3,5,40,45,26,17,6,3,16,-24
"Mar 18, 2022",HOU,IND,A,48,118,39,79,49.4,12,27,44.4,28,32,87.5,5,37,42,24,16,9,8,19,-3
"Mar 16, 2022",HOU,PHX,A,48,112,42,85,49.4,16,39,41.0,12,19,63.2,9,24,33,26,12,9,3,13,-17
"Mar 13, 2022",NOP,HOU,H,48,105,39,77,50.6,12,31,38.7,15,25,60.0,9,30,39,24,25,3,4,26,-25
"Mar 11, 2022",HOU,DAL,A,48,100,41,86,47.7,6,30,20.0,12,19,63.2,5,34,39,29,13,9,3,23,-13
"Mar 09, 2022",HOU,LAL,H,53,139,52,102,51.0,17,40,42.5,18,19,94.7,10,40,50,25,20,7,4,21,9
"Mar 07, 2022",MIA,HOU,H,48,106,39,88,44.3,13,43,30.2,15,22,68.2,9,24,33,22,11,8,7,24,-17
"Mar 06, 2022",HOU,MEM,H,48,123,43,82,52.4,13,34,38.2,24,36,66.7,8,37,45,23,17,4,5,22,11
"Mar 04, 2022",DEN,HOU,H,48,101,38,83,45.8,10,36,27.8,15,22,68.2,9,35,44,25,15,4,3,21,-15
"Mar 02, 2022",HOU,UTA,A,53,127,43,86,50.0,21,51,41.2,20,30,66.7,5,29,34,27,17,12,3,25,-5
"Mar 01, 2022",HOU,LAC,A,48,100,38,96,39.6,13,39,33.3,11,17,64.7,14,31,45,21,14,8,6,18,-13
"Feb 27, 2022",HOU,LAC,A,48,98,35,92,38.0,17,42,40.5,11,18,61.1,6,31,37,26,7,8,0,21,-1
"Feb 25, 2022",ORL,HOU,H,48,111,44,94,46.8,14,47,29.8,9,20,45.0,10,31,41,22,13,12,3,24,-8
"Feb 17, 2022",LAC,HOU,H,48,111,42,91,46.2,13,37,35.1,14,19,73.7,12,23,35,29,19,8,2,20,-31
"Feb 16, 2022",PHX,HOU,H,48,121,42,97,43.3,13,44,29.5,24,28,85.7,13,36,49,23,16,5,5,27,-3
"Feb 14, 2022",UTA,HOU,H,48,101,35,83,42.2,12,37,32.4,19,28,67.9,10,23,33,23,12,5,4,20,-34
"Feb 10, 2022",HOU,TOR,A,48,120,43,82,52.4,16,38,42.1,18,30,60.0,13,28,41,25,21,5,4,20,-19
"Feb 08, 2022",NOP,HOU,H,48,97,32,86,37.2,13,42,31.0,20,31,64.5,18,29,47,19,21,8,3,23,-13
"Feb 06, 2022",HOU,NOP,A,48,107,40,84,47.6,16,45,35.6,11,16,68.8,5,28,33,28,18,5,7,23,-13
"Feb 04, 2022",SAS,HOU,H,48,106,36,83,43.4,11,33,33.3,23,29,79.3,9,26,35,15,19,9,6,20,-25
"Feb 02, 2022",HOU,CLE,H,48,115,39,82,47.6,14,40,35.0,23,33,69.7,8,29,37,25,12,11,3,23,11
"Jan 31, 2022",HOU,GSW,A,48,108,36,84,42.9,16,43,37.2,20,29,69.0,9,28,37,25,17,4,3,19,-14
"Jan 28, 2022",HOU,POR,A,48,110,38,79,48.1,10,41,24.4,24,31,77.4,5,33,38,25,19,6,3,22,-15
"Jan 25, 2022",HOU,SAS,A,48,104,39,95,41.1,9,34,26.5,17,25,68.0,18,27,45,21,17,8,3,12,-30
"Jan 21, 2022",GSW,HOU,H,48,103,38,89,42.7,10,35,28.6,17,20,85.0,8,31,39,25,12,10,3,15,-2
"Jan 19, 2022",UTA,HOU,A,48,116,41,96,42.7,22,45,48.9,12,17,70.6,12,32,44,24,9,4,3,18,5
"Jan 16, 2022",SAC,HOU,A,48,118,41,76,53.9,16,40,40.0,20,24,83.3,4,43,47,22,23,6,3,20,6
"Jan 14, 2022",SAC,HOU,H,48,114,44,101,43.6,13,43,30.2,13,16,81.3,13,37,50,25,17,7,4,19,-12
"Jan 12, 2022",SAS,HOU,A,48,128,45,82,54.9,16,36,44.4,22,32,68.8,4,44,48,23,14,5,7,24,4
"Jan 10, 2022",HOU,PHI,A,48,91,30,77,39.0,13,42,31.0,18,27,66.7,7,32,39,18,21,8,7,11,-20
"Jan 09, 2022",HOU,MIN,A,48,123,46,97,47.4,14,43,32.6,17,28,60.7,10,35,45,31,13,5,6,17,-18
"Jan 07, 2022",HOU,DAL,A,48,106,37,87,42.5,12,43,27.9,20,29,69.0,7,33,40,17,13,6,3,20,-24
"Jan 05, 2022",WAS,HOU,A,48,114,40,85,47.1,9,26,34.6,25,32,78.1,10,38,48,15,21,10,2,24,3
"Jan 03, 2022",PHI,HOU,H,48,113,37,89,41.6,15,44,34.1,24,33,72.7,11,31,42,25,11,6,4,16,-20
"Jan 01, 2022",HOU,DEN,A,48,111,37,85,43.5,16,42,38.1,21,24,87.5,13,23,36,20,18,10,4,24,-13
"Dec 31, 2021",HOU,MIA,A,48,110,41,93,44.1,14,42,33.3,14,17,82.4,15,31,46,21,18,9,4,27,-10
