Date,Home,Away,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 10, 2022",BKN,IND,L,48,126,47,104,45.2,19,46,41.3,13,19,68.4,11,19,30,32,7,16,1,23,-8
"Apr 09, 2022",PHI,IND,L,48,120,41,78,52.6,10,23,43.5,28,36,77.8,7,24,31,28,17,8,6,22,-13
"Apr 05, 2022",IND,PHI,L,48,122,45,95,47.4,12,40,30.0,20,21,95.2,16,32,48,29,16,8,10,18,-9
"Apr 03, 2022",IND,DET,L,48,117,45,94,47.9,12,38,31.6,15,19,78.9,17,41,58,33,19,6,11,21,-4
"Apr 01, 2022",BOS,IND,L,48,123,42,81,51.9,17,36,47.2,22,23,95.7,8,22,30,25,16,9,3,30,-5
"Mar 30, 2022",IND,DEN,L,48,118,44,97,45.4,12,40,30.0,18,23,78.3,18,19,37,29,8,11,4,21,-7
"Mar 28, 2022",IND,ATL,L,48,123,45,87,51.7,17,36,47.2,16,18,88.9,8,20,28,32,14,7,6,22,-9
"Mar 26, 2022",TOR,IND,L,48,91,33,79,41.8,11,36,30.6,14,20,70.0,9,26,35,23,14,5,3,14,-40
"Mar 24, 2022",MEM,IND,L,48,103,39,92,42.4,9,33,27.3,16,23,69.6,9,22,31,20,11,7,8,19,-30
"Mar 23, 2022",IND,SAC,L,48,109,42,91,46.2,14,36,38.9,11,11,100,10,32,42,34,15,11,3,17,-1
"Mar 20, 2022",IND,POR,W,48,129,48,84,57.1,15,35,42.9,18,21,85.7,11,30,41,38,16,10,2,19,31
"Mar 18, 2022",HOU,IND,W,48,121,47,101,46.5,14,43,32.6,13,19,68.4,16,30,46,29,13,7,4,26,3
"Mar 15, 2022",IND,MEM,L,48,102,41,98,41.8,6,30,20.0,14,19,73.7,16,33,49,23,19,4,3,21,-33
"Mar 13, 2022",ATL,IND,L,48,128,46,89,51.7,15,35,42.9,21,26,80.8,15,28,43,23,15,7,4,21,-3
"Mar 12, 2022",SAS,IND,W,48,119,45,92,48.9,14,36,38.9,15,15,100,9,38,47,23,13,6,10,20,11
"Mar 08, 2022",IND,CLE,L,48,124,49,91,53.8,16,32,50.0,10,15,66.7,11,27,38,35,18,6,7,20,-3
"Mar 06, 2022",WAS,IND,L,48,123,44,85,51.8,10,31,32.3,25,29,86.2,7,35,42,28,10,3,5,22,-10
"Mar 04, 2022",DET,IND,L,48,106,39,100,39.0,10,40,25.0,18,28,64.3,21,34,55,24,14,4,9,16,-5
"Mar 02, 2022",ORL,IND,W,53,122,41,94,43.6,12,37,32.4,28,35,80.0,14,40,54,23,18,12,7,19,8
"Feb 28, 2022",ORL,IND,L,48,103,35,72,48.6,15,36,41.7,18,25,72.0,4,35,39,22,22,4,6,18,-16
"Feb 27, 2022",IND,BOS,W,48,128,47,90,52.2,17,33,51.5,17,20,85.0,10,39,49,25,14,7,5,23,21
"Feb 25, 2022",IND,OKC,L,53,125,49,101,48.5,14,37,37.8,13,22,59.1,12,39,51,31,14,8,11,19,-4
"Feb 16, 2022",IND,WAS,W,48,113,45,83,54.2,4,20,20.0,19,29,65.5,7,33,40,30,11,9,6,14,5
"Feb 15, 2022",MIL,IND,L,48,119,47,93,50.5,17,41,41.5,8,19,42.1,10,31,41,32,12,8,2,23,-9
"Feb 13, 2022",IND,MIN,L,48,120,45,102,44.1,13,45,28.9,17,22,77.3,22,32,54,28,13,5,6,21,-9
"Feb 11, 2022",IND,CLE,L,48,113,42,89,47.2,18,38,47.4,11,16,68.8,9,29,38,25,23,9,4,25,-7
"Feb 08, 2022",ATL,IND,L,48,112,37,93,39.8,10,31,32.3,28,33,84.8,18,25,43,22,13,10,4,16,-21
"Feb 06, 2022",CLE,IND,L,48,85,31,83,37.3,8,31,25.8,15,17,88.2,13,34,47,17,19,5,2,26,-13
"Feb 04, 2022",IND,CHI,L,48,115,47,95,49.5,12,27,44.4,9,9,100,10,27,37,25,13,3,3,19,-7
"Feb 02, 2022",IND,ORL,L,48,118,44,98,44.9,14,32,43.8,16,23,69.6,7,39,46,25,8,7,1,19,-1
"Jan 31, 2022",IND,LAC,W,48,122,50,95,52.6,14,29,48.3,8,12,66.7,11,39,50,31,12,3,5,12,6
"Jan 29, 2022",DAL,IND,L,48,105,40,91,44.0,9,33,27.3,16,23,69.6,10,37,47,25,11,1,7,21,-27
"Jan 28, 2022",OKC,IND,W,53,113,41,95,43.2,13,39,33.3,18,29,62.1,19,41,60,25,21,7,6,20,3
"Jan 26, 2022",IND,CHA,L,48,126,44,92,47.8,10,34,29.4,28,34,82.4,17,24,41,33,20,9,3,31,-32
