MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 10, 2022 - LAC vs. OKC",W,48,138,54,97,55.7,18,35,51.4,12,14,85.7,12,45,57,34,9,4,8,11,50
"Apr 09, 2022 - LAC vs. SAC",W,48,117,42,86,48.8,21,43,48.8,12,15,80.0,10,38,48,29,17,7,3,22,19
"Apr 06, 2022 - LAC vs. PHX",W,48,113,33,75,44.0,12,34,35.3,35,44,79.5,9,46,55,20,17,7,9,17,4
"Apr 03, 2022 - LAC vs. NOP",W,48,119,45,95,47.4,21,44,47.7,8,10,80.0,12,29,41,33,10,10,5,21,19
"Apr 01, 2022 - LAC @ MIL",W,48,153,56,92,60.9,23,43,53.5,18,24,75.0,8,28,36,34,10,9,7,17,34
"Mar 31, 2022 - LAC @ CHI",L,53,130,45,90,50.0,16,36,44.4,24,26,92.3,4,36,40,26,12,7,5,24,-5
"Mar 29, 2022 - LAC vs. UTA",W,48,121,41,83,49.4,15,36,41.7,24,28,85.7,10,23,33,21,11,8,4,23,6
"Mar 25, 2022 - LAC vs. PHI",L,48,97,34,85,40.0,8,25,32.0,21,25,84.0,9,30,39,19,16,7,7,18,-25
"Mar 22, 2022 - LAC @ DEN",L,48,115,42,86,48.8,10,32,31.3,21,26,80.8,6,29,35,27,6,3,7,19,-12
"Mar 18, 2022 - LAC @ UTA",L,48,92,31,86,36.0,11,35,31.4,19,21,90.5,8,35,43,23,12,10,8,13,-29
"Mar 16, 2022 - LAC vs. TOR",L,48,100,38,78,48.7,11,30,36.7,13,15,86.7,10,31,41,27,14,7,2,15,-3
"Mar 14, 2022 - LAC @ CLE",L,53,111,43,98,43.9,12,36,33.3,13,17,76.5,12,31,43,29,11,5,8,24,-9
"Mar 13, 2022 - LAC @ DET",W,48,106,40,89,44.9,10,30,33.3,16,20,80.0,11,35,46,25,6,5,3,15,4
"Mar 11, 2022 - LAC @ ATL",L,48,106,40,82,48.8,12,32,37.5,14,17,82.4,6,30,36,22,12,7,3,20,-6
"Mar 09, 2022 - LAC vs. WAS",W,48,115,43,86,50.0,16,32,50.0,13,13,100,7,34,41,21,12,6,10,15,6
"Mar 08, 2022 - LAC @ GSW",L,48,97,33,93,35.5,12,39,30.8,19,23,82.6,12,35,47,23,13,12,3,12,-15
"Mar 06, 2022 - LAC vs. NYK",L,48,93,33,88,37.5,11,34,32.4,16,22,72.7,9,34,43,17,10,2,5,23,-23
"Mar 03, 2022 - LAC vs. LAL",W,48,132,51,93,54.8,17,27,63.0,13,15,86.7,13,33,46,32,12,10,3,22,21
"Mar 01, 2022 - LAC @ HOU",W,48,113,42,96,43.8,13,31,41.9,16,17,94.1,17,38,55,24,16,7,8,19,13
"Feb 27, 2022 - LAC @ HOU",W,48,99,34,77,44.2,11,34,32.4,20,28,71.4,10,49,59,18,18,4,12,22,1
"Feb 25, 2022 - LAC @ LAL",W,48,105,41,83,49.4,10,26,38.5,13,19,68.4,7,40,47,25,17,8,8,19,3
"Feb 17, 2022 - LAC vs. HOU",W,48,142,51,92,55.4,18,35,51.4,22,26,84.6,12,38,50,34,18,12,5,16,31
"Feb 15, 2022 - LAC @ PHX",L,48,96,40,97,41.2,10,35,28.6,6,9,66.7,13,33,46,26,14,11,9,12,-7
"Feb 14, 2022 - LAC vs. GSW",W,48,119,48,85,56.5,15,34,44.1,8,15,53.3,6,37,43,25,12,6,3,18,15
"Feb 12, 2022 - LAC @ DAL",W,48,99,43,82,52.4,7,22,31.8,6,11,54.5,6,36,42,23,14,7,4,20,2
"Feb 10, 2022 - LAC @ DAL",L,48,105,39,81,48.1,9,23,39.1,18,25,72.0,4,27,31,24,10,9,2,25,-7
"Feb 08, 2022 - LAC @ MEM",L,48,109,40,89,44.9,11,31,35.5,18,24,75.0,11,29,40,25,17,8,7,17,-26
"Feb 06, 2022 - LAC vs. MIL",L,48,113,40,96,41.7,18,46,39.1,15,16,93.8,10,34,44,26,10,6,2,20,-24
"Feb 03, 2022 - LAC vs. LAL",W,48,111,46,89,51.7,13,30,43.3,6,11,54.5,7,36,43,29,10,5,6,22,1
"Jan 31, 2022 - LAC @ IND",L,48,116,45,96,46.9,15,44,34.1,11,13,84.6,10,31,41,25,10,7,5,15,-6
"Jan 30, 2022 - LAC @ CHA",W,48,115,44,84,52.4,11,28,39.3,16,19,84.2,6,54,60,23,18,5,6,23,25
"Jan 28, 2022 - LAC @ MIA",L,48,114,41,92,44.6,9,35,25.7,23,32,71.9,9,28,37,22,13,7,3,21,-7
"Jan 26, 2022 - LAC @ ORL",W,48,111,36,81,44.4,15,29,51.7,24,27,88.9,8,41,49,20,15,7,1,22,9
"Jan 25, 2022 - LAC @ WAS",W,48,116,39,94,41.5,11,29,37.9,27,31,87.1,12,36,48,28,12,9,5,29,1
"Jan 23, 2022 - LAC @ NYK",L,48,102,34,79,43.0,14,41,34.1,20,30,66.7,6,34,40,20,12,7,6,19,-8
"Jan 21, 2022 - LAC @ PHI",W,48,102,40,87,46.0,11,32,34.4,11,15,73.3,10,39,49,21,12,5,0,21,1
"Jan 19, 2022 - LAC @ DEN",L,53,128,52,97,53.6,15,39,38.5,9,12,75.0,12,35,47,35,14,6,3,24,-2
"Jan 17, 2022 - LAC vs. IND",W,48,139,45,82,54.9,18,36,50.0,31,36,86.1,8,29,37,32,13,7,7,18,6
"Jan 15, 2022 - LAC @ SAS",L,48,94,38,100,38.0,12,38,31.6,6,8,75.0,21,33,54,24,15,8,4,21,-7
"Jan 13, 2022 - LAC @ NOP",L,48,89,31,81,38.3,10,34,29.4,17,20,85.0,5,41,46,19,15,2,7,16,-24
"Jan 11, 2022 - LAC vs. DEN",W,48,87,34,84,40.5,10,34,29.4,9,12,75.0,3,28,31,23,9,12,4,22,2
"Jan 09, 2022 - LAC vs. ATL",W,48,106,44,92,47.8,12,33,36.4,6,7,85.7,13,34,47,24,13,5,4,18,13
"Jan 08, 2022 - LAC vs. MEM",L,48,108,39,96,40.6,10,32,31.3,20,24,83.3,14,35,49,16,13,7,6,23,-15
"Jan 06, 2022 - LAC @ PHX",L,48,89,31,86,36.0,6,28,21.4,21,25,84.0,8,41,49,20,13,5,7,16,-17
"Jan 03, 2022 - LAC vs. MIN",L,48,104,39,78,50.0,11,32,34.4,15,17,88.2,4,27,31,22,21,12,3,10,-18
"Jan 01, 2022 - LAC @ BKN",W,48,120,42,86,48.8,14,36,38.9,22,31,71.0,7,33,40,23,11,7,6,19,4
"Dec 31, 2021 - LAC @ TOR",L,48,108,38,78,48.7,15,34,44.1,17,19,89.5,3,34,37,27,13,6,7,24,-8
"Dec 29, 2021 - LAC @ BOS",W,48,91,33,81,40.7,11,28,39.3,14,17,82.4,9,40,49,17,16,5,4,12,9
"Dec 27, 2021 - LAC vs. BKN",L,48,108,37,97,38.1,14,37,37.8,20,27,74.1,17,28,45,25,12,7,4,17,-16
"Dec 26, 2021 - LAC vs. DEN",L,48,100,40,86,46.5,8,26,30.8,12,18,66.7,8,38,46,26,14,8,7,22,-3
"Dec 22, 2021 - LAC @ SAC",W,48,105,42,82,51.2,7,24,29.2,14,16,87.5,6,37,43,26,13,10,3,15,16
"Dec 20, 2021 - LAC vs. SAS",L,48,92,34,87,39.1,9,32,28.1,15,20,75.0,9,34,43,18,15,6,5,15,-24
"Dec 18, 2021 - LAC @ OKC",L,48,103,37,83,44.6,16,39,41.0,13,19,68.4,7,32,39,26,13,11,3,16,-1
"Dec 15, 2021 - LAC @ UTA",L,48,103,40,85,47.1,10,30,33.3,13,20,65.0,8,34,42,24,16,6,5,22,-21
"Dec 13, 2021 - LAC vs. PHX",W,48,111,43,78,55.1,9,21,42.9,16,23,69.6,8,37,45,24,17,5,7,20,16
"Dec 11, 2021 - LAC vs. ORL",W,48,106,42,92,45.7,18,36,50.0,4,6,66.7,12,33,45,27,8,7,1,17,2
"Dec 08, 2021 - LAC vs. BOS",W,48,114,40,85,47.1,14,32,43.8,20,22,90.9,9,29,38,20,20,13,7,18,3
"Dec 06, 2021 - LAC @ POR",W,48,102,41,92,44.6,11,36,30.6,9,14,64.3,7,30,37,18,13,8,7,21,12
"Dec 04, 2021 - LAC @ SAC",L,48,99,34,89,38.2,13,34,38.2,18,27,66.7,9,38,47,23,18,7,3,24,-5
"Dec 03, 2021 - LAC @ LAL",W,48,119,41,81,50.6,16,35,45.7,21,24,87.5,6,28,34,28,10,5,3,19,4
"Dec 01, 2021 - LAC vs. SAC",L,48,115,47,100,47.0,9,31,29.0,12,16,75.0,17,32,49,35,13,8,6,15,-9
"Nov 29, 2021 - LAC vs. NOP",L,48,104,37,72,51.4,14,36,38.9,16,21,76.2,4,31,35,17,15,2,2,16,-19
"Nov 28, 2021 - LAC vs. GSW",L,48,90,32,80,40.0,9,28,32.1,17,25,68.0,15,32,47,18,25,8,3,21,-15
"Nov 26, 2021 - LAC vs. DET",W,48,107,39,91,42.9,11,38,28.9,18,19,94.7,11,43,54,26,15,9,4,27,11
"Nov 23, 2021 - LAC vs. DAL",L,53,104,35,85,41.2,10,32,31.3,24,29,82.8,12,35,47,17,19,5,3,24,-8
"Nov 21, 2021 - LAC vs. DAL",W,48,97,36,75,48.0,12,29,41.4,13,18,72.2,8,34,42,18,15,5,2,15,6
"Nov 19, 2021 - LAC @ NOP",L,48,81,34,90,37.8,9,37,24.3,4,5,80.0,8,35,43,22,12,7,4,12,-13
"Nov 18, 2021 - LAC @ MEM",L,48,108,42,90,46.7,16,39,41.0,8,8,100,7,27,34,24,14,6,6,15,-12
"Nov 16, 2021 - LAC vs. SAS",W,48,106,37,85,43.5,12,38,31.6,20,22,90.9,6,46,52,16,21,9,3,13,14
"Nov 14, 2021 - LAC vs. CHI",L,48,90,29,81,35.8,11,34,32.4,21,21,100,9,35,44,16,20,7,7,15,-10
