Date,Home,Away,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 10, 2022",MIN,CHI,L,48,120,46,91,50.5,11,31,35.5,17,22,77.3,9,23,32,30,13,7,9,23,-4
"Apr 07, 2022",MIN,SAS,W,48,127,41,96,42.7,20,53,37.7,25,31,80.6,13,34,47,25,11,8,2,29,6
"Apr 05, 2022",MIN,WAS,L,48,114,41,91,45.1,14,41,34.1,18,25,72.0,6,32,38,27,10,6,3,16,-18
"Apr 03, 2022",HOU,MIN,W,48,139,51,86,59.3,17,41,41.5,20,25,80.0,7,25,32,32,19,13,6,27,7
"Apr 01, 2022",DEN,MIN,W,48,136,43,86,50.0,19,40,47.5,31,36,86.1,10,28,38,26,12,14,4,23,6
"Mar 30, 2022",TOR,MIN,L,48,102,37,92,40.2,11,37,29.7,17,23,73.9,17,31,48,26,22,11,9,19,-23
"Mar 27, 2022",BOS,MIN,L,48,112,45,84,53.6,14,32,43.8,8,12,66.7,4,26,30,26,14,7,3,21,-22
"Mar 25, 2022",MIN,DAL,W,48,116,43,84,51.2,11,32,34.4,19,24,79.2,6,39,45,26,9,4,2,21,21
"Mar 23, 2022",MIN,PHX,L,48,116,42,95,44.2,13,43,30.2,19,22,86.4,15,30,45,27,12,5,5,21,-9
"Mar 21, 2022",DAL,MIN,L,48,108,36,91,39.6,13,36,36.1,23,29,79.3,15,35,50,21,9,9,3,18,-2
"Mar 19, 2022",MIN,MIL,W,48,138,47,92,51.1,22,47,46.8,22,26,84.6,8,36,44,30,11,12,2,19,19
"Mar 16, 2022",MIN,LAL,W,48,124,40,90,44.4,17,42,40.5,27,31,87.1,15,36,51,22,17,7,6,23,20
"Mar 14, 2022",SAS,MIN,W,48,149,52,90,57.8,17,33,51.5,28,32,87.5,7,33,40,28,16,8,3,20,10
"Mar 12, 2022",MIA,MIN,W,48,113,35,83,42.2,15,42,35.7,28,32,87.5,6,40,46,21,15,12,5,19,9
"Mar 11, 2022",ORL,MIN,L,48,110,41,90,45.6,15,45,33.3,13,13,100,5,32,37,24,9,8,5,24,-8
"Mar 09, 2022",MIN,OKC,W,48,132,45,86,52.3,22,52,42.3,20,26,76.9,6,42,48,34,14,10,5,18,30
"Mar 07, 2022",MIN,POR,W,48,124,38,92,41.3,13,43,30.2,35,44,79.5,19,48,67,21,22,10,9,25,43
"Mar 05, 2022",MIN,POR,W,48,135,48,85,56.5,15,37,40.5,24,29,82.8,9,33,42,36,11,10,7,21,14
"Mar 04, 2022",OKC,MIN,W,48,138,49,91,53.8,22,47,46.8,18,23,78.3,7,34,41,35,18,17,7,17,37
"Mar 01, 2022",MIN,GSW,W,48,129,47,89,52.8,16,40,40.0,19,23,82.6,6,36,42,27,16,10,2,20,15
"Feb 28, 2022",CLE,MIN,W,48,127,47,86,54.7,18,42,42.9,15,19,78.9,8,23,31,30,13,12,6,31,5
"Feb 25, 2022",MIN,PHI,L,48,102,36,86,41.9,9,39,23.1,21,25,84.0,9,32,41,23,16,4,1,27,-31
"Feb 24, 2022",MIN,MEM,W,48,119,43,93,46.2,16,42,38.1,17,25,68.0,12,30,42,26,12,6,11,27,5
"Feb 16, 2022",MIN,TOR,L,48,91,30,77,39.0,10,42,23.8,21,29,72.4,6,36,42,23,17,6,7,18,-12
"Feb 15, 2022",MIN,CHA,W,53,126,43,109,39.4,13,55,23.6,27,43,62.8,17,41,58,29,14,10,8,26,6
"Feb 13, 2022",IND,MIN,W,48,129,43,84,51.2,18,34,52.9,25,28,89.3,8,30,38,23,14,8,8,25,9
"Feb 11, 2022",CHI,MIN,L,48,122,48,96,50.0,13,40,32.5,13,16,81.3,7,25,32,32,9,7,4,12,-12
"Feb 09, 2022",SAC,MIN,L,48,119,44,98,44.9,16,46,34.8,15,18,83.3,6,28,34,28,10,4,6,21,-13
"Feb 08, 2022",SAC,MIN,W,48,134,50,104,48.1,22,44,50.0,12,17,70.6,16,33,49,34,14,10,4,24,20
"Feb 06, 2022",MIN,DET,W,48,118,42,91,46.2,17,36,47.2,17,21,81.0,11,40,51,27,10,6,7,19,13
"Feb 03, 2022",DET,MIN,W,48,128,44,87,50.6,15,34,44.1,25,28,89.3,9,33,42,29,14,11,3,18,11
"Feb 01, 2022",MIN,DEN,W,48,130,46,93,49.5,19,45,42.2,19,25,76.0,13,39,52,35,10,8,9,21,15
"Jan 30, 2022",MIN,UTA,W,48,126,49,89,55.1,13,31,41.9,15,18,83.3,10,30,40,35,16,11,2,15,20
"Jan 28, 2022",PHX,MIN,L,48,124,44,90,48.9,14,39,35.9,22,27,81.5,8,30,38,20,7,7,6,26,-10
"Jan 27, 2022",GSW,MIN,L,48,115,42,95,44.2,10,44,22.7,21,27,77.8,10,31,41,22,9,10,4,15,-9
"Jan 25, 2022",POR,MIN,W,48,109,36,82,43.9,14,43,32.6,23,31,74.2,11,38,49,21,17,8,10,19,2
"Jan 23, 2022",MIN,BKN,W,48,136,48,92,52.2,14,32,43.8,26,31,83.9,10,27,37,24,9,11,7,17,11
"Jan 19, 2022",ATL,MIN,L,48,122,42,97,43.3,17,46,37.0,21,29,72.4,16,29,45,21,13,10,3,24,-12
"Jan 18, 2022",NYK,MIN,W,48,112,35,81,43.2,13,41,31.7,29,38,76.3,8,30,38,21,13,10,6,25,2
"Jan 16, 2022",MIN,GSW,W,48,119,45,91,49.5,16,43,37.2,13,20,65.0,6,41,47,30,16,8,9,21,20
"Jan 13, 2022",MEM,MIN,L,48,108,41,96,42.7,15,48,31.3,11,14,78.6,12,34,46,23,18,4,8,26,-8
"Jan 11, 2022",NOP,MIN,L,48,125,42,86,48.8,18,39,46.2,23,31,74.2,9,23,32,27,13,11,4,24,-3
"Jan 09, 2022",HOU,MIN,W,48,141,55,108,50.9,15,42,35.7,16,21,76.2,18,38,56,37,11,10,10,22,18
"Jan 07, 2022",OKC,MIN,W,48,135,50,90,55.6,17,41,41.5,18,25,72.0,8,37,45,39,15,12,8,18,30
