Date,Home,Away,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 10, 2022",NOP,GSW,L,48,107,42,99,42.4,14,40,35.0,9,12,75.0,18,24,42,24,12,10,0,17,-21
"Apr 09, 2022",MEM,NOP,L,48,114,41,91,45.1,6,30,20.0,26,35,74.3,9,20,29,23,16,10,3,22,-27
"Apr 07, 2022",NOP,POR,W,48,127,44,93,47.3,13,37,35.1,26,31,83.9,23,26,49,31,12,15,1,14,33
"Apr 05, 2022",SAC,NOP,W,48,123,45,88,51.1,12,25,48.0,21,26,80.8,14,30,44,26,13,13,2,20,14
"Apr 03, 2022",LAC,NOP,L,48,100,35,87,40.2,9,24,37.5,21,27,77.8,19,35,54,22,16,4,5,13,-19
"Apr 01, 2022",LAL,NOP,W,48,114,41,79,51.9,7,26,26.9,25,29,86.2,4,33,37,23,15,8,4,21,3
"Mar 30, 2022",POR,NOP,W,48,117,40,78,51.3,6,24,25.0,31,39,79.5,12,28,40,26,14,16,6,16,10
"Mar 27, 2022",NOP,LAL,W,48,116,44,91,48.4,9,27,33.3,19,24,79.2,12,29,41,25,7,10,1,13,8
"Mar 26, 2022",NOP,SAS,L,48,103,40,90,44.4,10,32,31.3,13,19,68.4,12,30,42,23,8,4,11,19,-4
"Mar 24, 2022",NOP,CHI,W,48,126,41,83,49.4,12,29,41.4,32,34,94.1,10,33,43,23,11,10,2,17,17
"Mar 21, 2022",CHA,NOP,L,48,103,40,90,44.4,9,24,37.5,14,16,87.5,15,32,47,23,15,9,4,16,-3
"Mar 20, 2022",ATL,NOP,W,48,117,43,96,44.8,7,21,33.3,24,27,88.9,18,36,54,22,16,12,1,23,5
"Mar 18, 2022",SAS,NOP,W,48,124,48,96,50.0,14,34,41.2,14,18,77.8,13,45,58,24,10,13,4,21,33
