MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 10, 2022 - PHI vs. DET",W,48,118,46,88,52.3,5,25,20.0,21,23,91.3,10,32,42,25,11,13,6,23,12
"Apr 09, 2022 - PHI vs. IND",W,48,133,50,90,55.6,12,34,35.3,21,27,77.8,14,28,42,37,15,14,3,24,13
"Apr 07, 2022 - PHI @ TOR",L,48,114,37,75,49.3,19,36,52.8,21,25,84.0,6,31,37,26,17,7,3,18,-5
"Apr 05, 2022 - PHI @ IND",W,48,131,47,87,54.0,23,40,57.5,14,18,77.8,5,31,36,34,16,8,3,14,9
"Apr 03, 2022 - PHI @ CLE",W,48,112,33,80,41.3,11,31,35.5,35,42,83.3,12,38,50,23,14,7,8,19,4
"Apr 02, 2022 - PHI vs. CHA",W,48,144,53,87,60.9,21,43,48.8,17,21,81.0,10,37,47,38,19,10,5,18,30
"Mar 31, 2022 - PHI @ DET",L,48,94,31,69,44.9,7,26,26.9,25,28,89.3,4,35,39,22,15,8,9,17,-8
"Mar 29, 2022 - PHI vs. MIL",L,48,116,43,89,48.3,16,41,39.0,14,18,77.8,5,35,40,28,9,7,3,19,-2
"Mar 27, 2022 - PHI @ PHX",L,48,104,37,89,41.6,10,36,27.8,20,26,76.9,12,33,45,22,12,6,4,19,-10
"Mar 25, 2022 - PHI @ LAC",W,48,122,43,92,46.7,15,35,42.9,21,24,87.5,12,40,52,23,13,12,8,18,25
"Mar 23, 2022 - PHI @ LAL",W,48,126,47,91,51.6,10,27,37.0,22,28,78.6,8,35,43,26,7,7,5,13,5
"Mar 21, 2022 - PHI vs. MIA",W,48,113,43,86,50.0,15,37,40.5,12,16,75.0,11,34,45,26,12,6,4,20,7
"Mar 20, 2022 - PHI vs. TOR",L,48,88,30,73,41.1,7,27,25.9,21,28,75.0,5,35,40,21,10,7,5,23,-5
"Mar 18, 2022 - PHI vs. DAL",W,48,111,37,75,49.3,16,38,42.1,21,23,91.3,5,33,38,23,12,9,4,21,10
