MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 10, 2022 - PHX vs. SAC",L,48,109,42,103,40.8,14,47,29.8,11,15,73.3,18,32,50,27,11,9,7,25,-7
"Apr 08, 2022 - PHX @ UTA",W,48,111,46,92,50.0,6,19,31.6,13,15,86.7,11,35,46,27,13,7,3,25,6
"Apr 06, 2022 - PHX @ LAC",L,48,109,42,108,38.9,17,48,35.4,8,12,66.7,18,36,54,29,12,11,2,26,-4
"Apr 05, 2022 - PHX vs. LAL",W,48,121,50,102,49.0,14,39,35.9,7,9,77.8,11,42,53,38,14,10,4,22,11
"Apr 03, 2022 - PHX @ OKC",L,48,96,37,89,41.6,7,38,18.4,15,17,88.2,6,27,33,22,11,14,4,17,-21
"Apr 01, 2022 - PHX @ MEM",L,48,114,47,86,54.7,10,27,37.0,10,17,58.8,2,37,39,27,20,8,4,25,-8
"Mar 30, 2022 - PHX @ GSW",W,48,107,38,92,41.3,7,28,25.0,24,30,80.0,12,34,46,20,14,9,1,19,4
"Mar 27, 2022 - PHX vs. PHI",W,48,114,45,87,51.7,13,27,48.1,11,17,64.7,5,35,40,24,13,5,5,21,10
"Mar 24, 2022 - PHX @ DEN",W,48,140,52,86,60.5,13,27,48.1,23,29,79.3,5,24,29,32,9,7,3,23,10
"Mar 23, 2022 - PHX @ MIN",W,48,125,45,86,52.3,12,33,36.4,23,29,79.3,11,32,43,30,13,6,9,20,9
"Mar 20, 2022 - PHX @ SAC",W,53,127,46,92,50.0,12,28,42.9,23,27,85.2,10,40,50,25,18,12,5,30,3
"Mar 18, 2022 - PHX vs. CHI",W,48,129,47,84,56.0,11,25,44.0,24,26,92.3,10,39,49,23,13,5,4,20,27
"Mar 16, 2022 - PHX @ HOU",W,48,129,53,95,55.8,13,33,39.4,10,13,76.9,13,36,49,32,11,5,4,18,17
"Mar 15, 2022 - PHX @ NOP",W,48,131,49,90,54.4,18,34,52.9,15,15,100,6,28,34,35,9,9,2,22,16
"Mar 13, 2022 - PHX vs. LAL",W,48,140,58,102,56.9,12,33,36.4,12,14,85.7,14,37,51,36,11,12,5,24,29
"Mar 11, 2022 - PHX vs. TOR",L,48,112,44,88,50.0,11,36,30.6,13,17,76.5,5,35,40,27,16,7,8,23,-5
"Mar 09, 2022 - PHX @ MIA",W,48,111,45,99,45.5,11,37,29.7,10,10,100,14,41,55,26,15,8,5,18,21
"Mar 08, 2022 - PHX @ ORL",W,48,102,35,92,38.0,13,37,35.1,19,23,82.6,7,45,52,24,10,7,6,20,3
"Mar 06, 2022 - PHX @ MIL",L,48,122,50,93,53.8,14,31,45.2,8,11,72.7,6,21,27,33,11,8,4,20,-10
"Mar 04, 2022 - PHX vs. NYK",W,48,115,38,85,44.7,17,34,50.0,22,27,81.5,3,30,33,28,10,7,3,22,1
"Mar 02, 2022 - PHX vs. POR",W,48,120,40,80,50.0,14,36,38.9,26,31,83.9,7,39,46,32,16,14,6,21,30
"Feb 27, 2022 - PHX vs. UTA",L,48,114,44,86,51.2,13,28,46.4,13,16,81.3,10,26,36,24,9,7,5,19,-4
"Feb 25, 2022 - PHX vs. NOP",L,48,102,36,82,43.9,12,40,30.0,18,24,75.0,7,30,37,23,14,6,8,27,-15
"Feb 24, 2022 - PHX @ OKC",W,48,124,46,86,53.5,13,34,38.2,19,21,90.5,3,40,43,32,16,14,6,12,20
"Feb 16, 2022 - PHX vs. HOU",W,48,124,44,86,51.2,7,24,29.2,29,36,80.6,7,35,42,27,11,10,7,20,3
"Feb 15, 2022 - PHX vs. LAC",W,48,103,44,90,48.9,8,25,32.0,7,10,70.0,12,40,52,30,17,9,4,12,7
"Feb 12, 2022 - PHX vs. ORL",W,48,132,55,105,52.4,15,34,44.1,7,10,70.0,7,45,52,40,7,8,2,19,27
"Feb 10, 2022 - PHX vs. MIL",W,48,131,51,90,56.7,9,30,30.0,20,29,69.0,9,34,43,35,8,10,2,22,24
"Feb 08, 2022 - PHX @ PHI",W,48,114,43,95,45.3,6,26,23.1,22,24,91.7,11,37,48,27,8,7,5,15,5
"Feb 07, 2022 - PHX @ CHI",W,48,127,49,90,54.4,12,32,37.5,17,19,89.5,10,34,44,31,11,5,5,23,3
"Feb 05, 2022 - PHX @ WAS",W,48,95,40,99,40.4,8,31,25.8,7,14,50.0,20,44,64,26,10,6,7,16,15
"Feb 03, 2022 - PHX @ ATL",L,48,115,46,88,52.3,9,32,28.1,14,18,77.8,6,33,39,30,11,11,2,20,-9
"Feb 01, 2022 - PHX vs. BKN",W,48,121,42,76,55.3,11,31,35.5,26,31,83.9,7,30,37,26,16,8,4,19,10
"Jan 30, 2022 - PHX vs. SAS",W,48,115,48,97,49.5,11,32,34.4,8,12,66.7,11,35,46,31,8,6,5,12,5
"Jan 28, 2022 - PHX vs. MIN",W,48,134,43,84,51.2,20,39,51.3,28,37,75.7,10,39,49,36,12,4,2,22,10
